,id,hotel,location,price,discount,rating
0,0.0,Capital O 80951 Hotel Radisson Suite,"India, Mumbai",2819,65,104
1,1.0,Oyo Silverkey Hotel Manas Residency,"Chembur East, Mumbai",2702,65,410
2,2.0,Oyo Hotel Airport Metro Near Chhatrapati Shivaji International Airport,"Andheri East, Mumbai",2289,64,879
3,3.0,Collection O Hotel Kiwi International Near Chhatrapati Shivaji International Airport,"Andheri East, Mumbai",2094,66,75
4,4.0,Oyo Druv'S Taj Palace Near Chhatrapati Shivaji International Airport,"Near Asalpha Metro Station, Dhumai Estate, Mumbai",2656,65,686
5,5.0,Collection O Collection O Hotel Jayshree Domestic Airport,"Vile Parle East, Mumbai",3127,65,588
6,6.0,Oyo Hotel Blue Executive Near Chhatrapati Shivaji International Airport,"On main street, Near Saki Vihar complex, Sakinaka,Mumbai",2772,65,1875
7,7.0,Oyo Blue Pearl Residency Near Chhatrapati Shivaji International Airport,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai",1921,65,995
8,8.0,Oyo Hotel Blue Sapphire Residency Near Chhatrapati Shivaji International Airport,"Near The Crescent Business Park, Sakinaka, Mumbai",2220,65,1144
9,9.0,Oyo Hotel Blue Sea Near Chhatrapati Shivaji International Airport,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai",1921,65,2051
10,10.0,Super Oyo Hotel Divine Residency Near Phoenix Marketcity,"Near Chirag Nagar Police Station, LBS Marg, Mumbai",4069,65,644
11,11.0,Capital O Hotel Adore Palace,"Sakinaka Jharimari Link Road, Mumbai",2092,66,34
12,12.0,Oyo Hotel Greenforest Near Airport Road Metro Station,"Near Axis Bank, Customs Colony, Mumbai",2247,67,664
13,13.0,Capital O Hotel Pearl Near Us Embassy,"Near Wajan Kata Bus Stop, Indira Nagar, Mumbai",2896,65,119
14,14.0,Oyo Anjali Hotel Mumbai,"Near Kanti Nagar, Andheri East, Mumbai",2535,67,477
15,15.0,Oyo Rana Residency Near Western Express Highway Metro Station,"Tolany Naka, Sher-e-Punjab Colony, Mumbai",1916,67,589
16,16.0,Flagship The Mumbai Inn Near Chhatrapati Shivaji International Airport,"The Mumbai Inn 90 Feet Road Next To Peninsula Near Tilak Nagar Gate Sakinaka Mumbai, Mumbai",1863,67,470
17,17.0,Oyo Royal Inn Near Versova Beach,"Near Jankidevi Public School Road, Varsova, Mumbai",2740,67,465
18,18.0,Capital O Hotel Zaid International Near L&T Sakinaka & Iit Powai,"Near Huntsman Building, Marol, Mumbai",3273,65,711
19,19.0,Oyo Flagship Om Residency Near Airport Road Metro Station,"Near Ganesh nagar, Marol, Mumbai",2530,67,16
20,20.0,Spot On Yatra Inn Near Lalbagh Botanical Garden,"Lalbagh, Bangalore",1040,64,2617
21,21.0,Oyo Townhouse 180 Jayanagar,"Near Sagar Hospital, Tilak Nagar, Bangalore",1828,67,3524
22,22.0,Super Oyo Townhouse Oak Spruce Hotels A2 Indiranagar,"India, Bangalore",1423,75,253
23,23.0,Super Oyo Collection O Sabharwal Residency Near Lalbagh Botanical Garden,"Opposite Shanthinagar, Bangalore",1410,65,429
24,24.0,Oyo Townhouse Chic 364 Richmond Road Near Cubbon Park,"Near Baldwin Women College, Richmond Town, Bengaluru",2082,65,1457
25,25.0,Oyo Hotel Townhall,"Near Dhanlakshmi Bank, JC Road, Bangalore",1070,65,1144
26,26.0,Collection O Hotel Hemadri Residency,"Opp Saraswati Kalyana Mantapa, Bangalore",872,67,74
27,27.0,Super Oyo Capital O Boulevard Elite Madiwala Near Ragigudda Sri Prasanna Anjanayeswamy Temple,"B T M Layout, Bangalore",1365,66,2664
28,28.0,Oyo Sai Ram Residency,"Cubbonpet Main Road, Bangalore",1092,67,207
29,29.0,Super Oyo Design Oyo Townhouse Oak Clove Boutique Hotel Rajaji Nagar,"4th Block, Rajaji Nagar, Bangalore",3053,65,1360
30,30.0,Spot On Hotel Relax Inn Near Banashankari Metro Station,"Banashankari 3rd Stage, Bangalore",645,77,69
31,31.0,Super Oyo Townhouse 385 Navya International Ramamurthy Nagar Near Phoenix Marketcity,"Near Rammamurthynagar Police Station, Bangalore",1274,67,2655
32,32.0,Oyo Sree Balaji Residency,"Agrahara Dasarahalli, Rajaji Nagar, Bangalore",907,67,360
33,33.0,Super Oyo Townhouse 238 Tierra Woods Near Halasuru Metro Station,"Halasuru, Bangalore",2276,65,1675
34,34.0,Capital O Champion Lotus Near Mantri Square Mall,"Near IIFT, Vijayanagar, Bangalore",1339,65,1342
35,35.0,Capital O Premium Hotel Victoria Heights Near Sri Someshwara Swami Temple,"Near St.Philomena's Hospital, Xavier Layout, Bangalore",1508,67,957
36,36.0,Townhouse Oak Srk White Inn Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Koramangala, Bangalore",1427,65,1603
37,37.0,Oyo Hotel Silver House Near Mantri Square Mall,"Arghar Dasrahalli Near Madhu Hospital Opp Maharaja Tent House Reliance Smart Building Magadi Main Road, Bangalore",844,65,494
38,38.0,Varcity Emerald Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Near KEB Colony, BTM Layout 1, Bangalore",879,65,1965
39,39.0,Collection O Hotel Palm Tree,"Near Halasuru Metro Station, Ulsoor, Bangalore",2566,65,1271
40,40.0,Super Oyo Townhouse 385 Navya International Ramamurthy Nagar Near Phoenix Marketcity,"Near Rammamurthynagar Police Station, Bangalore",1274,67,2655
41,41.0,Collection O Hotel Tiara Near Christ University,"Tavarekere Main Rd, Bangalore",1175,67,644
