case_id,label,archived_timestamp,original_url,archived_url,statuscode,digest,actual_timing,interpretation
SD-04,SD04_direct,20250125120228,https://www.sandiegochecklist.com/product/7br-massive-beach-retreat-sleeps-26-steps-to-ocean/,https://web.archive.org/web/20250125120228/https://www.sandiegochecklist.com/product/7br-massive-beach-retreat-sleeps-26-steps-to-ocean/,200,LYW6M5FBBDYELV4S6RGJD64Z7FSNRELH,on_or_before_last_airbnb_presence,Indexed response only; content requires separate inspection
SD-04,SD04_direct,20250126090232,https://www.sandiegochecklist.com/product/7br-massive-beach-retreat-sleeps-26-steps-to-ocean/,https://web.archive.org/web/20250126090232/https://www.sandiegochecklist.com/product/7br-massive-beach-retreat-sleeps-26-steps-to-ocean/,200,3ISPKQHID6DJE5HJKCNCTUC3LRBGQMCJ,on_or_before_last_airbnb_presence,Indexed response only; content requires separate inspection
SD-04,SD04_direct,20250418071201,https://www.sandiegochecklist.com/product/7br-massive-beach-retreat-sleeps-26-steps-to-ocean/,https://web.archive.org/web/20250418071201/https://www.sandiegochecklist.com/product/7br-massive-beach-retreat-sleeps-26-steps-to-ocean/,200,ZJVCIOKLZTP65TG5XP5AIYZHMHFRFSO7,on_or_before_last_airbnb_presence,Indexed response only; content requires separate inspection
SD-04,SD04_direct,20250616120541,https://www.sandiegochecklist.com/product/7br-massive-beach-retreat-sleeps-26-steps-to-ocean/,https://web.archive.org/web/20250616120541/https://www.sandiegochecklist.com/product/7br-massive-beach-retreat-sleeps-26-steps-to-ocean/,200,RZLL43443OBA22CJOSADXNUMZZNOISQP,on_or_before_last_airbnb_presence,Indexed response only; content requires separate inspection
SD-04,SD04_direct,20250717093833,https://www.sandiegochecklist.com/product/7br-massive-beach-retreat-sleeps-26-steps-to-ocean/,https://web.archive.org/web/20250717093833/https://www.sandiegochecklist.com/product/7br-massive-beach-retreat-sleeps-26-steps-to-ocean/,200,BP3JILKOBMUUKZG3VSPS5MUVNLD22AFP,on_or_before_last_airbnb_presence,Indexed response only; content requires separate inspection
SD-04,SD04_direct,20251018073623,https://www.sandiegochecklist.com/product/7br-massive-beach-retreat-sleeps-26-steps-to-ocean/,https://web.archive.org/web/20251018073623/https://www.sandiegochecklist.com/product/7br-massive-beach-retreat-sleeps-26-steps-to-ocean/,200,SEW2S5PE64WKSL2Y24UGLIFS43EB3B6B,on_or_before_last_airbnb_presence,Indexed response only; content requires separate inspection
SD-07,SD07_direct,20220125223106,https://missionsands.com/481655,https://web.archive.org/web/20220125223106/https://missionsands.com/481655,200,7PE2IIBSOH5HZJBSAPK4WIIYOK6B7PIR,on_or_before_last_airbnb_presence,Indexed response only; content requires separate inspection
SD-07,SD07_direct,20230326082448,https://missionsands.com/481655/,https://web.archive.org/web/20230326082448/https://missionsands.com/481655/,200,RIYQXL5KD3T56SEPIY6YET2RKYFZKS67,on_or_before_last_airbnb_presence,Indexed response only; content requires separate inspection
SD-07,SD07_direct,20230928070501,https://missionsands.com/481655/,https://web.archive.org/web/20230928070501/https://missionsands.com/481655/,200,LDKGYVF4MWPHSOYN6P2EVQ5VIYWJ7Z3S,on_or_before_last_airbnb_presence,Indexed response only; content requires separate inspection
SD-07,SD07_direct,20240414195257,https://missionsands.com/481655/,https://web.archive.org/web/20240414195257/https://missionsands.com/481655/,200,ZH5IBRWSGBU3KRFIUAO7JXMBAKBCMKW4,on_or_before_last_airbnb_presence,Indexed response only; content requires separate inspection
SD-07,SD07_direct,20241010193157,https://missionsands.com/481655/,https://web.archive.org/web/20241010193157/https://missionsands.com/481655/,200,D3Q6FG5CE3XVFYVUBEG4JSP7DCZOU7ZH,on_or_before_last_airbnb_presence,Indexed response only; content requires separate inspection
SD-07,SD07_direct,20250122035358,https://missionsands.com/481655/,https://web.archive.org/web/20250122035358/https://missionsands.com/481655/,200,RE3MITPG6NLHY4WFFTCTVJCYGA3DLKQ5,on_or_before_last_airbnb_presence,Indexed response only; content requires separate inspection
SD-07,SD07_direct,20250512235730,https://missionsands.com/481655/,https://web.archive.org/web/20250512235730/https://missionsands.com/481655/,200,2BU5GTM5JXRSVUGKLKHIQ5RVZGVUQ6DX,on_or_before_last_airbnb_presence,Indexed response only; content requires separate inspection
SD-07,SD07_direct,20250908175841,https://missionsands.com/481655/,https://web.archive.org/web/20250908175841/https://missionsands.com/481655/,200,N3LSX6QPA52LAR45YAFTQUGWKZ4XGHMS,on_or_before_last_airbnb_presence,Indexed response only; content requires separate inspection
SD-07,SD07_direct,20260116210511,https://missionsands.com/481655/,https://web.archive.org/web/20260116210511/https://missionsands.com/481655/,200,5YYEVCLQEGUZXTDWETN4ELM76P6OUHG5,on_or_after_first_airbnb_absence,Indexed response only; content requires separate inspection
SD-07,SD07_direct,20260517234403,https://missionsands.com/481655/,https://web.archive.org/web/20260517234403/https://missionsands.com/481655/,200,R2O3MSKFFKQ64IHPOT7ZLHI6M3PXJD67,on_or_after_first_airbnb_absence,Indexed response only; content requires separate inspection
