case_id,last_airbnb_present,first_airbnb_absent,evidence_date,date_basis,relative_timing,observed_on,channel,state,finding,source_url,raw_sha256
SD-04,2026-01-05,2026-01-23,2025-10-05,publisher_claimed_update_observed_2026_09_07,on_or_before_last_airbnb_presence,2026-09-07,vrbo_syndicated,identity_conflict,Candidate Vrbo 4261004 is advertised with STR-05074L and TOT 612583; sampled Airbnb has STR-04960L and TOT 612561. Title and bedroom similarity cannot resolve that conflict. The page's update date is not an independent historical capture.,https://agreatertown.com/san-diego-ca/7-br-apartment-vacation-rental-0002131067840,
SD-04,2026-01-05,2026-01-23,2025-10-18,independent_archive_capture,on_or_before_last_airbnb_presence,2026-09-07,direct_manager,populated_rental_advertisement,"Archived page has the distinctive title, 7 bedrooms and 5 bathrooms, and links older Airbnb ID 48350322. It includes the gallery URL whose current image matches the sampled Airbnb cover photo. Exact archived image retrieval returned 404, so its historical image bytes are unverified.",https://web.archive.org/web/20251018073623/https://www.sandiegochecklist.com/product/7br-massive-beach-retreat-sleeps-26-steps-to-ocean/,c7c7fbc3d559ee4a6f0e07eb40e91ecadaec9d3f49e6bc7490206c86861bd20a
SD-04,2026-01-05,2026-01-23,2026-09-07,current_photo_comparison,on_or_after_first_airbnb_absence,2026-09-07,direct_manager,same_living_room_photo_supported,"The current direct-page image and image URL recorded in the Airbnb baseline show the identical room, camera angle, furnishings, windows and exterior view. This is supporting identity evidence, not proof of the exact seven-bedroom rental bundle or current operation.",https://www.sandiegochecklist.com/wp-content/uploads/2022/03/a-1-1.jpg.webp,de29c455213071a44e51a86d10a4cc9a3d5e74ecb537350fd756574b2df27718
SD-07,2025-09-25,2025-12-12,2025-09-08,independent_archive_capture,on_or_before_last_airbnb_presence,2026-09-07,direct_manager,populated_matched_rental_advertisement,"Santa Barbara Loft has populated property description, 3 beds, 2 baths, capacity 7, a displayed count of 9 reviews and direct booking controls. Archived address agrees with the municipal anchor. Review count is manager-displayed; stay dates and booking channel are unverified.",https://web.archive.org/web/20250908175841/https://missionsands.com/481655/,c666d79fa6c971d19282e2b4e4473cfc3931acccd4ca63fd86914166b17863d3
SD-07,2025-09-25,2025-12-12,2026-01-16,independent_archive_capture,on_or_after_first_airbnb_absence,2026-09-07,direct_manager,metadata_present_operating_status_unknown,"Same property title and address remain in archived metadata; property description, bed/bath fields and booking data are unpopulated. Could reflect capture/rendering failure or withdrawal; neither is established.",https://web.archive.org/web/20260116210511/https://missionsands.com/481655/,26995a5552cf09ab56f7e65870b8cf1f095e8928ca7c0d021333de51d28e8bcd
SD-07,2025-09-25,2025-12-12,2026-03-01,publisher_claimed_update_observed_2026_09_07,on_or_after_first_airbnb_absence,2026-09-07,jtb_catalog,matched_address_catalog_record,"JTB indexed property catalog reports this update date and the matching unit address. Direct page retrieval was unavailable; this is indexed catalog evidence, not an independently captured March offer or a completed stay.",https://www.jtb.co.jp/ovs_htl/detail/search_detail/1213523/,
SD-07,2025-09-25,2025-12-12,2026-05-17,independent_archive_capture,on_or_after_first_airbnb_absence,2026-09-07,direct_manager,metadata_present_operating_status_unknown,Later capture again retains property title/address metadata while rental fields are unpopulated. Does not verify bookability or continued stays.,https://web.archive.org/web/20260517234403/https://missionsands.com/481655/,6dfdd9fef4f25d00f5151e564b1c807818b6a7aa5cf5a340eec90e12f38a960d
SD-08,2025-09-25,2025-12-12,2026-09-07,current_web_observation,on_or_after_first_airbnb_absence,2026-09-07,aggregator,unverified_identity_lead,"Same-title catalog lead lacks independent permit, exact unit address or verified photo linkage. No primary competing booking platform established.",https://www.ehotelsreviews.com/spacious-4br-outdoor-kitchen-hot-tub-13778183-zh,
SD-09,2025-09-25,2025-12-12,2025-09-07,publisher_claimed_update_observed_2026_09_07,on_or_before_last_airbnb_presence,2026-09-07,vrbo_syndicated,supported_identity_claimed_preexisting_advertisement,Syndicated advertisement links Vrbo 4779972 and reports this update date. Exact identifiers STR-09281L and 646310 and 1 bed/1 bath agree with the sampled Airbnb. Current page timestamp is not an independent historical capture.,https://agreatertown.com/san-diego-ca/1-br-condo-vacation-rental-in-san-0002277079791,
SD-09,2025-09-25,2025-12-12,2026-09-07,current_web_observation,on_or_after_first_airbnb_absence,2026-09-07,vrbo_syndicated,supported_identity_catalog_record,The same syndicated record was available through the web research tool. Raw HTTP retrieval later returned 403 and was not retried. Earlier primary Vrbo retrieval returned 429 and was not retried. Current operation remains unknown.,https://agreatertown.com/san-diego-ca/1-br-condo-vacation-rental-in-san-0002277079791,
