line,name,base,bear,bull,unit,source
volume,nights_per_booking_fy26,3.65,3.65,3.65,nights per booking,"WS02 nights_per_booking_fy 3.9 (2023), 3.8 (2024), 3.7 (2025); trend continued"
volume,nights_per_booking_fy27,3.6,3.6,3.6,nights per booking,same trend
cor,merchant_fee_pct_gbv,1.7,1.76,1.64,"% of GBV, annual-equivalent rate","FY24 1.69%, FY25 1.76% (cost of revenue less chargebacks, hosting, other per night; 07_cost_components payment processing $1,665M incl. $67M chargebacks); 1H26 fits 1.68% annual-equivalent after 'higher payment processor rebates and incentives' (1Q26 10-Q). Base 1.70 = rebates persist, do not widen."
cor,chargeback_per_booking,0.72,0.85,0.6,USD per booking,FY25 $67M / 144M bookings = $0.47; 1H26 +$12M and +$13M y/y (10-Q MD&A) implies ~$0.72 on 1H26 bookings; held flat
cor,hosting_fy25,224.0,224.0,224.0,USD m per year,Run-rate of the $672M hosting commitment through 2027 in the FY24 10-K (~$224M a year); FY25 10-K re-cut to $1.7bn through 2031 (~$283M a year)
cor,hosting_step_2h26,30.0,45.0,20.0,USD m per half vs 2H25,1H26 server costs +$12M y/y (2Q26 10-Q) and reserved-instance amortisation +$12-15M (WS05 H14); Mertz 2Q26 'a material increase in AI spend' ramping in 2H
cor,hosting_fy27,330.0,400.0,290.0,USD m per year,Between the old run-rate ($224M) and the new commitment ($283M a year) plus the unsized AI inference ramp; WS05 H03 total purchase obligations ~$465M a year in 2027-28
cor,cor_other_per_night,0.36,0.36,0.36,USD per night,"FY25 residual: 2,086 - 1,598 fees - 67 chargebacks - 224 hosting = $197M on 533M nights (AirCover claims, payment operations)"
cor,xborder_fee_bp_per_pt,1.0,1.0,1.0,bp of GBV per +1pt non-NA revenue share,Cross-border card volume carries higher interchange and FX cost; non-NA share of revenue 2Q26 55.8% vs 55.5% 2Q25 (WS02). Small at current drift.
ops,ops_variable_share,0.19,0.15,0.25,share of the line that behaves like mgmt's 'support cost per booking',"Calibrated on 1H26: line cost per booking -5.1% y/y (WS02) while mgmt's metric fell -10% (1Q26) and -16% (2Q26) and bookings grew 11%; v solves 0.19 x (-13%) + 0.81 x (8% - 11.2%) = -5.1%. Consistent with the metric being third-party contact cost (13,000 contingent workers, FY25 10-K), not the whole line."
