parameter,shock,d_3q26_ebitda_musd,d_fy27_margin_pp,d_fy27_eps_usd,evidence_only_d_3q26_ebitda_musd,evidence_only_d_fy27_margin_pp
marketing_growth_fy27,+5pts,0.0,-0.6690769089908244,-0.1524708629682765,0.0,-0.6477801716292433
recon_share_to_marketing,+0.30 to marketing,0.0,0.5202488698324288,0.11855556973452241,0.0,0.0
merchant_fee_pct_gbv,+10bp of GBV,0.0,-0.3875720001784799,-0.08832084403971407,-26.9389799999999,-0.7288064263344438
hosting_fy27,+$50M a year,0.0,-0.3158837746337113,-0.0719843579547863,0.0,-0.3158837746337042
sentence_3q26_margin_delta_pp,-0.5pp (a bigger 'slightly'),-23.649999999999636,-0.2995731159304924,-0.06826744563179155,0.0,0.0
guide_3q26_revenue_mid,+$40M guide midpoint,-20.16399999999976,-0.25541616531174327,-0.05820485301139389,0.0,0.0
field_growth_fy27,+4pts,0.0,-0.23288973522154777,-0.05307147568317916,0.0,-0.23288973522153356
ops_fixed_growth,+3pts,4.547473508864641e-13,-0.20230817882107033,-0.046102476704680484,-8.334900000000289,-0.3078858517161578
pd_ai_tooling_fy27,+$30M,0.0,-0.18953026478023105,-0.04319061477287267,0.0,-0.18953026478021684
ga_growth_fy27,+3pts,0.0,-0.18854470740336637,-0.04296602357605295,0.0,-0.18854470740335927
pd_growth_fy27,+2pts,0.0,-0.1866392964747874,-0.0425318139288704,0.0,-0.18663929647477318
chargeback_per_booking,+$0.20 per booking,0.0,-0.11635531970520674,-0.026515331448459634,-8.044547945205522,-0.21825512072832964
hosting_step_2h26,+$15M per half,0.0,0.09500204522107936,0.02164929565490148,-7.5,0.0
ops_variable_share,+0.10,0.0,0.09100190029651856,0.020737732962405886,4.184610832171074,0.1440081119646095
ops_variable_decline_fy27,+4pts (slower decline),0.0,-0.06774315672614506,-0.015437474268553686,0.0,-0.06774315672612374
marketing_growth_2h26,+5pts,4.547473508864641e-13,-0.044496154513062436,-0.010139891223580833,-18.90074999999979,-0.28391080867471175
field_growth_fy26,+4pts,0.0,-0.027677305700024135,-0.006307171310223403,-15.109959183673254,-0.2190742424541554
pd_growth_2h26,+2pts,0.0,-0.007695318504801207,-0.0017536277780267895,-6.58889691135164,-0.09115647614869715
ga_growth_2h26,+3pts,0.0,-0.0066398613187175215,-0.0015131076437562285,-7.582544874351697,-0.10268749745790728
ops_variable_decline_2h26,+4pts,0.0,0.0004749887783361828,0.00010824159070565997,-2.9038529962267603,-0.036307941043375536
etr_fy27,+2pts,0.0,0.0,-0.14326559763537094,0.0,0.0
tbill_3m,+100bp,0.0,0.0,0.2805682302080639,0.0,0.0
rnpl_share_shift_pts,+10pts of GBV paid later,0.0,0.0,-0.044015826873518016,0.0,0.0
