quarter,season,fee_stock_musd,unearned_fees_musd,unpaid_share,norm,norm_n,excess_unpaid_pp
2021Q2,2,2167.1039422979734,1483.9,0.315261270566243,0.36159127760424536,4,-4.6330007038002385
2021Q3,3,1854.9824430930578,892.4,0.5189172796094053,0.48073527869052435,3,3.818200091888091
2021Q4,4,1849.7035972481792,904.0,0.5112730486414747,0.4747605277034029,3,3.6512520938071837
2022Q1,1,2856.0930324357982,1747.7,0.3880801570005278,0.3696522246073188,4,1.8427932393209001
2022Q2,2,3147.2487294457947,1980.9,0.37059312107536513,0.36159127760424536,4,0.9001843471119764
2022Q3,3,2436.6066007033087,1220.3,0.49918054081944563,0.48073527869052435,3,1.844526212892128
2022Q4,4,2323.6897967177074,1182.0,0.4913262511762043,0.4747605277034029,3,1.6565723472801441
2023Q1,1,3416.135606009041,2172.0,0.36419385806013826,0.3696522246073188,4,-0.5458366547180515
2023Q2,2,3653.617628817029,2347.0,0.35762298126421255,0.36159127760424536,4,-0.39682963400328175
2023Q3,3,2805.316316383692,1467.0,0.4770643184041733,0.48073527869052435,3,-0.3670960286351055
2023Q4,4,2690.9218969998797,1427.0,0.4696984696616545,0.4747605277034029,3,-0.5062058041748363
2024Q1,1,3868.0741295886323,2434.0,0.3707462891206652,0.3696522246073188,4,0.10940645133464266
2024Q2,2,4089.428659952158,2621.0,0.3590791726806495,0.36159127760424536,4,-0.25121049235958814
2024Q3,3,3102.769513396096,1657.0,0.4659609768479541,0.48073527869052435,3,-1.4774301842570225
2024Q4,4,3010.7511142880735,1616.0,0.46325686227234975,0.4747605277034029,3,-1.1503665431053134
2025Q1,1,4225.561459177062,2723.0,0.35558859424794387,0.3696522246073188,4,-1.4063630359374912
2025Q2,2,4457.583926898754,2857.0,0.3590698353967544,0.36159127760424536,4,-0.25214422074909537
2025Q3,3,3482.6501351611632,1820.0,0.47740946423957176,0.48073527869052435,3,-0.3325814450952591
2025Q4,4,3447.741556345676,1743.0,0.4944516659632002,0.4747605277034029,3,1.9691138259797347
2026Q1,1,4970.26628489329,2733.0,0.4501300648002048,0.3696522246073188,4,8.047784019288601
2026Q2,2,5229.521361739344,2831.0,0.4586502656414416,0.36159127760424536,4,9.705898803719625
