check,passed
prepared only,True
source hash,True
stage hash gbv-joint-cohort-v1__primary-guide.csv,True
stage hash gbv-joint-cohort-v1__primary-revenue.csv,True
42 rows,True
unique method/object/quarter/window,True
primary-guide:W1:2023Q4:point,True
primary-guide:W1:2023Q4:origin,True
primary-guide:W1:2023Q4:horizon,True
primary-guide:W1:2023Q4:counts,True
primary-guide:W1:2023Q4:basis,True
primary-guide:W1:2023Q4:no bands,True
primary-guide:W1:2024Q1:point,True
primary-guide:W1:2024Q1:origin,True
primary-guide:W1:2024Q1:horizon,True
primary-guide:W1:2024Q1:counts,True
primary-guide:W1:2024Q1:basis,True
primary-guide:W1:2024Q1:no bands,True
primary-guide:W2:2024Q1:point,True
primary-guide:W2:2024Q1:origin,True
primary-guide:W2:2024Q1:horizon,True
primary-guide:W2:2024Q1:counts,True
primary-guide:W2:2024Q1:basis,True
primary-guide:W2:2024Q1:no bands,True
primary-guide:W1:2024Q2:point,True
primary-guide:W1:2024Q2:origin,True
primary-guide:W1:2024Q2:horizon,True
primary-guide:W1:2024Q2:counts,True
primary-guide:W1:2024Q2:basis,True
primary-guide:W1:2024Q2:no bands,True
primary-guide:W2:2024Q2:point,True
primary-guide:W2:2024Q2:origin,True
primary-guide:W2:2024Q2:horizon,True
primary-guide:W2:2024Q2:counts,True
primary-guide:W2:2024Q2:basis,True
primary-guide:W2:2024Q2:no bands,True
primary-guide:W1:2024Q3:point,True
primary-guide:W1:2024Q3:origin,True
primary-guide:W1:2024Q3:horizon,True
primary-guide:W1:2024Q3:counts,True
primary-guide:W1:2024Q3:basis,True
primary-guide:W1:2024Q3:no bands,True
primary-guide:W2:2024Q3:point,True
primary-guide:W2:2024Q3:origin,True
primary-guide:W2:2024Q3:horizon,True
primary-guide:W2:2024Q3:counts,True
primary-guide:W2:2024Q3:basis,True
primary-guide:W2:2024Q3:no bands,True
primary-guide:W1:2024Q4:point,True
primary-guide:W1:2024Q4:origin,True
primary-guide:W1:2024Q4:horizon,True
primary-guide:W1:2024Q4:counts,True
primary-guide:W1:2024Q4:basis,True
primary-guide:W1:2024Q4:no bands,True
primary-guide:W2:2024Q4:point,True
primary-guide:W2:2024Q4:origin,True
primary-guide:W2:2024Q4:horizon,True
primary-guide:W2:2024Q4:counts,True
primary-guide:W2:2024Q4:basis,True
primary-guide:W2:2024Q4:no bands,True
primary-guide:W1:2025Q1:point,True
primary-guide:W1:2025Q1:origin,True
primary-guide:W1:2025Q1:horizon,True
primary-guide:W1:2025Q1:counts,True
primary-guide:W1:2025Q1:basis,True
primary-guide:W1:2025Q1:no bands,True
primary-guide:W2:2025Q1:point,True
primary-guide:W2:2025Q1:origin,True
primary-guide:W2:2025Q1:horizon,True
primary-guide:W2:2025Q1:counts,True
primary-guide:W2:2025Q1:basis,True
primary-guide:W2:2025Q1:no bands,True
primary-guide:W1:2025Q2:point,True
primary-guide:W1:2025Q2:origin,True
primary-guide:W1:2025Q2:horizon,True
primary-guide:W1:2025Q2:counts,True
primary-guide:W1:2025Q2:basis,True
primary-guide:W1:2025Q2:no bands,True
primary-guide:W2:2025Q2:point,True
primary-guide:W2:2025Q2:origin,True
primary-guide:W2:2025Q2:horizon,True
primary-guide:W2:2025Q2:counts,True
primary-guide:W2:2025Q2:basis,True
primary-guide:W2:2025Q2:no bands,True
primary-guide:W1:2025Q3:point,True
primary-guide:W1:2025Q3:origin,True
primary-guide:W1:2025Q3:horizon,True
primary-guide:W1:2025Q3:counts,True
primary-guide:W1:2025Q3:basis,True
primary-guide:W1:2025Q3:no bands,True
primary-guide:W2:2025Q3:point,True
primary-guide:W2:2025Q3:origin,True
primary-guide:W2:2025Q3:horizon,True
primary-guide:W2:2025Q3:counts,True
primary-guide:W2:2025Q3:basis,True
primary-guide:W2:2025Q3:no bands,True
primary-guide:W1:2025Q4:point,True
primary-guide:W1:2025Q4:origin,True
primary-guide:W1:2025Q4:horizon,True
primary-guide:W1:2025Q4:counts,True
primary-guide:W1:2025Q4:basis,True
primary-guide:W1:2025Q4:no bands,True
primary-guide:W2:2025Q4:point,True
primary-guide:W2:2025Q4:origin,True
primary-guide:W2:2025Q4:horizon,True
primary-guide:W2:2025Q4:counts,True
primary-guide:W2:2025Q4:basis,True
primary-guide:W2:2025Q4:no bands,True
primary-guide:W1:2026Q1:point,True
primary-guide:W1:2026Q1:origin,True
primary-guide:W1:2026Q1:horizon,True
primary-guide:W1:2026Q1:counts,True
primary-guide:W1:2026Q1:basis,True
primary-guide:W1:2026Q1:no bands,True
primary-guide:W2:2026Q1:point,True
primary-guide:W2:2026Q1:origin,True
primary-guide:W2:2026Q1:horizon,True
primary-guide:W2:2026Q1:counts,True
primary-guide:W2:2026Q1:basis,True
primary-guide:W2:2026Q1:no bands,True
primary-guide:W1:2026Q2:point,True
primary-guide:W1:2026Q2:origin,True
primary-guide:W1:2026Q2:horizon,True
primary-guide:W1:2026Q2:counts,True
primary-guide:W1:2026Q2:basis,True
primary-guide:W1:2026Q2:no bands,True
primary-guide:W2:2026Q2:point,True
primary-guide:W2:2026Q2:origin,True
primary-guide:W2:2026Q2:horizon,True
primary-guide:W2:2026Q2:counts,True
primary-guide:W2:2026Q2:basis,True
primary-guide:W2:2026Q2:no bands,True
primary-revenue:W1:2023Q4:point,True
primary-revenue:W1:2023Q4:origin,True
primary-revenue:W1:2023Q4:horizon,True
primary-revenue:W1:2023Q4:counts,True
primary-revenue:W1:2023Q4:basis,True
primary-revenue:W1:2023Q4:no bands,True
primary-revenue:W1:2024Q1:point,True
primary-revenue:W1:2024Q1:origin,True
primary-revenue:W1:2024Q1:horizon,True
primary-revenue:W1:2024Q1:counts,True
primary-revenue:W1:2024Q1:basis,True
primary-revenue:W1:2024Q1:no bands,True
primary-revenue:W2:2024Q1:point,True
primary-revenue:W2:2024Q1:origin,True
primary-revenue:W2:2024Q1:horizon,True
primary-revenue:W2:2024Q1:counts,True
primary-revenue:W2:2024Q1:basis,True
primary-revenue:W2:2024Q1:no bands,True
primary-revenue:W1:2024Q2:point,True
primary-revenue:W1:2024Q2:origin,True
primary-revenue:W1:2024Q2:horizon,True
primary-revenue:W1:2024Q2:counts,True
primary-revenue:W1:2024Q2:basis,True
primary-revenue:W1:2024Q2:no bands,True
primary-revenue:W2:2024Q2:point,True
primary-revenue:W2:2024Q2:origin,True
primary-revenue:W2:2024Q2:horizon,True
primary-revenue:W2:2024Q2:counts,True
primary-revenue:W2:2024Q2:basis,True
primary-revenue:W2:2024Q2:no bands,True
primary-revenue:W1:2024Q3:point,True
primary-revenue:W1:2024Q3:origin,True
primary-revenue:W1:2024Q3:horizon,True
primary-revenue:W1:2024Q3:counts,True
primary-revenue:W1:2024Q3:basis,True
primary-revenue:W1:2024Q3:no bands,True
primary-revenue:W2:2024Q3:point,True
primary-revenue:W2:2024Q3:origin,True
primary-revenue:W2:2024Q3:horizon,True
primary-revenue:W2:2024Q3:counts,True
primary-revenue:W2:2024Q3:basis,True
primary-revenue:W2:2024Q3:no bands,True
primary-revenue:W1:2024Q4:point,True
primary-revenue:W1:2024Q4:origin,True
primary-revenue:W1:2024Q4:horizon,True
primary-revenue:W1:2024Q4:counts,True
primary-revenue:W1:2024Q4:basis,True
primary-revenue:W1:2024Q4:no bands,True
primary-revenue:W2:2024Q4:point,True
primary-revenue:W2:2024Q4:origin,True
