horizon_quarters,window,model,object,n,gbv_input_component_mean_musd,oracle_residual_mean_musd,gbv_input_component_variance_musd2,oracle_residual_variance_musd2,twice_covariance_musd2,total_error_variance_musd2,identity_error_musd2,basis
2,W1,joint,guide,11,-13.921820913624536,-13.270923689100156,8098.389172929322,2783.4055254886675,-7149.039458557281,3732.7552398607063,-1.8189894035458565e-12,holding_frozen_fit_fixed_not_causal_decomposition
2,W1,fixed,guide,11,-8.772858800721844,20.46720338953471,4453.446054552765,1949.0416944832568,-432.49562020205667,5969.9921288339665,9.094947017729282e-13,holding_frozen_fit_fixed_not_causal_decomposition
2,W1,joint,revenue,11,-14.185109617498876,0.4459313608321777,8499.982630193992,3330.1936823427386,-8408.16154243815,3422.014770098579,-1.8189894035458565e-12,holding_frozen_fit_fixed_not_causal_decomposition
2,W1,fixed,revenue,11,-8.958204660583306,35.08947640632898,4674.602625280485,2752.1287100786963,-1444.9630827806623,5981.7682525785185,-4.547473508864641e-13,holding_frozen_fit_fixed_not_causal_decomposition
2,W2,joint,guide,10,-8.325715421253744,-14.718015405923643,8615.45423270017,3067.0785629808634,-7745.424160731907,3937.1086349491243,-2.7284841053187847e-12,holding_frozen_fit_fixed_not_causal_decomposition
2,W2,fixed,guide,10,-3.6370320866396013,20.854246582186853,4625.891309049863,2163.770964133883,-529.1410323391565,6260.521240844589,-4.547473508864641e-13,holding_frozen_fit_fixed_not_causal_decomposition
2,W2,joint,revenue,10,-8.38602805510418,0.11184617497319778,9033.39979283736,3698.8510447969165,-9295.04335902589,3437.207478608385,0.0,holding_frozen_fit_fixed_not_causal_decomposition
2,W2,fixed,revenue,10,-3.6436057661917403,36.62954686241092,4848.786721988373,3028.931914413372,-1805.588812367314,6072.129824034432,1.3642420526593924e-12,holding_frozen_fit_fixed_not_causal_decomposition
3,W1,joint,guide,10,-1.7220694505231222,-23.59244849033439,12541.521575246208,2681.52919058218,-5989.974967688262,9233.075798140126,0.0,holding_frozen_fit_fixed_not_causal_decomposition
3,W1,fixed,guide,10,-1.238832538821498,17.8282399595058,11277.700034238953,1970.3186778175536,-2593.319609928542,10654.699102127963,-1.8189894035458565e-12,holding_frozen_fit_fixed_not_causal_decomposition
3,W1,joint,revenue,10,-1.5770902008102439,-5.954410457882341,13164.767009594903,2856.618190856226,-709.2037007060509,15312.181499745082,3.296918293926865e-12,holding_frozen_fit_fixed_not_causal_decomposition
3,W1,fixed,revenue,10,-1.1489653587903832,36.62954686241092,11838.923688983734,3028.931914413372,2295.6562928393846,17163.511896236494,3.637978807091713e-12,holding_frozen_fit_fixed_not_causal_decomposition
3,W2,joint,guide,10,-1.7220694505231222,-23.59244849033439,12541.521575246208,2681.52919058218,-5989.974967688262,9233.075798140126,0.0,holding_frozen_fit_fixed_not_causal_decomposition
3,W2,fixed,guide,10,-1.238832538821498,17.8282399595058,11277.700034238953,1970.3186778175536,-2593.319609928542,10654.699102127963,-1.8189894035458565e-12,holding_frozen_fit_fixed_not_causal_decomposition
3,W2,joint,revenue,10,-1.5770902008102439,-5.954410457882341,13164.767009594903,2856.618190856226,-709.2037007060509,15312.181499745082,3.296918293926865e-12,holding_frozen_fit_fixed_not_causal_decomposition
3,W2,fixed,revenue,10,-1.1489653587903832,36.62954686241092,11838.923688983734,3028.931914413372,2295.6562928393846,17163.511896236494,3.637978807091713e-12,holding_frozen_fit_fixed_not_causal_decomposition
4,W1,joint,guide,9,-9.287645676685669,-22.787097378514872,18111.669032398746,2937.7044149170733,-2770.3079699333157,18279.0654773825,-2.7284841053187847e-12,holding_frozen_fit_fixed_not_causal_decomposition
4,W1,fixed,guide,9,-4.301834807452047,12.872340618335935,17296.31370364911,2319.3404319755446,-4102.698143083449,15512.955992541205,0.0,holding_frozen_fit_fixed_not_causal_decomposition
4,W1,joint,revenue,9,-9.2426874783994,3.8799533420908827,19055.548753038678,2350.1934315211925,632.0738035361927,22037.815988096067,3.296918293926865e-12,holding_frozen_fit_fixed_not_causal_decomposition
4,W1,fixed,revenue,9,-4.166504342541884,40.544751777353866,18173.5125360478,3235.0990715476173,-2023.235453403347,19385.376154192076,4.092726157978177e-12,holding_frozen_fit_fixed_not_causal_decomposition
4,W2,joint,guide,9,-9.287645676685669,-22.787097378514872,18111.669032398746,2937.7044149170733,-2770.3079699333157,18279.0654773825,-2.7284841053187847e-12,holding_frozen_fit_fixed_not_causal_decomposition
4,W2,fixed,guide,9,-4.301834807452047,12.872340618335935,17296.31370364911,2319.3404319755446,-4102.698143083449,15512.955992541205,0.0,holding_frozen_fit_fixed_not_causal_decomposition
4,W2,joint,revenue,9,-9.2426874783994,3.8799533420908827,19055.548753038678,2350.1934315211925,632.0738035361927,22037.815988096067,3.296918293926865e-12,holding_frozen_fit_fixed_not_causal_decomposition
4,W2,fixed,revenue,9,-4.166504342541884,40.544751777353866,18173.5125360478,3235.0990715476173,-2023.235453403347,19385.376154192076,4.092726157978177e-12,holding_frozen_fit_fixed_not_causal_decomposition
