method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
kernel-lambda,revenue_level_next_q_w033,revenue_musd,2023Q1,2023-02-14,0,1863.273898715535,1863.273898715535,W1,PIT,5,8,1647.4713689943815,1692.8755471657641,1771.559016844587,1959.736925850976,2050.823893963798,2107.3444352200017,144.78497480547185,,,,,,,,2023-02-14,kernel|w=0.33|season_mean|h0,lower sensitivity bound,1.0
kernel-lambda,revenue_level_next_q_w033,revenue_musd,2023Q1,2023-02-14,0,1824.6233591263801,1824.6233591263801,W1,full_sample,5,22,1677.8693156950974,1709.2316814270662,1762.9541822276285,1888.4497601990254,1947.805226667684,1984.2131753213523,95.42167156055234,,,,,,,,2023-02-14,kernel|w=0.33|season_mean|h0,lower sensitivity bound,1.0
kernel-lambda,revenue_level_next_q_w033,revenue_musd,2023Q2,2023-05-09,0,2684.593668713398,2684.593668713398,W1,PIT,5,9,2401.3983591712813,2461.258453248652,2564.63756295251,2810.16049605038,2928.1943781984287,3001.186012546127,188.24718372386633,,,,,,,,2023-05-09,kernel|w=0.33|season_mean|h0,lower sensitivity bound,1.0
kernel-lambda,revenue_level_next_q_w033,revenue_musd,2023Q2,2023-05-09,0,2528.2723053277077,2528.2723053277077,W1,full_sample,5,22,2324.923936555416,2368.380905531008,2442.820986694958,2616.7127614764076,2698.958108874771,2749.4064426716895,132.22014742271585,,,,,,,,2023-05-09,kernel|w=0.33|season_mean|h0,lower sensitivity bound,1.0
kernel-lambda,revenue_level_next_q_w033,revenue_musd,2023Q3,2023-08-03,0,3653.522522275621,3653.522522275621,W1,PIT,5,10,3271.3784662780326,3352.1858563229007,3491.7000183206515,3822.8446747252674,3981.9471213380857,4080.3065002631715,253.8187277391703,,,,,,,,2023-08-03,kernel|w=0.33|season_mean|h0,lower sensitivity bound,1.0
kernel-lambda,revenue_level_next_q_w033,revenue_musd,2023Q3,2023-08-03,0,3484.80536686817,3484.80536686817,W1,full_sample,5,22,3204.5232606455497,3264.4215075214256,3367.024852028105,3606.705913571862,3720.067527117126,3789.602214498145,182.24361291140985,,,,,,,,2023-08-03,kernel|w=0.33|season_mean|h0,lower sensitivity bound,1.0
kernel-lambda,revenue_level_next_q_w033,revenue_musd,2023Q4,2023-11-01,0,2201.1894406827687,2201.1894406827687,W1,PIT,5,11,1973.3408533487377,2021.544476074176,2104.7383619966267,2302.0604561875143,2396.7985919274583,2455.3461940196526,151.19007880152367,,,,,,,,2023-11-01,kernel|w=0.33|season_mean|h0,lower sensitivity bound,1.0
kernel-lambda,revenue_level_next_q_w033,revenue_musd,2023Q4,2023-11-01,0,2221.559517484049,2221.559517484049,W1,full_sample,5,22,2042.8799887564708,2081.0650540381243,2146.474571218523,2299.2709794471252,2371.5388810875434,2415.8671663958894,116.18009907046189,,,,,,,,2023-11-01,kernel|w=0.33|season_mean|h0,lower sensitivity bound,1.0
kernel-lambda,revenue_level_next_q_w033,revenue_musd,2024Q1,2024-02-13,0,2154.291329088399,2154.291329088399,W1,PIT,5,12,1944.4512159779645,1988.9650503276687,2065.6367170720905,2246.7508890739227,2333.359819379878,2386.7768409151245,138.48789332202614,,,,,,,,2024-02-13,kernel|w=0.33|season_mean|h0,lower sensitivity bound,1.0
kernel-lambda,revenue_level_next_q_w033,revenue_musd,2024Q1,2024-02-13,0,2126.8300454940622,2126.8300454940622,W1,full_sample,5,22,1955.7695867389837,1992.3264034666076,2054.9467948203724,2201.227814665478,2270.4141422538205,2312.852226094039,111.22606594460058,,,,,,,,2024-02-13,kernel|w=0.33|season_mean|h0,lower sensitivity bound,1.0
