method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q1,2024-02-13,1,4496.57333084357,4496.57333084357,W1,PIT,68,6,4311.662994045955,4352.503121323342,,,4640.643540363798,4681.483667641185,112.41433327108926,,,,,,,,2024-02-13,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q2,2024-05-08,1,1993.8814248520448,1993.8814248520448,W1,PIT,68,9,1911.8880359585667,1929.9974639997852,,,2057.765385704304,2075.874813745523,49.847035621301124,,,,,,,,2024-05-08,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q3,2024-08-06,1,2701.574228090248,2701.574228090248,W1,PIT,68,10,2590.478741895607,2615.0157898222365,,,2788.13266635826,2812.6697142848893,67.5393557022562,,,,,,,,2024-08-06,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q4,2024-11-07,1,3291.1672094402415,3291.1672094402415,W1,PIT,68,11,199.3290849601135,882.206336235954,,,5700.128082644529,6383.00533392037,1879.6511182929833,,,,,,,,2024-11-07,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q1,2025-02-13,1,3611.0549262192208,3611.0549262192208,W1,PIT,68,12,1035.4065554161516,1604.2758198776721,,,5617.83403256077,6186.70329702229,1565.8388782315453,,,,,,,,2025-02-13,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q2,2025-05-01,1,2143.5321126908893,2143.5321126908893,W1,PIT,68,13,-203.7803546933551,314.65761685549046,,,3972.4066085262884,4490.844580075134,1427.0244193472213,,,,,,,,2025-05-01,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q3,2025-08-06,1,2907.1318317306004,2907.1318317306004,W1,PIT,68,14,579.5082238060991,1093.5976254469108,,,4720.66603801429,5234.755439655102,1415.0547801839025,,,,,,,,2025-08-06,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q4,2025-11-06,1,3563.3992859492473,3563.3992859492473,W1,PIT,68,15,1247.2879129255857,1758.834670673471,,,5367.963901225024,5879.510658972909,1408.0560356396506,,,,,,,,2025-11-06,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2026Q1,2026-02-12,1,3758.670477861766,3758.670477861766,W1,PIT,68,16,1575.7896795526894,2057.910534331513,,,5459.430421392019,5941.551276170842,1327.0598810317201,,,,,,,,2026-02-12,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2026Q2,2026-05-07,1,2431.2592452204435,2431.2592452204435,W1,PIT,68,17,329.28279743267285,793.5347540752025,,,4068.9837363656843,4533.235693008214,1277.8749150633903,,,,,,,,2026-05-07,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q1,2024-02-13,1,4496.57333084357,4496.57333084357,W2,PIT,68,6,4311.662994045955,4352.503121323342,,,4640.643540363798,4681.483667641185,112.41433327108926,,,,,,,,2024-02-13,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q2,2024-05-08,1,1993.8814248520448,1993.8814248520448,W2,PIT,68,9,1911.8880359585667,1929.9974639997852,,,2057.765385704304,2075.874813745523,49.847035621301124,,,,,,,,2024-05-08,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q3,2024-08-06,1,2701.574228090248,2701.574228090248,W2,PIT,68,10,2590.478741895607,2615.0157898222365,,,2788.13266635826,2812.6697142848893,67.5393557022562,,,,,,,,2024-08-06,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q4,2024-11-07,1,3291.1672094402415,3291.1672094402415,W2,PIT,68,11,199.3290849601135,882.206336235954,,,5700.128082644529,6383.00533392037,1879.6511182929833,,,,,,,,2024-11-07,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q1,2025-02-13,1,3611.0549262192208,3611.0549262192208,W2,PIT,68,12,1035.4065554161516,1604.2758198776721,,,5617.83403256077,6186.70329702229,1565.8388782315453,,,,,,,,2025-02-13,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
