method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
kernel-lambda,revenue_level_next_q,revenue_musd,2023Q1,2023-02-14,0,1883.8830665818462,1883.8830665818462,W1,PIT,5,8,1757.0311462296909,1784.2923695337086,1830.7950512925038,1938.5104881337134,1989.032441741197,2019.8932820112157,81.55336494112953,,,,,,,,2023-02-14,kernel|w=0.6667|season_mean|h0,h0: both GBV lags printed at the guide date,1.0
kernel-lambda,revenue_level_next_q,revenue_musd,2023Q1,2023-02-14,0,1829.637012537707,1829.637012537707,W1,full_sample,5,22,1740.552869515707,1759.8475894560313,1792.5689673510224,1867.4715777294714,1902.1940409525105,1923.280617485256,56.37164600691199,,,,,,,,2023-02-14,kernel|w=0.6667|season_mean|h0,h0: both GBV lags printed at the guide date,1.0
kernel-lambda,revenue_level_next_q,revenue_musd,2023Q2,2023-05-09,0,2617.4205174430545,2617.4205174430545,W1,PIT,5,9,2450.663683399971,2486.5556526933037,2547.7106816190994,2689.03773672529,2755.1726653338137,2795.5244171355116,106.87596116345367,,,,,,,,2023-05-09,kernel|w=0.6667|season_mean|h0,h0: both GBV lags printed at the guide date,1.0
kernel-lambda,revenue_level_next_q,revenue_musd,2023Q2,2023-05-09,0,2527.246603760552,2527.246603760552,W1,full_sample,5,22,2404.1961864600175,2430.8476561808134,2476.045141030982,2579.5068475851035,2627.4683976922,2656.594928562607,77.86519945929695,,,,,,,,2023-05-09,kernel|w=0.6667|season_mean|h0,h0: both GBV lags printed at the guide date,1.0
kernel-lambda,revenue_level_next_q,revenue_musd,2023Q3,2023-08-03,0,3417.101394036388,3417.101394036388,W1,PIT,5,10,3196.673287843248,3244.1012649083655,3324.9324147177485,3511.825348821905,3599.327204557913,3652.729223699757,141.3706984315645,,,,,,,,2023-08-03,kernel|w=0.6667|season_mean|h0,h0: both GBV lags printed at the guide date,1.0
kernel-lambda,revenue_level_next_q,revenue_musd,2023Q3,2023-08-03,0,3387.2937665801687,3387.2937665801687,W1,full_sample,5,22,3222.3680680444722,3258.08929806655,3318.667936680715,3457.3386913150384,3521.622034092731,3560.6606131979984,104.36350151565466,,,,,,,,2023-08-03,kernel|w=0.6667|season_mean|h0,h0: both GBV lags printed at the guide date,1.0
kernel-lambda,revenue_level_next_q,revenue_musd,2023Q4,2023-11-01,0,2245.9180386382905,2245.9180386382905,W1,PIT,5,11,2111.0634658320514,2140.13373687206,2189.608367449966,2303.6758131114198,2356.9311344314433,2389.3871112457414,86.15952335704696,,,,,,,,2023-11-01,kernel|w=0.6667|season_mean|h0,h0: both GBV lags printed at the guide date,1.0
kernel-lambda,revenue_level_next_q,revenue_musd,2023Q4,2023-11-01,0,2238.4861150139554,2238.4861150139554,W1,full_sample,5,22,2129.495306533274,2153.101607883503,2193.134876548346,2284.7751593812245,2327.2566741687124,2353.055238833875,68.96840520947535,,,,,,,,2023-11-01,kernel|w=0.6667|season_mean|h0,h0: both GBV lags printed at the guide date,1.0
kernel-lambda,revenue_level_next_q,revenue_musd,2024Q1,2024-02-13,0,2154.7595490216745,2154.7595490216745,W1,PIT,5,12,2032.7281668311005,2059.071775099718,2103.8579557457588,2206.892676104779,2254.894059666878,2284.1168779287514,77.7408668998255,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean|h0,h0: both GBV lags printed at the guide date,1.0
kernel-lambda,revenue_level_next_q,revenue_musd,2024Q1,2024-02-13,0,2117.396824368755,2117.396824368755,W1,full_sample,5,22,2014.3017950029196,2036.6311305207128,2074.498828413273,2161.1818962925577,2201.3654042009102,2225.7684141319987,65.23760911128556,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean|h0,h0: both GBV lags printed at the guide date,1.0
kernel-lambda,revenue_level_next_q,revenue_musd,2024Q1,2024-02-13,0,2154.7595490216745,2154.7595490216745,W2,PIT,5,12,2032.7281668311005,2059.071775099718,2103.8579557457588,2206.892676104779,2254.894059666878,2284.1168779287514,77.7408668998255,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean|h0,h0: both GBV lags printed at the guide date,1.0
kernel-lambda,revenue_level_next_q,revenue_musd,2024Q1,2024-02-13,0,2117.396824368755,2117.396824368755,W2,full_sample,5,22,2014.3017950029196,2036.6311305207128,2074.498828413273,2161.1818962925577,2201.3654042009102,2225.7684141319987,65.23760911128556,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean|h0,h0: both GBV lags printed at the guide date,1.0
kernel-lambda,revenue_level_next_q,revenue_musd,2024Q2,2024-05-08,0,2904.634471691335,2904.634471691335,W1,PIT,5,13,2748.9239827380657,2782.58053616332,2839.745192916787,2971.00649564682,3032.0421294150865,3069.165050440581,98.94223966925892,,,,,,,,2024-05-08,kernel|w=0.6667|season_mean|h0,h0: both GBV lags printed at the guide date,1.0
