method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
kernel-lambda,revenue_level_next_q_w038,revenue_musd,2023Q1,2023-02-14,0,1865.7719237429176,1865.7719237429176,W1,PIT,5,8,1665.6174396940198,1707.8911537552003,1780.9415917450838,1954.642918983286,2038.247498251468,2089.9786400332373,133.26043474169182,,,,,,,,2023-02-14,kernel|w=0.38|season_mean|h0,M6 weight sensitivity,1.0
kernel-lambda,revenue_level_next_q_w038,revenue_musd,2023Q1,2023-02-14,0,1825.1856288542378,1825.1856288542378,W1,full_sample,5,22,1689.6228407765352,1718.6701979208797,1768.329150019478,1883.8701944936813,1938.3024060148387,1971.6249682355167,87.67583761347623,,,,,,,,2023-02-14,kernel|w=0.38|season_mean|h0,M6 weight sensitivity,1.0
kernel-lambda,revenue_level_next_q_w038,revenue_musd,2023Q2,2023-05-09,0,2672.976686687407,2672.976686687407,W1,PIT,5,9,2411.397943610419,2466.8760823605335,2562.4471671663073,2788.273826334338,2896.2964206688407,2962.930438962291,172.70326813003294,,,,,,,,2023-05-09,kernel|w=0.38|season_mean|h0,M6 weight sensitivity,1.0
kernel-lambda,revenue_level_next_q_w038,revenue_musd,2023Q2,2023-05-09,0,2527.9004540907968,2527.9004540907968,W1,full_sample,5,22,2340.1446290821573,2380.375510891927,2449.153659029398,2609.179167763989,2684.5683282122213,2730.720412053688,121.4319169579644,,,,,,,,2023-05-09,kernel|w=0.38|season_mean|h0,M6 weight sensitivity,1.0
kernel-lambda,revenue_level_next_q_w038,revenue_musd,2023Q3,2023-08-03,0,3616.056028027415,3616.056028027415,W1,PIT,5,10,3264.098356209063,3338.7623187322038,3467.362163822906,3771.1264586843,3916.3797687756874,4005.964211513456,232.26587622114675,,,,,,,,2023-08-03,kernel|w=0.38|season_mean|h0,M6 weight sensitivity,1.0
kernel-lambda,revenue_level_next_q_w038,revenue_musd,2023Q3,2023-08-03,0,3469.383089150467,3469.383089150467,W1,full_sample,5,22,3211.700124174402,3266.9144585784948,3361.308105949016,3580.9329701077427,3684.3998126968513,3747.7406214496345,166.65760651109622,,,,,,,,2023-08-03,kernel|w=0.38|season_mean|h0,M6 weight sensitivity,1.0
kernel-lambda,revenue_level_next_q_w038,revenue_musd,2023Q4,2023-11-01,0,2207.631168334024,2207.631168334024,W1,PIT,5,11,1996.6910391438198,2041.474769081187,2118.5644885482097,2300.4423050343894,2387.311099413361,2440.856036239667,138.98576746449726,,,,,,,,2023-11-01,kernel|w=0.38|season_mean|h0,M6 weight sensitivity,1.0
kernel-lambda,revenue_level_next_q_w038,revenue_musd,2023Q4,2023-11-01,0,2223.9921413626753,2223.9921413626753,W1,full_sample,5,22,2058.8086276532854,2094.202887280965,2154.7124143502297,2295.499395604718,2361.825148309684,2402.428753410048,106.83317398360532,,,,,,,,2023-11-01,kernel|w=0.38|season_mean|h0,M6 weight sensitivity,1.0
kernel-lambda,revenue_level_next_q_w038,revenue_musd,2024Q1,2024-02-13,0,2154.031837032515,2154.031837032515,W1,PIT,5,12,1960.4922468024452,2001.6844393379365,2072.4601597340993,2238.8141615928453,2317.9743338986627,2366.677635434291,126.88232328431604,,,,,,,,2024-02-13,kernel|w=0.38|season_mean|h0,M6 weight sensitivity,1.0
kernel-lambda,revenue_level_next_q_w038,revenue_musd,2024Q1,2024-02-13,0,2125.314112885532,2125.314112885532,W1,full_sample,5,22,1967.4597543321408,2001.2835786626313,2059.108311696778,2193.6486064243395,2257.031500477756,2295.833532800118,102.09301020847715,,,,,,,,2024-02-13,kernel|w=0.38|season_mean|h0,M6 weight sensitivity,1.0
