method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
kernel-lambda,revenue_level_next_q_last3,revenue_musd,2023Q1,2023-02-14,0,1883.8830665818462,1883.8830665818462,W1,PIT,5,8,1757.0311462296909,1784.2923695337086,1830.7950512925038,1938.5104881337134,1989.032441741197,2019.8932820112157,81.55336494112953,,,,,,,,2023-02-14,kernel|w=0.6667|season_mean_last3|h0,season mean over the 3 most recent same-quarter cells only,1.0
kernel-lambda,revenue_level_next_q_last3,revenue_musd,2023Q1,2023-02-14,0,1797.351980687517,1797.351980687517,W1,full_sample,5,22,1709.8397802831537,1728.7940334294938,1760.938023175752,1834.5189325035778,1868.6286972386704,1889.343188603535,55.37693482960776,,,,,,,,2023-02-14,kernel|w=0.6667|season_mean_last3|h0,season mean over the 3 most recent same-quarter cells only,1.0
kernel-lambda,revenue_level_next_q_last3,revenue_musd,2023Q2,2023-05-09,0,2617.4205174430545,2617.4205174430545,W1,PIT,5,9,2450.663683399971,2486.5556526933037,2547.7106816190994,2689.03773672529,2755.1726653338137,2795.5244171355116,106.87596116345367,,,,,,,,2023-05-09,kernel|w=0.6667|season_mean_last3|h0,season mean over the 3 most recent same-quarter cells only,1.0
kernel-lambda,revenue_level_next_q_last3,revenue_musd,2023Q2,2023-05-09,0,2481.5461958924006,2481.5461958924006,W1,full_sample,5,22,2360.7209093925626,2386.890438397833,2431.2706134179307,2532.861413436369,2579.955670894374,2608.55550431524,76.45715666334263,,,,,,,,2023-05-09,kernel|w=0.6667|season_mean_last3|h0,season mean over the 3 most recent same-quarter cells only,1.0
kernel-lambda,revenue_level_next_q_last3,revenue_musd,2023Q3,2023-08-03,0,3417.101394036388,3417.101394036388,W1,PIT,5,10,3196.673287843248,3244.1012649083655,3324.9324147177485,3511.825348821905,3599.327204557913,3652.729223699757,141.3706984315645,,,,,,,,2023-08-03,kernel|w=0.6667|season_mean_last3|h0,season mean over the 3 most recent same-quarter cells only,1.0
kernel-lambda,revenue_level_next_q_last3,revenue_musd,2023Q3,2023-08-03,0,3367.4220149426883,3367.4220149426883,W1,full_sample,5,22,3203.463862402638,3238.9755317960544,3299.198782379528,3437.056017140653,3500.9622380298606,3539.771795089295,103.75124709515012,,,,,,,,2023-08-03,kernel|w=0.6667|season_mean_last3|h0,season mean over the 3 most recent same-quarter cells only,1.0
kernel-lambda,revenue_level_next_q_last3,revenue_musd,2023Q4,2023-11-01,0,2245.9180386382905,2245.9180386382905,W1,PIT,5,11,2111.0634658320514,2140.13373687206,2189.608367449966,2303.6758131114198,2356.9311344314433,2389.3871112457414,86.15952335704696,,,,,,,,2023-11-01,kernel|w=0.6667|season_mean_last3|h0,season mean over the 3 most recent same-quarter cells only,1.0
kernel-lambda,revenue_level_next_q_last3,revenue_musd,2023Q4,2023-11-01,0,2233.5314992643985,2233.5314992643985,W1,full_sample,5,22,2124.7819286330982,2148.3359803170583,2188.2806402288234,2279.718088482755,2322.1055756232454,2347.8470383149147,68.81575206394928,,,,,,,,2023-11-01,kernel|w=0.6667|season_mean_last3|h0,season mean over the 3 most recent same-quarter cells only,1.0
kernel-lambda,revenue_level_next_q_last3,revenue_musd,2024Q1,2024-02-13,0,2154.7595490216745,2154.7595490216745,W1,PIT,5,12,2032.7281668311005,2059.071775099718,2103.8579557457588,2206.892676104779,2254.894059666878,2284.1168779287514,77.7408668998255,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean_last3|h0,season mean over the 3 most recent same-quarter cells only,1.0
kernel-lambda,revenue_level_next_q_last3,revenue_musd,2024Q1,2024-02-13,0,2080.0340997158355,2080.0340997158355,W1,full_sample,5,22,1978.758243379331,2000.6935645087808,2037.8930643794506,2123.0465580381783,2162.5210040813727,2186.493408407378,64.08645274881837,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean_last3|h0,season mean over the 3 most recent same-quarter cells only,1.0
kernel-lambda,revenue_level_next_q_last3,revenue_musd,2024Q1,2024-02-13,0,2154.7595490216745,2154.7595490216745,W2,PIT,5,12,2032.7281668311005,2059.071775099718,2103.8579557457588,2206.892676104779,2254.894059666878,2284.1168779287514,77.7408668998255,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean_last3|h0,season mean over the 3 most recent same-quarter cells only,1.0
kernel-lambda,revenue_level_next_q_last3,revenue_musd,2024Q1,2024-02-13,0,2080.0340997158355,2080.0340997158355,W2,full_sample,5,22,1978.758243379331,2000.6935645087808,2037.8930643794506,2123.0465580381783,2162.5210040813727,2186.493408407378,64.08645274881837,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean_last3|h0,season mean over the 3 most recent same-quarter cells only,1.0
kernel-lambda,revenue_level_next_q_last3,revenue_musd,2024Q2,2024-05-08,0,2904.634471691335,2904.634471691335,W1,PIT,5,13,2748.9239827380657,2782.58053616332,2839.745192916787,2971.00649564682,3032.0421294150865,3069.165050440581,98.94223966925892,,,,,,,,2024-05-08,kernel|w=0.6667|season_mean_last3|h0,season mean over the 3 most recent same-quarter cells only,1.0
kernel-lambda,revenue_level_next_q_last3,revenue_musd,2024Q2,2024-05-08,0,2801.4508620295423,2801.4508620295423,W1,full_sample,5,22,2665.0495717451936,2694.5927048579574,2744.6940810776996,2859.3813009880173,2912.5466413595777,2944.8333777997077,86.31351203430768,,,,,,,,2024-05-08,kernel|w=0.6667|season_mean_last3|h0,season mean over the 3 most recent same-quarter cells only,1.0
