year,q,quarter,region,measure,n_markets,w_equal,w_reviews,w_median,reviews,reviews_lag12,regions_weight_covered
2016,1,1Q16,APAC,yoy_all,17.0,1.6525742192999129,1.8076767349582965,1.5882352941176472,34672.0,12349.0,
2016,1,1Q16,EMEA,yoy_all,56.0,1.485244788426094,1.197541212629226,1.3987951807228916,110110.0,50106.0,
2016,1,1Q16,LatAm,yoy_all,7.0,1.661058572649002,1.1113478955780502,1.9542857142857144,11889.0,5631.0,
2016,1,1Q16,NAM,yoy_all,39.0,1.5173982761027105,1.039405021161195,1.291845493562232,49633.0,24337.0,
2016,1,1Q16,GLOBAL,yoy_all,119.0,1.5300286777857857,1.2321716455860554,1.4,206304.0,92423.0,
2016,2,2Q16,APAC,yoy_all,17.0,1.5308271811140646,1.5475349001590386,1.4078651685393258,28833.0,11318.0,
2016,2,2Q16,EMEA,yoy_all,57.0,1.0430410449797136,0.7992203707421535,0.8987341772151898,215086.0,119544.0,
2016,2,2Q16,LatAm,yoy_all,7.0,1.4675531152830656,1.003801558639042,1.6741214057507987,10542.0,5261.0,
2016,2,2Q16,NAM,yoy_all,41.0,1.1502890609119842,0.929276073619632,0.958025650991061,78618.0,40750.0,
2016,2,2Q16,GLOBAL,yoy_all,122.0,1.1714108602225868,0.8831534490849366,1.032558395576171,333079.0,176873.0,
2016,3,3Q16,APAC,yoy_all,17.0,1.4662577135738193,1.5117284388066046,1.3413231064237774,35443.0,14111.0,
2016,3,3Q16,EMEA,yoy_all,57.0,0.9128271000116692,0.7605217475751727,0.8706489041684573,290053.0,164754.0,
2016,3,3Q16,LatAm,yoy_all,7.0,1.3873777408692298,1.1445766071934296,1.288640595903166,15145.0,7062.0,
2016,3,3Q16,NAM,yoy_all,42.0,1.1970581293692235,0.8615615669306824,0.9662343331046954,104119.0,55931.0,
2016,3,3Q16,GLOBAL,yoy_all,123.0,1.113378954886277,0.8389302814047912,0.9814814814814814,444760.0,241858.0,
2016,4,4Q16,APAC,yoy_all,17.0,1.3179403116189443,1.3742920143542738,1.143478260869565,54915.0,23129.0,
2016,4,4Q16,EMEA,yoy_all,57.0,0.9609542982688224,0.780614132445431,0.9046084885838352,211772.0,118932.0,
2016,4,4Q16,LatAm,yoy_all,7.0,1.1060803362460976,0.9140991868056352,1.2846034214618975,16712.0,8731.0,
2016,4,4Q16,NAM,yoy_all,42.0,1.1827272295439974,0.8692818701648166,0.9781880059815398,88918.0,47568.0,
2016,4,4Q16,GLOBAL,yoy_all,123.0,1.094280376369232,0.876976204880016,0.995045417010735,372317.0,198360.0,
