market_key,vintage,aug_covered_to,n_cur,region
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2026-08-30,2026-08-16,18249.0,LatAm
australia_nsw_mid-north-coast,2026-08-18,2026-08-04,535.0,APAC
australia_nsw_northern-rivers,2026-08-27,2026-08-13,2214.0,APAC
australia_nsw_sydney,2026-08-15,2026-08-01,800.0,APAC
australia_qld_brisbane,2026-08-13,2026-07-30,,
australia_qld_sunshine-coast,2026-08-31,2026-08-17,4701.0,APAC
australia_sa_barossa-valley,2026-08-30,2026-08-16,175.0,APAC
australia_tas_tasmania,2026-08-13,2026-07-30,,
australia_vic_barwon-south-west-vic,2026-08-31,2026-08-17,2432.0,APAC
australia_vic_melbourne,2026-08-15,2026-08-01,964.0,APAC
australia_vic_mornington-peninsula,2026-08-26,2026-08-12,968.0,APAC
australia_wa_western-australia,2026-08-30,2026-08-16,8845.0,APAC
austria_vienna_vienna,2026-08-25,2026-08-11,5419.0,EMEA
belgium_bru_brussels,2026-08-28,2026-08-14,4069.0,EMEA
belgium_vlg_antwerp,2026-08-31,2026-08-17,2268.0,EMEA
belgium_vlg_ghent,2026-08-30,2026-08-16,1843.0,EMEA
belize_bz_belize,2026-08-31,2026-08-17,727.0,LatAm
brazil_rj_rio-de-janeiro,2026-08-30,2026-08-16,23265.0,LatAm
brazil_sp_são-paulo,2026-08-18,2026-08-04,9024.0,LatAm
canada_bc_vancouver,2026-08-23,2026-08-09,5080.0,NAM
canada_bc_victoria,2026-08-31,2026-08-17,5713.0,NAM
canada_mb_winnipeg,2026-08-26,2026-08-12,1307.0,NAM
canada_nb_new-brunswick,2026-08-31,2026-08-17,9388.0,NAM
canada_on_ottawa,2026-08-27,2026-08-13,1805.0,NAM
canada_on_toronto,2026-08-15,2026-08-01,851.0,NAM
canada_qc_montreal,2026-08-10,2026-07-27,,
canada_qc_quebec-city,2026-08-18,2026-08-04,959.0,NAM
chile_rm_santiago,2026-08-30,2026-08-16,17630.0,LatAm
china_hk_hong-kong,2026-08-28,2026-08-14,1173.0,APAC
colombia_dc_bogotá,2026-08-18,2026-08-04,3478.0,LatAm
czech-republic_prague_prague,2026-08-28,2026-08-14,11955.0,EMEA
denmark_hovedstaden_copenhagen,2026-08-31,2026-08-17,11470.0,EMEA
france_auvergne-rhone-alpes_lyon,2026-08-25,2026-08-11,2360.0,EMEA
france_ile-de-france_paris,2026-08-15,2026-08-01,1343.0,EMEA
france_nouvelle-aquitaine_bordeaux,2026-08-25,2026-08-11,3250.0,EMEA
france_pyrénées-atlantiques_pays-basque,2026-08-27,2026-08-13,8840.0,EMEA
germany_be_berlin,2026-08-27,2026-08-13,5866.0,EMEA
germany_bv_munich,2026-08-30,2026-08-16,2922.0,EMEA
greece_attica_athens,2026-08-30,2026-08-16,10469.0,EMEA
greece_central-macedonia_thessaloniki,2026-08-30,2026-08-16,3030.0,EMEA
greece_crete_crete,2026-08-31,2026-08-17,14582.0,EMEA
greece_south-aegean_south-aegean,2026-08-28,2026-08-14,16390.0,EMEA
hungary_közép-magyarország_budapest,2026-08-29,2026-08-15,11427.0,EMEA
ireland,2026-08-23,2026-08-09,23192.0,EMEA
ireland_leinster_dublin,2026-08-25,2026-08-11,4074.0,EMEA
italy_campania_naples,2026-08-27,2026-08-13,4566.0,EMEA
italy_emilia-romagna_bologna,2026-08-27,2026-08-13,2089.0,EMEA
italy_lazio_rome,2026-08-25,2026-08-11,15242.0,EMEA
italy_lombardia_bergamo,2026-08-31,2026-08-17,2966.0,EMEA
italy_lombardy_milan,2026-08-27,2026-08-13,9092.0,EMEA
italy_puglia_puglia,2026-08-31,2026-08-17,18582.0,EMEA
italy_sicilia_sicily,2026-08-31,2026-08-17,24441.0,EMEA
italy_toscana_florence,2026-08-27,2026-08-13,7436.0,EMEA
italy_trentino-alto-adige-südtirol_trentino,2026-08-31,2026-08-17,5319.0,EMEA
italy_veneto_venice,2026-08-13,2026-07-30,,
japan_kanto_tokyo,2026-08-31,2026-08-17,20498.0,APAC
kenya_nairobi_nairobi,2026-08-18,2026-08-04,825.0,EMEA
latvia_riga_riga,2026-08-31,2026-08-17,3936.0,EMEA
malta,2026-08-30,2026-08-16,7498.0,EMEA
mexico_df_mexico-city,2026-08-30,2026-08-16,32000.0,LatAm
new-zealand,2026-08-13,2026-07-30,,
norway_oslo_oslo,2026-08-31,2026-08-17,8538.0,EMEA
portugal_lisbon_lisbon,2026-08-26,2026-08-12,14484.0,EMEA
portugal_norte_porto,2026-08-26,2026-08-12,10814.0,EMEA
singapore_sg_singapore,2026-08-31,2026-08-17,471.0,APAC
south-africa_wc_cape-town,2026-08-30,2026-08-16,7076.0,EMEA
spain_andalucía_malaga,2026-08-31,2026-08-17,7590.0,EMEA
spain_andalucía_sevilla,2026-08-31,2026-08-17,4997.0,EMEA
spain_catalonia_barcelona,2026-08-23,2026-08-09,6898.0,EMEA
spain_catalonia_girona,2026-08-31,2026-08-17,12762.0,EMEA
spain_comunidad-de-madrid_madrid,2026-08-23,2026-08-09,8358.0,EMEA
spain_islas-baleares_mallorca,2026-08-26,2026-08-12,5157.0,EMEA
spain_islas-baleares_menorca,2026-08-31,2026-08-17,2316.0,EMEA
spain_pv_euskadi,2026-08-31,2026-08-17,7537.0,EMEA
spain_vc_valencia,2026-08-28,2026-08-14,5829.0,EMEA
sweden_stockholms-län_stockholm,2026-08-31,2026-08-17,3904.0,EMEA
switzerland_geneva_geneva,2026-08-31,2026-08-17,819.0,EMEA
switzerland_vd_vaud,2026-08-10,2026-07-27,,
switzerland_zürich_zurich,2026-08-31,2026-08-17,1958.0,EMEA
taiwan_northern-taiwan_taipei,2026-08-31,2026-08-17,3238.0,APAC
thailand_central-thailand_bangkok,2026-08-30,2026-08-16,8892.0,APAC
the-netherlands_north-holland_amsterdam,2026-08-15,2026-08-01,208.0,EMEA
the-netherlands_south-holland_rotterdam,2026-08-29,2026-08-15,854.0,EMEA
the-netherlands_south-holland_the-hague,2026-08-30,2026-08-16,1107.0,EMEA
turkey_marmara_istanbul,2026-08-31,2026-08-17,10851.0,EMEA
united-kingdom_england_bristol,2026-08-30,2026-08-16,2513.0,EMEA
united-kingdom_england_greater-manchester,2026-08-30,2026-08-16,4702.0,EMEA
united-kingdom_england_london,2026-08-18,2026-08-04,9646.0,EMEA
united-kingdom_scotland_edinburgh,2026-08-26,2026-08-12,7627.0,EMEA
united-states_ca_los-angeles,2026-08-10,2026-07-27,,
united-states_ca_oakland,2026-08-29,2026-08-15,1040.0,NAM
united-states_ca_pacific-grove,2026-08-31,2026-08-17,190.0,NAM
united-states_ca_san-diego,2026-08-29,2026-08-15,10936.0,NAM
united-states_ca_san-francisco,2026-08-10,2026-07-27,,
united-states_ca_san-mateo-county,2026-08-29,2026-08-15,2045.0,NAM
united-states_ca_santa-clara-county,2026-08-29,2026-08-15,2723.0,NAM
united-states_ca_santa-cruz-county,2026-08-31,2026-08-17,2289.0,NAM
united-states_co_denver,2026-08-31,2026-08-17,4420.0,NAM
united-states_dc_washington-dc,2026-08-27,2026-08-13,3643.0,NAM
united-states_fl_broward-county,2026-08-30,2026-08-16,8296.0,NAM
united-states_hi_hawaii,2026-08-25,2026-08-11,9993.0,NAM
united-states_il_chicago,2026-08-27,2026-08-13,7808.0,NAM
united-states_la_new-orleans,2026-08-15,2026-08-01,133.0,NAM
united-states_ma_boston,2026-08-27,2026-08-13,2965.0,NAM
united-states_ma_cambridge,2026-08-31,2026-08-17,1037.0,NAM
united-states_mn_twin-cities-msa,2026-08-28,2026-08-14,4422.0,NAM
united-states_mt_bozeman,2026-08-18,2026-08-04,173.0,NAM
united-states_nc_asheville,2026-08-27,2026-08-13,2000.0,NAM
united-states_nj_jersey-city,2026-08-29,2026-08-15,1465.0,NAM
united-states_nj_newark,2026-08-31,2026-08-17,1395.0,NAM
united-states_nv_clark-county-nv,2026-08-28,2026-08-14,6893.0,NAM
united-states_ny_albany,2026-08-13,2026-07-30,,
united-states_ny_new-york-city,2026-08-10,2026-07-27,,
united-states_ny_rochester,2026-08-29,2026-08-15,670.0,NAM
united-states_oh_columbus,2026-08-30,2026-08-16,2611.0,NAM
united-states_or_portland,2026-08-10,2026-07-27,,
united-states_or_salem-or,2026-08-29,2026-08-15,263.0,NAM
united-states_ri_rhode-island,2026-08-31,2026-08-17,6636.0,NAM
united-states_tn_nashville,2026-08-27,2026-08-13,7608.0,NAM
united-states_tx_austin,2026-08-25,2026-08-11,4709.0,NAM
united-states_tx_dallas,2026-08-27,2026-08-13,3915.0,NAM
united-states_tx_fort-worth,2026-08-25,2026-08-11,1033.0,NAM
united-states_wa_seattle,2026-08-29,2026-08-15,8269.0,NAM
