market_key,country,region
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm
australia_nsw_mid-north-coast,australia,APAC
australia_nsw_northern-rivers,australia,APAC
australia_nsw_sydney,australia,APAC
australia_qld_brisbane,australia,APAC
australia_qld_sunshine-coast,australia,APAC
australia_sa_barossa-valley,australia,APAC
australia_tas_tasmania,australia,APAC
australia_vic_barwon-south-west-vic,australia,APAC
australia_vic_melbourne,australia,APAC
australia_vic_mornington-peninsula,australia,APAC
australia_wa_western-australia,australia,APAC
austria_vienna_vienna,austria,EMEA
belgium_bru_brussels,belgium,EMEA
belgium_vlg_antwerp,belgium,EMEA
belgium_vlg_ghent,belgium,EMEA
belize_bz_belize,belize,LatAm
brazil_rj_rio-de-janeiro,brazil,LatAm
brazil_sp_são-paulo,brazil,LatAm
canada_bc_vancouver,canada,NAM
canada_bc_victoria,canada,NAM
canada_mb_winnipeg,canada,NAM
canada_nb_new-brunswick,canada,NAM
canada_on_ottawa,canada,NAM
canada_on_toronto,canada,NAM
canada_qc_montreal,canada,NAM
canada_qc_quebec-city,canada,NAM
chile_rm_santiago,chile,LatAm
china_hk_hong-kong,china,APAC
colombia_dc_bogotá,colombia,LatAm
czech-republic_prague_prague,czech-republic,EMEA
denmark_hovedstaden_copenhagen,denmark,EMEA
france_auvergne-rhone-alpes_lyon,france,EMEA
france_ile-de-france_paris,france,EMEA
france_nouvelle-aquitaine_bordeaux,france,EMEA
france_pyrénées-atlantiques_pays-basque,france,EMEA
germany_be_berlin,germany,EMEA
germany_bv_munich,germany,EMEA
greece_attica_athens,greece,EMEA
greece_central-macedonia_thessaloniki,greece,EMEA
greece_crete_crete,greece,EMEA
greece_south-aegean_south-aegean,greece,EMEA
hungary_közép-magyarország_budapest,hungary,EMEA
ireland,ireland,EMEA
ireland_leinster_dublin,ireland,EMEA
italy_campania_naples,italy,EMEA
italy_emilia-romagna_bologna,italy,EMEA
italy_lazio_rome,italy,EMEA
italy_lombardia_bergamo,italy,EMEA
italy_lombardy_milan,italy,EMEA
italy_puglia_puglia,italy,EMEA
italy_sicilia_sicily,italy,EMEA
italy_toscana_florence,italy,EMEA
italy_trentino-alto-adige-südtirol_trentino,italy,EMEA
italy_veneto_venice,italy,EMEA
japan_kanto_tokyo,japan,APAC
kenya_nairobi_nairobi,kenya,EMEA
latvia_riga_riga,latvia,EMEA
malta,malta,EMEA
mexico_df_mexico-city,mexico,LatAm
new-zealand,new-zealand,APAC
norway_oslo_oslo,norway,EMEA
portugal_lisbon_lisbon,portugal,EMEA
portugal_norte_porto,portugal,EMEA
singapore_sg_singapore,singapore,APAC
south-africa_wc_cape-town,south-africa,EMEA
spain_andalucía_malaga,spain,EMEA
spain_andalucía_sevilla,spain,EMEA
spain_catalonia_barcelona,spain,EMEA
spain_catalonia_girona,spain,EMEA
spain_comunidad-de-madrid_madrid,spain,EMEA
spain_islas-baleares_mallorca,spain,EMEA
spain_islas-baleares_menorca,spain,EMEA
spain_pv_euskadi,spain,EMEA
spain_vc_valencia,spain,EMEA
sweden_stockholms-län_stockholm,sweden,EMEA
switzerland_geneva_geneva,switzerland,EMEA
switzerland_vd_vaud,switzerland,EMEA
switzerland_zürich_zurich,switzerland,EMEA
taiwan_northern-taiwan_taipei,taiwan,APAC
thailand_central-thailand_bangkok,thailand,APAC
the-netherlands_north-holland_amsterdam,the-netherlands,EMEA
the-netherlands_south-holland_rotterdam,the-netherlands,EMEA
the-netherlands_south-holland_the-hague,the-netherlands,EMEA
turkey_marmara_istanbul,turkey,EMEA
united-kingdom_england_bristol,united-kingdom,EMEA
united-kingdom_england_greater-manchester,united-kingdom,EMEA
united-kingdom_england_london,united-kingdom,EMEA
united-kingdom_scotland_edinburgh,united-kingdom,EMEA
united-states_ca_los-angeles,united-states,NAM
united-states_ca_oakland,united-states,NAM
united-states_ca_pacific-grove,united-states,NAM
united-states_ca_san-diego,united-states,NAM
united-states_ca_san-francisco,united-states,NAM
united-states_ca_san-mateo-county,united-states,NAM
united-states_ca_santa-clara-county,united-states,NAM
united-states_ca_santa-cruz-county,united-states,NAM
united-states_co_denver,united-states,NAM
united-states_dc_washington-dc,united-states,NAM
united-states_fl_broward-county,united-states,NAM
united-states_hi_hawaii,united-states,NAM
united-states_il_chicago,united-states,NAM
united-states_la_new-orleans,united-states,NAM
united-states_ma_boston,united-states,NAM
united-states_ma_cambridge,united-states,NAM
united-states_mn_twin-cities-msa,united-states,NAM
united-states_mt_bozeman,united-states,NAM
united-states_nc_asheville,united-states,NAM
united-states_nj_jersey-city,united-states,NAM
united-states_nj_newark,united-states,NAM
united-states_nv_clark-county-nv,united-states,NAM
united-states_ny_albany,united-states,NAM
united-states_ny_new-york-city,united-states,NAM
united-states_ny_rochester,united-states,NAM
united-states_oh_columbus,united-states,NAM
united-states_or_portland,united-states,NAM
united-states_or_salem-or,united-states,NAM
united-states_ri_rhode-island,united-states,NAM
united-states_tn_nashville,united-states,NAM
united-states_tx_austin,united-states,NAM
united-states_tx_dallas,united-states,NAM
united-states_tx_fort-worth,united-states,NAM
united-states_wa_seattle,united-states,NAM
