market_key,region,vintage,years_back,win_start,win_end,n_cur,n_prior,yoy
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2026-08-30,0,2026-07-01,2026-08-16,57819,39667,0.45760959991932837
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2026-08-30,1,2025-07-02,2025-08-17,39667,27880,0.42277618364418945
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2026-08-30,2,2024-07-03,2024-08-18,27880,24661,0.13052998661854742
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2026-08-30,3,2023-07-05,2023-08-20,24661,12238,1.015116849158359
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2026-08-30,4,2022-07-06,2022-08-21,12238,2029,5.031542631838344
australia_nsw_mid-north-coast,APAC,2026-08-18,0,2026-07-01,2026-08-04,5522,4671,0.18218796831513595
australia_nsw_mid-north-coast,APAC,2026-08-18,1,2025-07-02,2025-08-05,4671,4185,0.11612903225806459
australia_nsw_mid-north-coast,APAC,2026-08-18,2,2024-07-03,2024-08-06,4185,3136,0.33450255102040827
australia_nsw_mid-north-coast,APAC,2026-08-18,3,2023-07-05,2023-08-08,3136,2738,0.14536157779401027
australia_nsw_mid-north-coast,APAC,2026-08-18,4,2022-07-06,2022-08-09,2738,1182,1.3164128595600677
australia_nsw_northern-rivers,APAC,2026-08-27,0,2026-07-01,2026-08-13,7866,6470,0.21576506955177743
australia_nsw_northern-rivers,APAC,2026-08-27,1,2025-07-02,2025-08-14,6470,5426,0.1924069295982307
australia_nsw_northern-rivers,APAC,2026-08-27,2,2024-07-03,2024-08-15,5426,4591,0.18187758658244402
australia_nsw_northern-rivers,APAC,2026-08-27,3,2023-07-05,2023-08-17,4591,4008,0.14545908183632728
australia_nsw_northern-rivers,APAC,2026-08-27,4,2022-07-06,2022-08-18,4008,1361,1.9448934606906687
australia_nsw_sydney,APAC,2026-08-15,0,2026-07-01,2026-08-01,19064,14096,0.3524404086265607
australia_nsw_sydney,APAC,2026-08-15,1,2025-07-02,2025-08-02,14096,9734,0.44811999178138473
australia_nsw_sydney,APAC,2026-08-15,2,2024-07-03,2024-08-03,9734,7810,0.24635083226632526
