store,kind,market_key,cdn_path,dump_date,file,bytes,abs_path,note,present
inside_airbnb_reviews,reviews,argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina/ciudad-autónoma-de-buenos-aires/buenos-aires,2025-08-29,argentina_ciudad-autónoma-de-buenos-aires_buenos-aires_2025-08-29_reviews.csv.gz,100289489,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\argentina_ciudad-autónoma-de-buenos-aires_buenos-aires_2025-08-29_reviews.csv.gz,,
inside_airbnb_reviews,listings,argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina/ciudad-autónoma-de-buenos-aires/buenos-aires,2026-07-24,argentina_ciudad-autónoma-de-buenos-aires_buenos-aires_2026-07-24_listings.csv.gz,17823273,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\argentina_ciudad-autónoma-de-buenos-aires_buenos-aires_2026-07-24_listings.csv.gz,,
inside_airbnb_reviews,reviews,argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina/ciudad-autónoma-de-buenos-aires/buenos-aires,2026-07-24,argentina_ciudad-autónoma-de-buenos-aires_buenos-aires_2026-07-24_reviews.csv.gz,124863995,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\argentina_ciudad-autónoma-de-buenos-aires_buenos-aires_2026-07-24_reviews.csv.gz,,
inside_airbnb_reviews,reviews,argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina/ciudad-autónoma-de-buenos-aires/buenos-aires,2026-08-30,argentina_ciudad-autónoma-de-buenos-aires_buenos-aires_2026-08-30_reviews.csv.gz,127692482,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\argentina_ciudad-autónoma-de-buenos-aires_buenos-aires_2026-08-30_reviews.csv.gz,,
inside_airbnb_reviews,reviews,australia_nsw_mid-north-coast,australia/nsw/mid-north-coast,2025-08-08,australia_nsw_mid-north-coast_2025-08-08_reviews.csv.gz,25157531,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_nsw_mid-north-coast_2025-08-08_reviews.csv.gz,,
inside_airbnb_reviews,listings,australia_nsw_mid-north-coast,australia/nsw/mid-north-coast,2026-07-16,australia_nsw_mid-north-coast_2026-07-16_listings.csv.gz,3020146,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_nsw_mid-north-coast_2026-07-16_listings.csv.gz,,
inside_airbnb_reviews,reviews,australia_nsw_mid-north-coast,australia/nsw/mid-north-coast,2026-07-16,australia_nsw_mid-north-coast_2026-07-16_reviews.csv.gz,28579252,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_nsw_mid-north-coast_2026-07-16_reviews.csv.gz,,
inside_airbnb_reviews,reviews,australia_nsw_mid-north-coast,australia/nsw/mid-north-coast,2026-08-18,australia_nsw_mid-north-coast_2026-08-18_reviews.csv.gz,28278673,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_nsw_mid-north-coast_2026-08-18_reviews.csv.gz,,
inside_airbnb_reviews,reviews,australia_nsw_northern-rivers,australia/nsw/northern-rivers,2025-08-19,australia_nsw_northern-rivers_2025-08-19_reviews.csv.gz,29501119,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_nsw_northern-rivers_2025-08-19_reviews.csv.gz,,
inside_airbnb_reviews,listings,australia_nsw_northern-rivers,australia/nsw/northern-rivers,2026-06-24,australia_nsw_northern-rivers_2026-06-24_listings.csv.gz,3814423,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_nsw_northern-rivers_2026-06-24_listings.csv.gz,,
