period,region,n_markets,vmatch_eq,vmatch_cw,within_eq,within_cw,wedge_eq_pp,regions_weight_covered
2026-07,APAC,11,0.03503837559997047,0.0946175025643794,0.21212598717580844,0.26559554573486643,17.708761157583798,
2026-07,EMEA,51,0.0010444830769663844,0.011277588687322426,0.2061679458997937,0.20083332175942004,20.512346282282724,
2026-07,LatAm,5,0.16840465777495472,0.20567348182407685,0.39407066589806944,0.44035130291943547,22.56660081231147,
2026-07,NAM,31,0.04471017245924459,0.04308524650753154,0.25945706469164204,0.25445552513488345,21.47468922323974,
2026-08_to_date,APAC,11,0.06265033659778575,0.10743019403691445,0.23930797195240297,0.2763758504866076,17.66576353546172,
2026-08_to_date,EMEA,47,0.012337714729318145,0.002767071423698697,0.1905416624444555,0.1862438025490878,17.820394771513733,
2026-08_to_date,LatAm,5,0.3308639503271483,0.44156352520131237,0.5838462502075281,0.7189055832147937,25.298229988037985,
2026-08_to_date,NAM,31,0.0923960298477675,0.07623722966697621,0.27647141510854845,0.2723479679387637,18.407538526078085,
3q26_to_date,APAC,17,0.043471368056139374,0.09966898362163534,0.2366408344081267,0.29124924766142235,19.31694663519873,
3q26_to_date,EMEA,56,0.00203910265110864,0.008624952631158589,0.2104167545581122,0.20206878743538215,20.83776519070036,
3q26_to_date,LatAm,5,0.2168451379709834,0.2753417342427895,0.4509343239377011,0.522729662933165,23.40891859667177,
3q26_to_date,NAM,42,0.057485566380737776,0.0685016939240326,0.27429224788019557,0.2938613598453099,21.680668149945774,
2026-07,GLOBAL,98,0.02721152452690119,0.04187404176350862,0.23328034117096552,0.23854600191644848,20.60688166440643,
2026-08_to_date,GLOBAL,94,0.06157045714649074,0.08520246018790756,0.2455073504868987,0.2815925346282673,18.393689334040797,
3q26_to_date,GLOBAL,120,0.03626518736051964,0.05533863355598534,0.2465098205904096,0.26033222013559687,21.024463322988996,
2026-07,GLOBAL_NW,98,0.047494143562934556,,0.25556679362680096,,20.807265006386633,100.1
2026-08_to_date,GLOBAL_NW,94,0.09811309119320853,,0.2911589424474583,,19.304585125424975,100.1
3q26_to_date,GLOBAL_NW,120,0.061217722234087064,,0.27470743522808994,,21.348971299400294,100.1
