block,key,metric,before,after,delta
coverage,all,n_markets,123.0,123.0,0.0
coverage,all,n_aug_dump,122.0,123.0,1.0
coverage,all,n_jul_window,111.0,112.0,1.0
coverage,all,n_aug_window,111.0,112.0,1.0
coverage,all,n_jul_and_aug,111.0,112.0,1.0
coverage,all,share_3q25_base_jul_and_aug,0.8843979699460682,0.9043422270696254,0.019944257123557185
coverage,all,n_vmatch_3q26,119.0,120.0,1.0
coverage,all,share_3q25_base_vmatch,0.9407839773979355,0.9607364870957524,0.019952509697816923
coverage,all,n_jul_and_aug_NAM,36.0,36.0,0.0
coverage,all,share_3q25_base_jul_and_aug_NAM,0.7826639765176578,0.7826639765176578,0.0
coverage,all,n_vmatch_3q26_NAM,42.0,42.0,0.0
coverage,all,n_jul_and_aug_EMEA,55.0,55.0,0.0
coverage,all,share_3q25_base_jul_and_aug_EMEA,0.977833910564746,0.977833910564746,0.0
coverage,all,n_vmatch_3q26_EMEA,56.0,56.0,0.0
coverage,all,n_jul_and_aug_LatAm,7.0,7.0,0.0
coverage,all,share_3q25_base_jul_and_aug_LatAm,1.0,1.0,0.0
coverage,all,n_vmatch_3q26_LatAm,5.0,5.0,0.0
coverage,all,n_jul_and_aug_APAC,13.0,14.0,1.0
coverage,all,share_3q25_base_jul_and_aug_APAC,0.5050433010697911,0.6772610812698387,0.17221778020004763
coverage,all,n_vmatch_3q26_APAC,16.0,17.0,1.0
coverage,all,aug_window_days_median,15.0,15.0,0.0
coverage,all,aug_window_days_min,1.0,1.0,0.0
within_vintage_daymatched,2026-07|NAM,w_equal,26.80471984538453,26.80471984538453,0.0
within_vintage_daymatched,2026-07|NAM,w_reviews,28.066512235590217,28.066512235590217,0.0
within_vintage_daymatched,2026-07|NAM,w_median,23.518978219090318,23.518978219090318,0.0
within_vintage_daymatched,2026-07|NAM,n_markets,36.0,36.0,0.0
within_vintage_daymatched,2026-07|EMEA,w_equal,21.45106718707921,21.45106718707921,0.0
within_vintage_daymatched,2026-07|EMEA,w_reviews,20.705979909915,20.705979909915,0.0
