k_days,n_pairs,n_early,n_late,completeness
0,116,17596,60567,0.2905212409397857
1,123,28393,68603,0.41387402883255836
2,123,32654,65351,0.49967100732965064
3,123,30646,55864,0.5485822712301304
4,123,30547,52015,0.5872729020474863
5,123,33371,53436,0.6245040796466801
6,123,35740,54853,0.6515596229923614
7,123,39523,58372,0.677088330021243
8,123,45407,64789,0.7008442791214557
9,123,45843,63613,0.7206545831826828
10,123,38746,52577,0.7369382049185005
11,123,38448,49864,0.7710572757901492
12,123,43163,53181,0.8116244523420019
13,123,47279,52861,0.8944023003726755
14,123,56616,56179,1.0077787073461615
15,123,67382,64991,1.0367897093443708
16,123,66342,64110,1.0348151614412728
17,123,58941,56978,1.034451893713363
18,123,52201,50409,1.0355492074827908
19,123,52893,51099,1.0351083191451889
20,123,55479,53710,1.0329361385216906
21,123,60806,58859,1.0330790533308416
22,123,64861,62755,1.033559078957852
23,123,63216,61182,1.0332450720800235
24,123,55285,53535,1.032688895115345
25,123,52643,50985,1.0325193684416984
26,123,54163,52426,1.0331324152138253
27,123,55134,53464,1.0312359718689212
28,123,61936,59933,1.0334206530625865
29,123,67341,65293,1.0313663026664421
30,123,66913,64788,1.032799283817991
31,123,55946,54262,1.0310346098558845
32,123,51865,50321,1.0306830150434212
33,123,54872,53187,1.0316806738488729
34,123,53400,51808,1.0307288449660283
35,123,59627,57765,1.0322340517614472
36,123,67702,65536,1.033050537109375
37,123,63922,61987,1.0312162227563844
38,123,51688,50169,1.030277661504116
39,123,50793,49316,1.0299497120609944
40,123,52409,50948,1.028676297401272
41,123,53418,51826,1.0307181723459267
42,123,61154,59297,1.031316930030187
43,123,66589,64427,1.0335573594921383
44,123,62944,61202,1.028463122120192
45,123,50011,48433,1.0325810914046207
46,123,48823,47414,1.0297169612350783
47,123,49483,47947,1.0320353723903477
48,123,52134,50620,1.029909126827341
49,123,55762,54083,1.0310448754691863
50,123,62491,60573,1.0316642728608456
51,123,60209,58397,1.0310289912153021
52,123,51397,49841,1.0312192773018198
53,123,48286,46793,1.0319064817387216
54,123,53170,51465,1.033129311182357
55,123,52761,51162,1.0312536648293655
56,123,55378,53746,1.030365050422357
57,123,62934,60967,1.0322633555858087
58,123,60439,58596,1.0314526588845656
59,123,49471,48041,1.029766241335526
60,123,48862,47424,1.0303221997300944
61,123,49478,48038,1.02997626878721
62,123,50376,48845,1.031344047497185
63,123,55665,53953,1.0317313217059292
64,123,63847,61790,1.0332901764039488
65,123,57977,56205,1.0315274441775644
66,123,48087,46738,1.028863023663828
67,123,46538,45154,1.0306506621783231
68,123,48787,47321,1.0309799032142177
69,123,47657,46282,1.029709174192991
70,123,53961,52380,1.0301832760595646
71,123,60920,59069,1.0313362338959522
72,123,56919,55345,1.0284397867919415
73,123,48937,47555,1.0290610871622332
74,123,47488,46065,1.0308911320959513
75,123,50506,49065,1.0293692041169877
76,123,52061,50708,1.0266821803265758
77,123,56789,55228,1.0282646483667706
78,123,59221,57509,1.0297692535081466
79,123,57447,55798,1.0295530305745726
80,123,51671,50242,1.0284423390788584
81,123,46815,45467,1.029647876481844
82,123,49439,48003,1.0299147969918547
83,123,50208,48729,1.030351536046297
84,123,52276,50835,1.0283466115865054
85,123,59270,57515,1.0305137790141703
86,123,54019,52526,1.028424018581274
87,123,47438,46135,1.0282431993063834
88,123,44221,43006,1.0282518718318374
89,123,47326,45957,1.0297887155384382
90,123,46775,45448,1.029198204541454
91,123,50805,49382,1.0288161678344336
92,123,54373,52807,1.0296551593538736
93,123,52427,50861,1.0307897996500266
94,123,44535,43197,1.0309743732203624
95,123,42146,40990,1.028202000487924
96,123,43923,42667,1.029437270021328
97,123,44759,43558,1.0275724321594197
98,123,50230,48928,1.0266105297580117
99,123,53289,51625,1.0322324455205811
100,123,51275,49838,1.0288334202817127
101,123,43703,42447,1.0295898414493367
102,123,39049,38009,1.0273619405930174
103,123,41060,39847,1.030441438502271
104,123,41797,40596,1.0295841954872402
105,123,47570,46148,1.030813903094392
106,123,51623,50124,1.0299058335328386
107,123,48037,46613,1.0305494175444618
108,123,40817,39592,1.0309405940594059
109,123,39514,38344,1.0305132484873774
110,123,40402,39262,1.0290357088278743
111,123,41572,40387,1.0293411246193083
112,123,47406,46062,1.0291780643480526
113,123,51034,49470,1.0316151202749142
114,123,45865,44620,1.0279022859704168
115,123,39889,38832,1.0272198187062216
116,123,39137,38109,1.026975255189063
117,123,42850,41644,1.0289597541062339
118,123,43100,41899,1.0286641685959093
119,123,45045,43780,1.028894472361809
120,123,53066,51470,1.031008354381193
