run,market,market_key,region,period,construction,vintage_late,vintage_old,win_start,win_end,n_cur,n_prior,n_prior_oldvintage,yoy_within,yoy_vmatch,wedge_pp
before,Sydney,australia_nsw_sydney,APAC,2026-07,within_vintage,2026-08-15,,2026-07-01,2026-07-31,18264,13567.0,,0.3462077098842779,,
before,Sydney,australia_nsw_sydney,APAC,2026-08_to_date,within_vintage,2026-08-15,,2026-08-01,2026-08-01,800,529.0,,0.5122873345935728,,
before,Sydney,australia_nsw_sydney,APAC,2026-06,within_vintage,2026-08-15,,2026-06-01,2026-06-30,15342,11327.0,,0.3544627880286042,,
before,Toronto,canada_on_toronto,NAM,2026-07,within_vintage,2026-08-15,,2026-07-01,2026-07-31,24685,16706.0,,0.4776128337124385,,
before,Toronto,canada_on_toronto,NAM,2026-08_to_date,within_vintage,2026-08-15,,2026-08-01,2026-08-01,851,507.0,,0.6785009861932938,,
before,Toronto,canada_on_toronto,NAM,2026-06,within_vintage,2026-08-15,,2026-06-01,2026-06-30,23782,13571.0,,0.7524132341021295,,
before,Montreal,canada_qc_montreal,NAM,2026-06,within_vintage,2026-08-10,,2026-06-01,2026-06-30,14782,9851.0,,0.5005583189523906,,
before,Paris,france_ile-de-france_paris,EMEA,2026-07,within_vintage,2026-08-15,,2026-07-01,2026-07-31,57898,47158.0,,0.2277450273548495,,
before,Paris,france_ile-de-france_paris,EMEA,2026-08_to_date,within_vintage,2026-08-15,,2026-08-01,2026-08-01,1343,1043.0,,0.2876318312559922,,
before,Paris,france_ile-de-france_paris,EMEA,2026-06,within_vintage,2026-08-15,,2026-06-01,2026-06-30,65997,56650.0,,0.1649955869373345,,
before,Singapore,singapore_sg_singapore,APAC,2026-07,within_vintage,2026-08-31,,2026-07-01,2026-07-31,807,702.0,,0.1495726495726494,,
before,Singapore,singapore_sg_singapore,APAC,2026-08_to_date,within_vintage,2026-08-31,,2026-08-01,2026-08-17,471,428.0,,0.1004672897196261,,
before,Singapore,singapore_sg_singapore,APAC,2026-06,within_vintage,2026-08-31,,2026-06-01,2026-06-30,726,566.0,,0.2826855123674912,,
before,Barcelona,spain_catalonia_barcelona,EMEA,2026-07,within_vintage,2026-08-23,,2026-07-01,2026-07-31,22994,17084.0,,0.345937719503629,,
before,Barcelona,spain_catalonia_barcelona,EMEA,2026-08_to_date,within_vintage,2026-08-23,,2026-08-01,2026-08-09,6898,5121.0,,0.3470025385666861,,
before,Barcelona,spain_catalonia_barcelona,EMEA,2026-06,within_vintage,2026-08-23,,2026-06-01,2026-06-30,21316,17167.0,,0.2416846274829616,,
before,London,united-kingdom_england_london,EMEA,2026-07,within_vintage,2026-08-18,,2026-07-01,2026-07-31,78250,53704.0,,0.4570609265604051,,
before,London,united-kingdom_england_london,EMEA,2026-08_to_date,within_vintage,2026-08-18,,2026-08-01,2026-08-04,9646,6790.0,,0.420618556701031,,
before,London,united-kingdom_england_london,EMEA,2026-06,within_vintage,2026-08-18,,2026-06-01,2026-06-30,64524,47626.0,,0.354806198295049,,
before,Los Angeles,united-states_ca_los-angeles,NAM,2026-06,within_vintage,2026-08-10,,2026-06-01,2026-06-30,41743,29752.0,,0.4030317289593976,,
before,San Francisco,united-states_ca_san-francisco,NAM,2026-06,within_vintage,2026-08-10,,2026-06-01,2026-06-30,7929,5821.0,,0.3621370898471052,,
before,Chicago,united-states_il_chicago,NAM,2026-07,within_vintage,2026-08-27,,2026-07-01,2026-07-31,16449,11950.0,,0.3764853556485354,,
before,Chicago,united-states_il_chicago,NAM,2026-08_to_date,within_vintage,2026-08-27,,2026-08-01,2026-08-13,7808,5743.0,,0.3595681699460211,,
before,Chicago,united-states_il_chicago,NAM,2026-06,within_vintage,2026-08-27,,2026-06-01,2026-06-30,16318,11925.0,,0.3683857442348008,,
before,Boston,united-states_ma_boston,NAM,2026-07,within_vintage,2026-08-27,,2026-07-01,2026-07-31,6456,4439.0,,0.4543816174814148,,
before,Boston,united-states_ma_boston,NAM,2026-08_to_date,within_vintage,2026-08-27,,2026-08-01,2026-08-13,2965,2028.0,,0.4620315581854044,,
before,Boston,united-states_ma_boston,NAM,2026-06,within_vintage,2026-08-27,,2026-06-01,2026-06-30,6448,4662.0,,0.3830973830973831,,
before,New York City,united-states_ny_new-york-city,NAM,2026-06,within_vintage,2026-08-10,,2026-06-01,2026-06-30,15517,11656.0,,0.3312457103637611,,
before,Sydney,australia_nsw_sydney,APAC,3q26_to_date,vintage_matched,2026-08-15,2025-08-05,2026-07-01,2026-07-21,13145,,12678.0,0.3265718034110405,0.0368354630067833,28.97363404042572
before,Toronto,canada_on_toronto,NAM,3q26_to_date,vintage_matched,2026-08-15,2025-08-05,2026-07-01,2026-07-21,15348,,14366.0,0.4715244487056567,0.0683558401781985,40.31686085274582
before,Montreal,canada_qc_montreal,NAM,3q26_to_date,vintage_matched,2026-08-10,2025-08-16,2026-07-01,2026-07-27,17038,,14281.0,0.6667971042848757,0.1930537077235488,47.37433965613269
before,Paris,france_ile-de-france_paris,EMEA,3q26_to_date,vintage_matched,2026-08-15,2025-08-08,2026-07-01,2026-07-24,46781,,48226.0,0.2478926589842083,-0.0299630904491353,27.785574943334368
before,Singapore,singapore_sg_singapore,APAC,2026-07,vintage_matched,2026-08-31,2025-08-30,2026-07-01,2026-07-31,807,,776.0,0.1495726495726494,0.0399484536082475,10.9624195964402
before,Singapore,singapore_sg_singapore,APAC,2026-08_to_date,vintage_matched,2026-08-31,2025-08-30,2026-08-01,2026-08-15,429,,420.0,0.1594594594594593,0.0214285714285713,13.803088803088803
before,Singapore,singapore_sg_singapore,APAC,3q26_to_date,vintage_matched,2026-08-31,2025-08-30,2026-07-01,2026-08-15,1236,,1196.0,0.1529850746268657,0.0334448160535116,11.954025857335404
