market_key,region,period,vintage,win_start,win_end,n_cur,n_prior,yoy
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2026-07,2026-08-30,2026-07-01,2026-07-31,39570,27947,0.41589437148888964
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2026-08_to_date,2026-08-30,2026-08-01,2026-08-16,18249,11720,0.5570819112627987
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2026-06,2026-08-30,2026-06-01,2026-06-30,27746,21446,0.2937610743262147
australia_nsw_mid-north-coast,APAC,2026-07,2026-08-18,2026-07-01,2026-07-31,4987,4240,0.17617924528301887
australia_nsw_mid-north-coast,APAC,2026-08_to_date,2026-08-18,2026-08-01,2026-08-04,535,431,0.24129930394431565
australia_nsw_mid-north-coast,APAC,2026-06,2026-08-18,2026-06-01,2026-06-30,3712,3044,0.21944809461235226
australia_nsw_northern-rivers,APAC,2026-07,2026-08-27,2026-07-01,2026-07-31,5652,4724,0.19644369178662147
australia_nsw_northern-rivers,APAC,2026-08_to_date,2026-08-27,2026-08-01,2026-08-13,2214,1746,0.268041237113402
australia_nsw_northern-rivers,APAC,2026-06,2026-08-27,2026-06-01,2026-06-30,4343,3529,0.23066024369509774
australia_nsw_sydney,APAC,2026-07,2026-08-15,2026-07-01,2026-07-31,18264,13567,0.34620770988427796
australia_nsw_sydney,APAC,2026-08_to_date,2026-08-15,2026-08-01,2026-08-01,800,529,0.5122873345935728
australia_nsw_sydney,APAC,2026-06,2026-08-15,2026-06-01,2026-06-30,15342,11327,0.3544627880286042
australia_qld_brisbane,APAC,2026-06,2026-08-13,2026-06-01,2026-06-30,7596,5817,0.3058277462609593
australia_qld_sunshine-coast,APAC,2026-07,2026-08-31,2026-07-01,2026-07-31,8686,7235,0.2005528680027644
australia_qld_sunshine-coast,APAC,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,4701,3961,0.18682150971976763
australia_qld_sunshine-coast,APAC,2026-06,2026-08-31,2026-06-01,2026-06-30,5899,4891,0.2060928235534656
australia_sa_barossa-valley,APAC,2026-07,2026-08-30,2026-07-01,2026-07-31,381,341,0.11730205278592365
australia_sa_barossa-valley,APAC,2026-08_to_date,2026-08-30,2026-08-01,2026-08-16,175,168,0.04166666666666674
australia_sa_barossa-valley,APAC,2026-06,2026-08-30,2026-06-01,2026-06-30,337,299,0.1270903010033444
australia_tas_tasmania,APAC,2026-06,2026-08-13,2026-06-01,2026-06-30,8509,7097,0.19895730590390315
australia_vic_barwon-south-west-vic,APAC,2026-07,2026-08-31,2026-07-01,2026-07-31,5157,4620,0.11623376623376624
australia_vic_barwon-south-west-vic,APAC,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,2432,2319,0.048727899956877874
australia_vic_barwon-south-west-vic,APAC,2026-06,2026-08-31,2026-06-01,2026-06-30,4652,4201,0.10735539157343488
australia_vic_melbourne,APAC,2026-07,2026-08-15,2026-07-01,2026-07-31,20466,16862,0.21373502550112677
australia_vic_melbourne,APAC,2026-08_to_date,2026-08-15,2026-08-01,2026-08-01,964,529,0.8223062381852553
australia_vic_melbourne,APAC,2026-06,2026-08-15,2026-06-01,2026-06-30,17628,13937,0.26483461290091115
australia_vic_mornington-peninsula,APAC,2026-07,2026-08-26,2026-07-01,2026-07-31,3054,2632,0.16033434650455924
australia_vic_mornington-peninsula,APAC,2026-08_to_date,2026-08-26,2026-08-01,2026-08-12,968,892,0.08520179372197312
australia_vic_mornington-peninsula,APAC,2026-06,2026-08-26,2026-06-01,2026-06-30,2693,2253,0.195295162006214
australia_wa_western-australia,APAC,2026-07,2026-08-30,2026-07-01,2026-07-31,16961,14182,0.19595261599210256
australia_wa_western-australia,APAC,2026-08_to_date,2026-08-30,2026-08-01,2026-08-16,8845,7002,0.26321051128249073
australia_wa_western-australia,APAC,2026-06,2026-08-30,2026-06-01,2026-06-30,15469,13265,0.16615152657369014
austria_vienna_vienna,EMEA,2026-07,2026-08-25,2026-07-01,2026-07-31,15347,11481,0.336730249978225
austria_vienna_vienna,EMEA,2026-08_to_date,2026-08-25,2026-08-01,2026-08-11,5419,4334,0.2503461005999077
austria_vienna_vienna,EMEA,2026-06,2026-08-25,2026-06-01,2026-06-30,14009,10979,0.2759814190727754
belgium_bru_brussels,EMEA,2026-07,2026-08-28,2026-07-01,2026-07-31,10222,6641,0.5392260201776842
belgium_bru_brussels,EMEA,2026-08_to_date,2026-08-28,2026-08-01,2026-08-14,4069,3015,0.3495854063018242
belgium_bru_brussels,EMEA,2026-06,2026-08-28,2026-06-01,2026-06-30,9111,6928,0.3150981524249423
belgium_vlg_antwerp,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,3744,2916,0.28395061728395055
belgium_vlg_antwerp,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,2268,1911,0.18681318681318682
belgium_vlg_antwerp,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,3049,2480,0.2294354838709678
belgium_vlg_ghent,EMEA,2026-07,2026-08-30,2026-07-01,2026-07-31,3124,2507,0.24611088950937376
belgium_vlg_ghent,EMEA,2026-08_to_date,2026-08-30,2026-08-01,2026-08-16,1843,1449,0.271911663216011
belgium_vlg_ghent,EMEA,2026-06,2026-08-30,2026-06-01,2026-06-30,2107,1781,0.18304323413812473
belize_bz_belize,LatAm,2026-07,2026-08-31,2026-07-01,2026-07-31,1512,1275,0.1858823529411764
belize_bz_belize,LatAm,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,727,650,0.1184615384615384
belize_bz_belize,LatAm,2026-06,2026-08-31,2026-06-01,2026-06-30,1232,1093,0.1271729185727355
brazil_rj_rio-de-janeiro,LatAm,2026-07,2026-08-30,2026-07-01,2026-07-31,38921,26371,0.47590155853020355
brazil_rj_rio-de-janeiro,LatAm,2026-08_to_date,2026-08-30,2026-08-01,2026-08-16,23265,14531,0.6010598031794094
brazil_rj_rio-de-janeiro,LatAm,2026-06,2026-08-30,2026-06-01,2026-06-30,37070,25495,0.4540105903118259
brazil_sp_são-paulo,LatAm,2026-07,2026-08-18,2026-07-01,2026-07-31,66511,38038,0.7485409327514592
brazil_sp_são-paulo,LatAm,2026-08_to_date,2026-08-18,2026-08-01,2026-08-04,9024,5860,0.5399317406143345
brazil_sp_são-paulo,LatAm,2026-06,2026-08-18,2026-06-01,2026-06-30,54106,37740,0.43365129835718075
canada_bc_vancouver,NAM,2026-07,2026-08-23,2026-07-01,2026-07-31,14710,9326,0.5773107441561227
canada_bc_vancouver,NAM,2026-08_to_date,2026-08-23,2026-08-01,2026-08-09,5080,2799,0.8149339049660593
