origin_date,last_reported_quarter,last_company_publication,target,quarter,year,horizon_quarters,guide_announcements_ahead,is_live,guide_event_date,actual_revenue_musd,actual_guide_mid_musd,cushion_pct,cushion_divisor,n_cushion,knowable_from,predictive_interval,model,lag,booking_quarter,gbv_musd,gbv_status,exposure_weight,seasonal_lambda_pct,revenue_contribution_musd,guide_contribution_musd,conditional_dollar_share,basis
2022-11-01,2022Q3,2022-11-01,2023Q1,2023Q1,2023,2,1,False,2023-02-14,1818.0,1785.0,3.5626552469511132,1.0356265524695112,4,2022-11-01,not_calculated,fixed,0,2023Q1,22547.899159663866,forecast,0.0,13.241896709575984,0.0,0.0,0.0,model_exposure_not_observed_booking_share
2022-11-01,2022Q3,2022-11-01,2023Q1,2023Q1,2023,2,1,False,2023-02-14,1818.0,1785.0,3.5626552469511132,1.0356265524695112,4,2022-11-01,not_calculated,fixed,1,2022Q4,14813.44537815126,forecast,0.6666666666666666,13.241896709575984,1307.7207574028316,1262.7339017954841,0.6550724637681159,model_exposure_not_observed_booking_share
2022-11-01,2022Q3,2022-11-01,2023Q1,2023Q1,2023,2,1,False,2023-02-14,1818.0,1785.0,3.5626552469511132,1.0356265524695112,4,2022-11-01,not_calculated,fixed,2,2022Q3,15600.0,reported,0.3333333333333333,13.241896709575984,688.5786288979511,664.8908597949674,0.34492753623188405,model_exposure_not_observed_booking_share
2022-11-01,2022Q3,2022-11-01,2023Q1,2023Q1,2023,2,1,False,2023-02-14,1818.0,1785.0,3.5626552469511132,1.0356265524695112,4,2022-11-01,not_calculated,fixed,3,2022Q2,17000.0,reported,0.0,13.241896709575984,0.0,0.0,0.0,model_exposure_not_observed_booking_share
2022-11-01,2022Q3,2022-11-01,2023Q1,2023Q1,2023,2,1,False,2023-02-14,1818.0,1785.0,3.5626552469511132,1.0356265524695112,4,2022-11-01,not_calculated,fixed,4,2022Q1,17200.0,reported,0.0,13.241896709575984,0.0,0.0,0.0,model_exposure_not_observed_booking_share
2023-02-14,2022Q4,2023-02-14,2023Q2,2023Q2,2023,2,1,False,2023-05-09,2484.0,2400.0,3.5240372410391534,1.0352403724103916,5,2023-02-14,not_calculated,fixed,0,2023Q2,20309.73451327434,forecast,0.0,14.34952392004371,0.0,0.0,0.0,model_exposure_not_observed_booking_share
2023-02-14,2022Q4,2023-02-14,2023Q2,2023Q2,2023,2,1,False,2023-05-09,2484.0,2400.0,3.5240372410391534,1.0352403724103916,5,2023-02-14,not_calculated,fixed,1,2023Q1,20548.672566371682,forecast,0.6666666666666666,14.34952392004371,1965.757790108643,1898.841894594673,0.7527352297592997,model_exposure_not_observed_booking_share
2023-02-14,2022Q4,2023-02-14,2023Q2,2023Q2,2023,2,1,False,2023-05-09,2484.0,2400.0,3.5240372410391534,1.0352403724103916,5,2023-02-14,not_calculated,fixed,2,2022Q4,13500.0,reported,0.3333333333333333,14.34952392004371,645.728576401967,623.7474828174362,0.2472647702407002,model_exposure_not_observed_booking_share
2023-02-14,2022Q4,2023-02-14,2023Q2,2023Q2,2023,2,1,False,2023-05-09,2484.0,2400.0,3.5240372410391534,1.0352403724103916,5,2023-02-14,not_calculated,fixed,3,2022Q3,15600.0,reported,0.0,14.34952392004371,0.0,0.0,0.0,model_exposure_not_observed_booking_share
2023-02-14,2022Q4,2023-02-14,2023Q2,2023Q2,2023,2,1,False,2023-05-09,2484.0,2400.0,3.5240372410391534,1.0352403724103916,5,2023-02-14,not_calculated,fixed,4,2022Q2,17000.0,reported,0.0,14.34952392004371,0.0,0.0,0.0,model_exposure_not_observed_booking_share
2023-05-09,2023Q1,2023-05-09,2023Q3,2023Q3,2023,2,1,False,2023-08-03,3397.0,3350.0,3.2448209501656797,1.0324482095016567,6,2023-05-09,not_calculated,fixed,0,2023Q3,18502.32558139535,forecast,0.0,17.391563421259328,0.0,0.0,0.0,model_exposure_not_observed_booking_share
2023-05-09,2023Q1,2023-05-09,2023Q3,2023Q3,2023,2,1,False,2023-08-03,3397.0,3350.0,3.2448209501656797,1.0324482095016567,6,2023-05-09,not_calculated,fixed,1,2023Q2,20162.79069767442,forecast,0.6666666666666666,17.391563421259328,2337.7496877878816,2264.2779233606975,0.6640624999999999,model_exposure_not_observed_booking_share
