horizon_quarters,window,model,n_available,n_common,n_year_clusters,available_targets,common_targets
2,W1,fixed,14,11,4,2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
2,W1,fixed_oracle,14,11,4,2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
2,W1,guide_growth,14,11,4,2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
2,W1,revenue_growth,14,11,4,2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
2,W1,joint,11,11,4,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
2,W1,joint_oracle,11,11,4,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
2,W2,fixed,10,10,3,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
2,W2,fixed_oracle,10,10,3,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
2,W2,guide_growth,10,10,3,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
2,W2,joint,10,10,3,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
