horizon_quarters,window,candidate,reference,deleted_unit,deleted_value,n,guide_rmse_ratio
2,W1,joint,fixed,year,2023,10,0.8288426200154897
2,W1,joint,fixed,year,2024,7,1.063750536558864
2,W1,joint,fixed,year,2025,7,0.8463283439310576
2,W1,joint,fixed,year,2026,9,0.7406318157686729
2,W1,joint,fixed,quarter,2023Q4,10,0.8288426200154897
2,W1,joint,fixed,quarter,2024Q1,10,0.8849806964996467
2,W1,joint,fixed,quarter,2024Q2,10,1.0217065548193043
2,W1,joint,fixed,quarter,2024Q3,10,0.8628076757927089
2,W1,joint,fixed,quarter,2024Q4,10,0.859857186040371
2,W1,joint,fixed,quarter,2025Q1,10,0.8767963811286769
2,W1,joint,fixed,quarter,2025Q2,10,0.9473096500353541
2,W1,joint,fixed,quarter,2025Q3,10,0.7238929149504509
2,W1,joint,fixed,quarter,2025Q4,10,0.8634624537900973
2,W1,joint,fixed,quarter,2026Q1,10,0.8389658450928775
2,W1,joint,fixed,quarter,2026Q2,10,0.7697861346971057
2,W1,joint,guide_growth,year,2023,10,1.0412053230010925
2,W1,joint,guide_growth,year,2024,7,1.2765444688793954
2,W1,joint,guide_growth,year,2025,7,0.8937224416690016
2,W1,joint,guide_growth,year,2026,9,1.1422985310984377
2,W1,joint,guide_growth,quarter,2023Q4,10,1.0412053230010925
2,W1,joint,guide_growth,quarter,2024Q1,10,1.1045985380211025
2,W1,joint,guide_growth,quarter,2024Q2,10,1.0980665695908567
2,W1,joint,guide_growth,quarter,2024Q3,10,1.1993665524897366
2,W1,joint,guide_growth,quarter,2024Q4,10,1.1095732475032802
2,W1,joint,guide_growth,quarter,2025Q1,10,1.12954328012464
2,W1,joint,guide_growth,quarter,2025Q2,10,1.0973713358277382
2,W1,joint,guide_growth,quarter,2025Q3,10,0.8373173826151724
2,W1,joint,guide_growth,quarter,2025Q4,10,1.1119224610762002
2,W1,joint,guide_growth,quarter,2026Q1,10,1.2455080922625248
2,W1,joint,guide_growth,quarter,2026Q2,10,0.9840523378749984
2,W1,joint,revenue_growth,year,2023,10,0.5137336522849324
2,W1,joint,revenue_growth,year,2024,7,0.6555788337558358
2,W1,joint,revenue_growth,year,2025,7,0.4421271410133288
2,W1,joint,revenue_growth,year,2026,9,0.560669108897471
2,W1,joint,revenue_growth,quarter,2023Q4,10,0.5137336522849324
2,W1,joint,revenue_growth,quarter,2024Q1,10,0.5418214538897321
2,W1,joint,revenue_growth,quarter,2024Q2,10,0.5544216768474882
2,W1,joint,revenue_growth,quarter,2024Q3,10,0.6290214958434871
2,W1,joint,revenue_growth,quarter,2024Q4,10,0.5413159608929201
2,W1,joint,revenue_growth,quarter,2025Q1,10,0.54506568612992
2,W1,joint,revenue_growth,quarter,2025Q2,10,0.5317468356697089
2,W1,joint,revenue_growth,quarter,2025Q3,10,0.4509336110770156
2,W1,joint,revenue_growth,quarter,2025Q4,10,0.5450860374292803
2,W1,joint,revenue_growth,quarter,2026Q1,10,0.5818302678491877
2,W1,joint,revenue_growth,quarter,2026Q2,10,0.5135040324689324
2,W1,fixed,guide_growth,year,2023,10,1.2562159544614564
2,W1,fixed,guide_growth,year,2024,7,1.2000411985773474
2,W1,fixed,guide_growth,year,2025,7,1.0559996579079536
2,W1,fixed,guide_growth,year,2026,9,1.542329814596056
2,W1,fixed,guide_growth,quarter,2023Q4,10,1.2562159544614564
2,W1,fixed,guide_growth,quarter,2024Q1,10,1.2481611659893912
2,W1,fixed,guide_growth,quarter,2024Q2,10,1.0747377164327354
2,W1,fixed,guide_growth,quarter,2024Q3,10,1.3900740409939127
2,W1,fixed,guide_growth,quarter,2024Q4,10,1.2904157405636718
2,W1,fixed,guide_growth,quarter,2025Q1,10,1.2882617953675954
2,W1,fixed,guide_growth,quarter,2025Q2,10,1.1584082731415053
2,W1,fixed,guide_growth,quarter,2025Q3,10,1.1566868045289338
2,W1,fixed,guide_growth,quarter,2025Q4,10,1.2877484784607691
2,W1,fixed,guide_growth,quarter,2026Q1,10,1.4845754443372379
2,W1,fixed,guide_growth,quarter,2026Q2,10,1.2783451058938622
2,W1,fixed,revenue_growth,year,2023,10,0.6198205061840709
2,W1,fixed,revenue_growth,year,2024,7,0.6162900146462662
2,W1,fixed,revenue_growth,year,2025,7,0.5224061608993504
2,W1,fixed,revenue_growth,year,2026,9,0.7570146150359128
2,W1,fixed,revenue_growth,quarter,2023Q4,10,0.6198205061840709
2,W1,fixed,revenue_growth,quarter,2024Q1,10,0.6122409856314289
2,W1,fixed,revenue_growth,quarter,2024Q2,10,0.5426427717746624
2,W1,fixed,revenue_growth,quarter,2024Q3,10,0.7290402177583439
2,W1,fixed,revenue_growth,quarter,2024Q4,10,0.6295417072521912
2,W1,fixed,revenue_growth,quarter,2025Q1,10,0.6216559487030173
2,W1,fixed,revenue_growth,quarter,2025Q2,10,0.5613231488245304
2,W1,fixed,revenue_growth,quarter,2025Q3,10,0.6229286152191186
2,W1,fixed,revenue_growth,quarter,2025Q4,10,0.6312793741484299
2,W1,fixed,revenue_growth,quarter,2026Q1,10,0.6935088850783624
2,W1,fixed,revenue_growth,quarter,2026Q2,10,0.667073631653531
2,W2,joint,fixed,year,2024,6,1.0298409914468531
2,W2,joint,fixed,year,2025,6,0.7754623034761997
2,W2,joint,fixed,year,2026,8,0.6923389238571049
2,W2,joint,fixed,quarter,2024Q1,9,0.8516753975827954
2,W2,joint,fixed,quarter,2024Q2,9,0.9875862091125442
2,W2,joint,fixed,quarter,2024Q3,9,0.8297151260492154
2,W2,joint,fixed,quarter,2024Q4,9,0.8266931428693693
2,W2,joint,fixed,quarter,2025Q1,9,0.8436565499537935
2,W2,joint,fixed,quarter,2025Q2,9,0.9126590223052289
2,W2,joint,fixed,quarter,2025Q3,9,0.6629906557940713
2,W2,joint,fixed,quarter,2025Q4,9,0.8304446844267551
2,W2,joint,fixed,quarter,2026Q1,9,0.8040242274396739
