h3_id,listing_count,unlicensed_count,unlicensed_pct,avg_price,median_price,avg_availability_365,entire_home_pct,active_post_reg_pct,avg_review_score,lisa_I,lisa_quad,lisa_p,lisa_cluster,booking_first,booking_last,booking_change
881ec83297fffff,1,0,0.0,11500.0,11500.0,86.0,100.0,100.0,4.64,3.201209583953438,3,0.118,Not significant,1.0,1.0,0.0
881ec832bbfffff,1,0,0.0,2315.0,2315.0,269.0,100.0,100.0,4.55,3.201209583953438,3,0.131,Not significant,1.0,1.0,0.0
881ec83601fffff,1,1,100.0,3000.0,3000.0,362.0,100.0,0.0,,0.0,0,1.0,Not significant,1.0,0.0,-100.0
881ec83657fffff,2,1,50.0,2950.0,2950.0,358.5,100.0,0.0,,-0.0,0,1.0,Not significant,0.0,0.0,0.0
881ec83661fffff,2,2,100.0,4050.0,4050.0,364.5,100.0,0.0,,-0.9344949998177551,4,0.906,Not significant,0.5,0.0,-50.0
881ec83663fffff,5,3,60.0,6046.0,7132.0,343.8,100.0,40.0,4.953333333333333,-0.12838742852913973,2,1.0,Not significant,0.8,0.2,-60.0
881ec83665fffff,2,0,0.0,6384.0,6384.0,220.5,100.0,100.0,4.805,-1.7406025711063704,2,1.0,Not significant,0.5,1.0,50.0
881ec83749fffff,1,1,100.0,8000.0,8000.0,363.0,100.0,0.0,,-0.3970899522920115,4,0.772,Not significant,1.0,0.0,-100.0
881ec8a515fffff,1,1,100.0,5000.0,5000.0,365.0,100.0,0.0,,0.0,0,1.0,Not significant,0.0,0.0,0.0
881ec8acbdfffff,1,1,100.0,600.0,600.0,269.0,0.0,0.0,,0.0,0,1.0,Not significant,1.0,1.0,0.0
881ec8ace7fffff,1,1,100.0,14400.0,14400.0,365.0,100.0,0.0,,0.0,0,1.0,Not significant,0.0,0.0,0.0
881ec8ada7fffff,2,2,100.0,5325.0,5325.0,365.0,100.0,0.0,,0.9464226665223474,1,0.373,Not significant,0.0,0.0,0.0
881ec8adb5fffff,1,0,0.0,11960.0,11960.0,365.0,100.0,100.0,1.0,-1.7406025711063704,2,1.0,Not significant,0.0,0.0,0.0
881ec8adbbfffff,2,0,0.0,8500.0,8500.0,163.0,100.0,100.0,5.0,-0.0,0,1.0,Not significant,0.5,1.0,50.0
881ec8add7fffff,1,1,100.0,2500.0,2500.0,358.0,100.0,0.0,4.0,0.0,0,1.0,Not significant,1.0,0.0,-100.0
881ec8b483fffff,1,1,100.0,2115.0,2115.0,365.0,100.0,0.0,,0.0,0,1.0,Not significant,0.0,0.0,0.0
881ec900a7fffff,1,1,100.0,1500.0,1500.0,269.0,100.0,100.0,4.83,-0.3970899522920115,4,0.7,Not significant,1.0,1.0,0.0
881ec900b7fffff,2,0,0.0,5537.0,5537.0,201.5,100.0,100.0,4.975,2.6403139043541497,3,0.04,LL (Cold Spot),1.0,0.5,-50.0
881ec900e3fffff,12,6,50.0,4862.0,5012.0,241.75,58.3,33.3,4.4,-0.3970899522920115,2,1.0,Not significant,0.4166666666666667,0.5,8.3
881ec900e7fffff,1,1,100.0,2010.0,2010.0,363.0,100.0,0.0,,-0.3970899522920115,4,0.699,Not significant,1.0,0.0,-100.0
881ec90209fffff,136,29,21.3,5365.0,3654.0,293.31617647058823,41.9,60.3,4.807835051546392,1.3282311334291899,3,0.042,LL (Cold Spot),0.6854838709677419,0.21562184024266937,-47.0
881ec9020dfffff,330,71,21.5,3424.0,2676.0,316.96363636363634,48.8,65.5,4.4271595330739295,1.3661427355577438,3,0.034,LL (Cold Spot),0.6341463414634146,0.18855867735064408,-44.6
881ec90211fffff,2,0,0.0,2252.0,2252.0,185.5,100.0,100.0,4.745,1.4320408324420266,3,0.122,Not significant,1.0,0.5,-50.0
881ec90213fffff,734,263,35.8,2422.0,2244.0,258.35967302452315,68.3,75.2,4.643841059602649,0.5146051595239405,3,0.059,Not significant,0.7544338335607094,0.37623901911965046,-37.8
881ec90217fffff,138,47,34.1,2982.0,2622.0,221.16666666666666,81.9,76.1,4.591652173913043,0.6202717283384745,3,0.083,Not significant,0.7898550724637681,0.3493253373313343,-44.1
881ec9021bfffff,160,60,37.5,2294.0,2052.0,301.1125,67.5,69.4,4.685615384615384,0.6837754218157356,3,0.03,LL (Cold Spot),0.7125,0.2019396551724138,-51.1
881ec90241fffff,58,34,58.6,4061.0,3058.0,319.44827586206895,55.2,29.3,4.6115,0.16627019541981233,3,0.012,LL (Cold Spot),0.3620689655172414,0.2812128418549346,-8.1
881ec90243fffff,32,8,25.0,2652.0,2495.0,309.84375,34.4,46.9,4.70875,0.8406775545348797,3,0.072,Not significant,0.5,0.11961206896551724,-38.0
881ec90245fffff,35,14,40.0,2995.0,2569.0,308.1142857142857,62.9,57.1,4.564761904761904,0.5745444120225458,3,0.022,LL (Cold Spot),0.6470588235294118,0.343503937007874,-30.4
881ec90247fffff,314,87,27.7,4528.0,3561.0,307.21019108280257,46.5,64.3,4.674625550660793,0.9479111179840674,3,0.021,LL (Cold Spot),0.6174242424242424,0.2330712101354303,-38.4
