row_key,Itinerary,Itinerary Description
"Basket Boat Tour, Hoi An city, boat trip and lantern release_5.0_151","Hoi An Ancient Town, Bay Mau Coconut Forest, Hoi An Night Market","Hoi An Ancient Town
1.30 PM- 2.00 PM: Pick up from Hoi An hotels in center 
Visit Museum of Folk Culture, Old House of Tan Ky, Japanese Covered Bridge, Fukian Assembly Hall

Bay Mau Coconut Forest
4.30 PM: Transfer to Cam Thanh coconut village. 
Paddle through the water coconut forest on bamboo basket boats. 
Enjoy an authentic Vietnamese food

Hoi An Night Market
6.30 PM : Head to Hoi an old town area and explore its most magical during an evening tour that includes a boat ride and release the lantern on Hoai river
Chill out at a night market. You’ll have free time for shopping at Nguyen Hoang night market.
7.30 PM- 8.00 PM: Tour ends. Hotel drop off"
"Amanda Cruise - Ha Long, Lan Ha Bay - All Inclusive 2D1N & 3D2N_5.0_5825","Hanoi, Hạ Long Bay, Ti Top Island, Hang Luon Cave","Hanoi
We pick up all guests in Hanoi's Old quarter area between 8am - 08:30am, If you stay far from Old quarter area, please advise clearly hotels/points/ Airbnb address accompanying with your booking

Hạ Long Bay
For TRAVELERS who book HALONG BAY TOUR: 08:00 - 08:30am Pick up at Old Quarter area to transfer from Hanoi to Halong Bay 11:30 Arrive at cruise dock , we help you to check in at cruise lounge area 12:15 Transfer to cruise, check in, welcome drinks 13:00 You will have a delicious lunch and enjoy the stunning views when the boat cruises towards the southeast of Halong Bay, passing Fighting- Cock and Finger Islet. 14:45 Visiting Luon Cave or Pearl Farm area by bamboo boat or kayaking.' 16:00 You are going to Titop Island - where you can go swimming or hiking to the top for another stunning, panoramic view of the Bay 17:30 Back on board, you can enjoy Sunset party with HAPPY HOUR (from 17:30 – 19:00) – buy 2 get 1 free at bar. 18:30 Cooking Demo class or free time 19:00 Delight in the shimmering atmosphere of thousands of stars while eating a fantastic, expertly prepared dinner. 20:30 This is the perfect time for you to relax with spa treatments or enjoy a cocktail.

Ti Top Island
For TRAVELERS who book HALONG BAY TOUR: Visit Titop island with beach for sunbathing, swimming or , hiking up island to get great views (for travelers who book HALONG BAY itinerary only)

Hang Luon Cave
For TRAVELERS who book HALONG BAY TOUR: Kayaking in cave, around cave, karts and grottos (for travelers who book HALONG BAY itinerary only)"
Cu Chi Tunnels & Mekong Delta with Coconut Village Tour_5.0_8171,"Cu Chi Tunnels, My Tho","Cu Chi Tunnels
Tour stars approximately at 7:30AM to 7:00PM - This full-day tour takes you from Ho Chi Minh city to two popular attractions: Cu Chi Tunnels, and the Mekong Delta. 

Around 7:30am. Get picked up from your hotel in the center of Ho Chi Minh city and head to Cu Chi Tunnels. After 1.5 hours ride, we arrive at the tunnels where you will get a chance to learn about the fascinating history and significance of the tunnels during the Vietnam War. You will have the opportunity to crawl distances of the tunnels, try your hand at the shooting range, and witness the intricate network of underground tunnels and traps that played a significant role in the war.

After exploring the tunnels, we'll head to a local restaurant for lunch to try some of the delicious local Vietnamese cuisine (vegan food available).

My Tho
After lunch, we'll head to My Tho - the heart of the Mekong Delta region. You'll get a glimpse into the daily life of the locals as we take a boat ride down the Mekong River, where you can enjoy the picturesque scenery of the surrounding countryside.

We will then take a sampan ride through the small waterways with coconut palms line both sides, where you can experience the rural lifestyle, stop by the bee house to enjoy some local fruits and honey tea, listen to a live local music performance performed by the villagers.

We'll wrap up our day and head back to Ho Chi Minh City in the afternoon and be taken back to your hotel. This is a unique opportunity to experience some of the best Southern Vietnam has to offer, with a mix of history, culture, and natural beauty all in one day."
Nha Trang ATV Off-road Adventure Through the Jungle_4.0_17,,
Full-Day Ninh Binh Highlights Tour from Hanoi_5.0_8703,"Ninh Binh, Hoa Lu Temples of the Dinh & le Dynasties, Mua Caves, Tam Cốc-Bich Dộng, Bich Dong Pagoda","Ninh Binh
7.00 – 07:15: Pick up guests in hotels from Hanoi Old Quarter
09:15: Arrive at Hoa Lu ancient capital, Visit Dinh King temple
10:30: Visit Mua Cave and enjoy the breathtaking panoramic river and mountains view by climb 500 steps up tp Lying Dragon Mountain
12:00: Enjoy traditional Vietnamese set menu lunch at local Bungalow
13:15: Enjoy a sampan boat trip in Tam Coc, passing through three caves: Hang Ca- Frist cave, Hang Hai – the second cave and Hang Ba- third Cave.
15:00: Cycle through the rice fields and villages to visit Bich Dong Pagoda
15:30: Visit the ancient pagoda- Bich Dong was built in 1428. Then Cyling through villages back to the parking area.
16:00: Leave Tam Coc for Hanoi after having a fair-well drink
18:30: The tour is ended in Hanoi

Hoa Lu Temples of the Dinh & le Dynasties
Visit the first ancient capital of Vietnam in 10th and 11th century. You will hang out about 45 minutes to see Dinh King temple at the mountainous area

Mua Caves
-Hiking 500 steps to the top of the mountain to enjoy the breaktaking views of river, mountain and Ninh Binh City
- Visit dry Cave
- Visit lotus farm with colorful flowers with amazing photos in the lotus season in the summer

Tam Cốc-Bich Dộng
Have a sampan boat trip on Ngo Dong River to pass three emeral water caves, among limestone mountains and rice field by local rowers.

Bich Dong Pagoda
Visit an ancient pagoda, was built in 1428 in the village. Climb 200 steps to see three parts of pagoda: the lower pagoda at the foot of mountain, the middle pagoda at the half of mountain and the top pagoda on the top of mountain."
"Private Golden Hand Bridge, Hoi An & Danang City from Cruise Port_5.0_4","Golden Bridge, Dragon Bridge, My Khe Beach, Hoi An Ancient Town, The Marble Mountains","Golden Bridge
Nested at the height of 1,414m from the sea level, the Golden Bridge is no less than an iconic architectural wonder that envisages the sash-like route across the heaven. Spanning nearly 150m long in the Paradise Garden, this bridge is regarded as a special transit stop to deliver visitors from the mountain foot or the French Village to La Jardin D’Amour Gardens. The bridge measures 12.8m wide and nearly 150m long and comprises 8 arches, the longest of which is 21.2m.

Dragon Bridge
The Dragon Bridge with the shape of the dragon crossesis a bridge with a dragon over the Han River at Danang, Vietnam. Dragon Bridge is 666m long, 37.5m wide and has six lanes for traffic.It opened to traffic on March 29, 2013, at a cost of nearlyVND 1.5 trillion dong (US$88m). The bridge was designed by the US-based Ammann & Whitney Consulting Engineers with Louis Berger Group. Construction was undertaken by Company No. 508, an affiliate of Civil Construction Engineering Corporation No.5, and Bridge Company No. 75.

Main span was completed on October 26, 2011. The bridge was opened to traffic on March 29, 2013, the 38th anniversary of the liberation of DanangCity. This modern bridge crosses the Han River at the Le Dinh Duong/Bach Dang traffic circle, providing the shortest road link from the Danang International Airport to other main roads in DanangCity, and a more direct route to My Khe Beach and Non Nuoc Beach on the eastern edge of the City. The bridge was designed and built in the shape of a dragon and to breathe fire and water.

My Khe Beach
Considered to be Vietnam's most picturesque beach, the white sandy 20-mile stretch of My Khe Beach was named by the American troops who visited during the Vietnam War for R&R. It offers excellent surfing from September just off the shores of Danang. There are also a number of high-end resorts within the vicinity should you be in need of pampering with most offering a rich choice of treatments at their spas and a range of dining options.

Hoi An Ancient Town
Hoi An Town is an exceptionally well-preserved example of a Southeast Asian trading port dating from the 15th to the 19th century. Its buildings and its street plan reflect the influences, both indigenous and foreign, that have combined to produce this unique heritage site. Hoi An has no airport, and no train station either. The only way to get there is by road. You can hire a taxi from the neighbouring city of Da Nang, which does have an airport with daily flights from Hanoi, Ho Chi Minh City and other large Vietnamese cities. There’s also a train station in Da Nang, and bus services are plentiful. We have a wide selection of hotels for you to choose from in both Cua Dai Beach and Hoi An City, whatever suits your pocket and style.

The Marble Mountains
The Marble Mountains are a cluster of five hills made from limestone and marble in Da Nang. It's also a well-known pilgrimage site with peaks, caves, tunnels and temples all just waiting to be discovered. Named after the elements metal, wood, water, fire and earth, Marble Mountains exist in a coastal area that is renowned for stone-cutting and sculpture about 9km south of Da Nang. The caves within the mountains hold many secrets including bullet holes from when troops used to spy on the US soldiers relaxing on My Khe Beach below and buildings standing within the caves and grottoes. There are also Buddhist sanctuaries and places of worship dotted across the mountains which are a much-visited spiritual site. You can even see a special circular cave here. It leads to the summit, where you can enjoy spectacular panoramic views."
Lan Ha - Ha Long Bay - Dau Be island 2D/1N from Cat Ba in less touristy areas._5.0_3743,Lan Ha Bay,"Lan Ha Bay
11.00 - 11.30: Take a minibus for 5 minutes from our office to the pier.
Sometimes we take small junk for easy cruising and anchoring the harbor.
The boat number 1: Lan Ha 25 Junk 

After lunch, we will move to the sleeping boat Cat Ba Ventures around 13:45 pm (we change boats in the bay).
-The boat number 11: Cat Ba Ventures on our website.

Cruise around Lan Ha Bay. Visit amazing landscapes and a floating fishing village. You will see the daily life of the fisherman on the bay.

Swim at deserted beach. (Snorkeling is optional with equipment included)

12.30: Having lunch on the boat.

Kayaking 1 and half - 2 hours through the rock arch to hidden lagoons and tunnels to discover Bat cave and Bright Cave.

Keep cruising to Ha Long Bay to sightseeing the most beautiful landscapes at less touristy areas.

Enjoy the sunset on the bay.

19.00: Dinner and overnight on the boat.

Optional squid fishing at night."
"Sapa Motorbike Tour With Local Guide 1 Day - Waterfalls, Villages_5.0_276","O Quy Ho Mountain Pass, Thac Bac Waterfall (Silver Falls), Tram Ton Pass, Muong Hoa Valley","O Quy Ho Mountain Pass
Starting from the center of Sapa town, you will begin your journey with the winding O Quy Ho pass road, one of the top 4 most beautiful passes in northern Vietnam. Besides driving, the breathtaking scenery of Hoang Lien Son mountain range, garden green tea, vegetable gardens... will catch your eyes, you will have the opportunity to enjoy.

O Quy Ho Pass is one of the most famous and beautiful mountain passes in Vietnam. Known for its challenging curves and majestic landscapes. O Quy Ho Pass is an extremely beautiful and ideal destination for all of you who love to explore nature and explore the Northern Highlands.

From the summit of the pass, visitors can admire the panoramic views of the Hoang Lien Son mountain range and Muong Hoa valley, with lush green forests and vibrant terraced rice fields. Along the way, you will experience winding roads, challenging curves, yet also breathtaking moments gazing at the rugged cliffs amidst the vast expanse of the Northwest mountainous forests.

Thac Bac Waterfall (Silver Falls)
Silver water has an altitude of more than 200 meters, is the upstream of muong hoa located at the foot of O Quy Ho pass , when visitng silver waterfall you have to walk up and down in a circle about 1km,You will see the cardamom trees of the people here with the majestic scenery of Muong Hoa valley and a stream of water as white as silver at an altitude of more than 1,800m.

Tram Ton Pass
Stop at Tram ton (Hoang Lien National park station) You can take a short walk around 2km following the Golden Stream and see the love waterfall located in Hoang Lien forest. Where you will be amazed by the breathtaking view of mountain surroundings including Fansipan, the highest peak of Indochina and you will get the chance to listen the bird here singing.

Muong Hoa Valley
The guide will take you ride down to Muong Hoa valley with many different villages such as: Sin Chai, Y Linh Ho, Lao Chai , Ta Van, Giang Ta Chai, Hau Thao And Su Pan. This is also one of the most beautiful valley in the northwest VietNam, you will drive through the terraces fields, villages of 3 ethnic minority groups and visit the most beautiful terraced fields in sapa, will have a lunch in Lao Chai village of the black h'mong people, after that, there will be about 30 minutes to visit the house of the Hmong, listen to the guide introducing the customs, and culture here. Continue to drive to the villages of Ta Van, Giang Ta Chai, Hau Thao and Su Pan."
Ba Na Hills with Golden Bridge Private Tour_5.0_785,"Da Nang, Golden Bridge, Sun World Ba Na Hills, Sun World Ba Na Hills","Da Nang
Thank you for coming to our fantastic Da Nang. Be ready for a 1-day memorable adventure with our local expert!

7:30am: We'll pick you up from the hotels in Da Nang city center to visit Ba Na Hills in our amazing trip. 

(As it's a private tour, the timing & itinerary can be adjusted and customized to suit your needs).

Golden Bridge
07:30: We start the journey to visit Ba Na Hills – A must-visit destination in Central Vietnam. 

09:30: Enjoy the cable car system that won 4 World’s Records (longest one-wire sling; the longest distance between each station; the longest unpatched wire & finally the heaviest cable roll), admire the epic view and enjoy the fresh air here.

10:00: Explore Golden Hand Bridge, sits 1,400 meters above sea level, an altitude that creates a silk strip hiding in clouds & enjoy the panorama of Da Nang on high. 

We love to share stories about our culture, history & significance of this bridge to give you deeper appreciation & interesting knowledge of Vietnam's unique heritage. 

With our local expert, we'll show the best of what Ba Na Hills can offer, ensuring you'll have fantastic time with detailed insights into Vietnam's history, culture & people.

Sun World Ba Na Hills
- Walk around & admire Le Jardin D’Amour (the Flower Garden of Love).
- Enjoy the peaceful feeling in Linh Ung Pagoda, with 27m – height Shakyamuni statue on 6m – height lotus.
- Visit Tinh Tam Garden; Old Villas; a 100-year-old pomelo tree and listen to the unique story about it.
- Loc Uyen Garden, Quan Am Pavilion.

After that, we'll take another cable car to visit Nui Chua Peak of Ba Na Hills with French Village, Fantasy Park, etc.

Moreover, we'll show you all the best spots for you to take great photos and capture memorable moments of Ba Na Hills' stunning architecture & picturesque surroundings.

12:00: Take a rest and fill your empty stomach with a buffet lunch featuring over 100 delicious dishes.

Sun World Ba Na Hills
After lunch, it's time for you to experience many activities, especially thrilling rides & games in Fantasy Park – The World-class indoor Amusement Park:

- Love Wheel, Fire Race, Ghost House, Skiver Pilot, Fierce Race Track,... 
- Challenge yourself with the most popular adventure ride - Slide of Tube Car (free ride).
- Walking in Fairy Forest, discover Dinosaur Park, play 5D wild west.
- Enjoy 4D death race ride, watch 3D mega 360 degree, ride on Journey into the underground.
- Discover Jurassic Park, challenge Freefall Tower.
- And over 90 free games are waiting for you to conquer. 

Discover Wax Museum where displays over 40 wax statues of celebrities around the world like singers, actors, scientists, presidents (self-expenses ticket). 

Explore French Village and watch Carnival Performance Show, Square Du Dome...

15:30: Return to the Cable Car for leaving Ba Na Hills.
17:30: Our bus brings you back to hotel. Tour ends & see you in next trips with us!"
Morning CuChi Tunnels-Tapioca- Luxury Speedboat 2Ways_5.0_794,Cu Chi Tunnels,"Cu Chi Tunnels
Discover the immense network of connecting underground tunnels located in the Củ Chi District of Ho Chi Minh City. Visit the various traps used during the war and enter and crawl through one of the tunnels."
