Supplied By,Trading Name,Legal Name,Website,Phone,Email,Full Address,Address Line1,Address Line2,City,State,PostCode,Country,Trade Register Name,Registration Number,Managing Director,Supplier URL,Supplier ID,Source
Japan Guide Stars,Japan Guide Stars,"Contents Like, LLC",,`+81667109077,contentslikejapan@gmail.com,"3-4-9, 175-0093 Akatsuka Shinmachi, Itabashi-ku, Tokyo, Japan",3-4-9,,"Akatsuka Shinmachi, Itabashi-ku, Tokyo",,175-0093,Japan,,`6011103011927,Hidenori Tachinami,https://www.getyourguide.com/japan-guide-stars-s484780/,,GYG
LINKTIVITY Inc.,LINKTIVITY Inc.,リンクティビティ株式会社,,,,"5F, 1-18-1 Kyobashi, Chuo-ku,, 174-0063 Tokyo, Japan, Japan","5F, 1-18-1 Kyobashi, Chuo-ku,",,Tokyo,Japan,174-0063,Japan,,,Kou Kou,https://www.getyourguide.com/linktivity-inc-s233588/,,GYG
Traveling Tokyo,Traveling Tokyo,Yota Koketsu,,,,"Dogenzaka 1-10-8, Shibuya Dogenzaka Tokyu Building 2F-C, 150-0043 Shibuya, Tokyo, Japan","Dogenzaka 1-10-8, Shibuya Dogenzaka Tokyu Building 2F-C",,Shibuya,Tokyo,150-0043,Japan,,,,https://www.getyourguide.com/traveling-tokyo-s384859/,,GYG
ICHIGO NIHONGO,ICHIGO NIHONGO,"GloCal Co., Ltd.",,,,"2-27-12 Layover Kanamachi #305, 1250042 Katsushika-city, Kanamachi, Tokyo, Japan, Japan",2-27-12 Layover Kanamachi #305,,"Katsushika-city, Kanamachi","Tokyo, Japan",1250042,Japan,,`8011301030322,Yuka Nakajima,https://www.getyourguide.com/ichigo-nihongo-s714729/,,GYG
株式会社丸三,株式会社丸三,"Marusan Co., Ltd.",,`+81359628516,lpcjs_ginza@lpc-gp.com,"出雲市渡橋町706-1, 6930004 出雲市, 島根県, Japan",出雲市渡橋町706-1,,出雲市,島根県,6930004,Japan,,`5280001003696,Hadehara Tsutomu,https://www.getyourguide.com/-s692589/,,GYG
TravelinGood,TravelinGood,TravelinGood,,,,"8-8 Mibu Aiaicho, Nakagyo-ku 302, 604-8812 Kyoto Shi, Kyoto Fu, Japan","8-8 Mibu Aiaicho, Nakagyo-ku 302",,Kyoto Shi,Kyoto Fu,604-8812,Japan,,`130003010742,SHO HAMADA,https://www.getyourguide.com/travelingood-s381966/,,GYG
縁-en-,縁-en-,Kabushiki Kaisha wins,,`+818088500758,rene.happy.hour@gmail.com,"29-5 Oaza Fujima, 350-1142 Kawagoe, Saitama, Japan",29-5 Oaza Fujima,,Kawagoe,Saitama,350-1142,Japan,,`1030001165136,Shunta Nakamura,https://www.getyourguide.com/en-s556548/,,GYG
KACHO LABO,KACHO LABO,太田 悠斗,,,,"1-19-23 Higashi-Shinsaibashi, Chuo-ku Ogata #401, 542-0083 Osaka-shi, Osaka, Japan","1-19-23 Higashi-Shinsaibashi, Chuo-ku Ogata #401",,Osaka-shi,Osaka,542-0083,Japan,,,,https://www.getyourguide.com/kacho-labo-s766772/,,GYG
Shera Alvi,Shera Alvi,Hussain Sheraz,,,,"Saijonishihonmachi, 739-0043 Higashihiroshima, Hiroshima, Japan",Saijonishihonmachi,,Higashihiroshima,Hiroshima,739-0043,Japan,,,,https://www.getyourguide.com/shera-alvi-s587286/,,GYG
Link Roots LCC,Link Roots LCC,LinkRoots LLC,,,,"1-1-18 Isobedori, Chuo-ku Room 707, Casa Bella International Plaza Building, 651-0084 Kobe, Japan","1-1-18 Isobedori, Chuo-ku Room 707, Casa Bella International Plaza Building",,Kobe,,651-0084,Japan,,`7140003022814,Shota Maehara,https://www.getyourguide.com/link-roots-lcc-s698136/,,GYG
