series,period,destination,origin,origin_basis,metric,unit,value,published_on,publication_basis,release_source_url,knowable_from,pit_usable,vintage_basis,source_url
ine_egatur,2018-01,ES,Total expenditure. National Total. Tourist. Base data.,expenditure_category,tourist_expenditure,EUR_millions,4524.43,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/EGATUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/13938?nult=200
ine_egatur,2018-01,ES,Tourist. Expenditure not included in package tour. National Total. Base data.,expenditure_category,tourist_expenditure,EUR_millions,3671.46,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/EGATUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/13938?nult=200
ine_egatur,2018-01,ES,Tourist. Expenditure on maintenance. National Total. Base data.,expenditure_category,tourist_expenditure,EUR_millions,721.39,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/EGATUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/13938?nult=200
ine_egatur,2018-01,ES,Tourist. International transport expenditure. National Total. Base data.,expenditure_category,tourist_expenditure,EUR_millions,992.8,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/EGATUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/13938?nult=200
ine_egatur,2018-01,ES,Tourist. Other expense. National Total. Base data.,expenditure_category,tourist_expenditure,EUR_millions,469.81,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/EGATUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/13938?nult=200
ine_egatur,2018-01,ES,Tourist. Spending on accommodation. National Total. Base data.,expenditure_category,tourist_expenditure,EUR_millions,543.8,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/EGATUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/13938?nult=200
ine_egatur,2018-01,ES,Tourist. Spending on activities. National Total. Base data.,expenditure_category,tourist_expenditure,EUR_millions,943.65,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/EGATUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/13938?nult=200
ine_egatur,2018-01,ES,Tourist. Spending on tourism packages. National Total. Base data.,expenditure_category,tourist_expenditure,EUR_millions,852.97,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/EGATUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/13938?nult=200
ine_egatur,2018-02,ES,Total expenditure. National Total. Tourist. Base data.,expenditure_category,tourist_expenditure,EUR_millions,4535.94,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/EGATUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/13938?nult=200
ine_egatur,2018-02,ES,Tourist. Expenditure not included in package tour. National Total. Base data.,expenditure_category,tourist_expenditure,EUR_millions,3657.36,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/EGATUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/13938?nult=200
ine_egatur,2018-02,ES,Tourist. Expenditure on maintenance. National Total. Base data.,expenditure_category,tourist_expenditure,EUR_millions,706.87,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/EGATUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/13938?nult=200
