variant,window,strategy,subset,side,horizon,n,mean_pct,bootstrap90_lo,bootstrap90_hi
default,W1,kernel,all,positive,1,7,-0.27454693226412397,-2.0474643285074228,1.4042218012767727
default,W1,kernel,all,positive,5,7,-2.9353248523466484,-4.6939325820045,-1.2371212247213748
default,W1,kernel,all,positive,20,7,-2.069146563265462,-5.955675714094901,1.6305611728290914
default,W1,kernel,all,positive,60,7,-2.532417947574545,-8.152778928976643,3.837966089572142
default,W1,kernel,all,negative,1,4,-0.8519098275752228,-3.2532392109168637,1.549419555766418
default,W1,kernel,all,negative,5,4,-0.09745184620651703,-3.1729173572034473,2.9780136647904127
default,W1,kernel,all,negative,20,4,-0.5047775160986867,-2.6854587481799586,1.6759037159825851
default,W1,kernel,all,negative,60,4,-2.1488889645366482,-4.19013852445813,-0.10763940461516608
default,W1,kernel,all,direction_adjusted,1,11,0.13507370767745688,-1.5161343201046438,1.9026680131623797
default,W1,kernel,all,direction_adjusted,5,11,-1.832496961963679,-3.64712202652944,0.20079649150100673
default,W1,kernel,all,direction_adjusted,20,11,-1.133174170769408,-3.519291745369921,1.4940365238991937
default,W1,kernel,all,direction_adjusted,60,11,-0.8301245249886565,-3.9868920908041723,2.8699839019833386
default,W1,kernel,abs_signal_gt1,positive,1,5,-0.9595784146303975,-3.118046141333526,1.0579734399298468
default,W1,kernel,abs_signal_gt1,positive,5,5,-2.4334185794261876,-4.278133185646127,-0.5887039732062482
default,W1,kernel,abs_signal_gt1,positive,20,5,-1.6006047825263827,-6.033564761812956,2.832355196760191
default,W1,kernel,abs_signal_gt1,positive,60,5,-3.429491744192698,-6.434105513039421,-0.32008761183138307
default,W1,kernel,abs_signal_gt1,negative,1,3,-1.180654579796869,-4.251329974261689,1.8900208146679514
default,W1,kernel,abs_signal_gt1,negative,5,3,-0.7790752951002139,-4.485956736634692,2.927806146434264
default,W1,kernel,abs_signal_gt1,negative,20,3,-1.8471950273119653,-3.2643021246260133,-0.43008792999791695
default,W1,kernel,abs_signal_gt1,negative,60,3,-1.3446872105293963,-4.389151923421656,1.6997775023628627
default,W1,kernel,abs_signal_gt1,direction_adjusted,1,8,-0.15699104172017253,-2.2165755731614563,2.1701972736181823
default,W1,kernel,abs_signal_gt1,direction_adjusted,5,8,-1.2287333764787869,-3.661579131536488,1.5448540451933426
default,W1,kernel,abs_signal_gt1,direction_adjusted,20,8,-0.30767985383700214,-3.706977631542105,3.423700087895735
default,W1,kernel,abs_signal_gt1,direction_adjusted,60,8,-1.6391746361719128,-3.5182502826566364,0.44677995565317685
default,W1,guide_gap_only,all,positive,1,7,-0.21725840081378328,-2.1172012506591718,1.669574601722536
default,W1,guide_gap_only,all,positive,5,7,-0.623531160708381,-2.290980780005558,1.1334049585910602
default,W1,guide_gap_only,all,positive,20,7,-1.468709062048458,-5.646888016725616,3.0206692013368976
default,W1,guide_gap_only,all,positive,60,7,-6.276059183814497,-10.743831834361258,-2.794205454401013
default,W1,guide_gap_only,all,negative,1,6,0.1633208371663605,-1.801275985274738,2.127917659607459
default,W1,guide_gap_only,all,negative,5,6,-2.7539298187886616,-4.607370539555902,-0.7627600206487785
default,W1,guide_gap_only,all,negative,20,6,-3.973528061732638,-5.689723647352834,-2.2515201898666293
default,W1,guide_gap_only,all,negative,60,6,-2.4193655669736667,-7.728145823760627,4.212633647295898
default,W1,guide_gap_only,all,direction_adjusted,1,13,-0.192364140668819,-1.5538397492049152,1.2322621957964388
default,W1,guide_gap_only,all,direction_adjusted,5,13,0.9352969836748695,-0.6276735430623005,2.5290279618599785
default,W1,guide_gap_only,all,direction_adjusted,20,13,1.0430926873889705,-1.9978934669296646,3.9932375414087744
default,W1,guide_gap_only,all,direction_adjusted,60,13,-2.2627862219122683,-7.309751832454202,2.668067952609894
default,W1,guide_gap_only,abs_signal_gt1,positive,1,4,-1.6109293220594096,-4.10263378202938,0.8807751379105611
default,W1,guide_gap_only,abs_signal_gt1,positive,5,4,-1.5902302347488018,-3.166553393298943,-0.013907076198660384
default,W1,guide_gap_only,abs_signal_gt1,positive,20,4,0.953889336400424,-1.53338154765536,3.441160220456208
default,W1,guide_gap_only,abs_signal_gt1,positive,60,4,-1.8111984656920013,-5.355494040734614,1.7330971093506122
default,W1,guide_gap_only,abs_signal_gt1,negative,1,4,-0.47403463107623933,-3.2532392109168637,2.305169948764385
default,W1,guide_gap_only,abs_signal_gt1,negative,5,4,-2.0358494608590934,-3.1729173572034473,-0.898781564514739
default,W1,guide_gap_only,abs_signal_gt1,negative,20,4,-4.340041585042376,-6.383754938537701,-2.2963282315470512
default,W1,guide_gap_only,abs_signal_gt1,negative,60,4,-3.484181622445919,-7.344921789772096,0.3765585448802584
default,W1,guide_gap_only,abs_signal_gt1,direction_adjusted,1,8,-0.5684473454915852,-2.658729826672075,1.7747058110963867
default,W1,guide_gap_only,abs_signal_gt1,direction_adjusted,5,8,0.2228096130551458,-2.0566521696909272,2.4994984193137197
default,W1,guide_gap_only,abs_signal_gt1,direction_adjusted,20,8,2.6469654607214,-0.7029604008336575,6.094276595822548
default,W1,guide_gap_only,abs_signal_gt1,direction_adjusted,60,8,0.8364915783769586,-2.484199878189794,4.352745177745834
default,W1,zero,all,positive,1,0,,,
default,W1,zero,all,positive,5,0,,,
default,W1,zero,all,positive,20,0,,,
default,W1,zero,all,positive,60,0,,,
default,W1,zero,all,negative,1,0,,,
default,W1,zero,all,negative,5,0,,,
