ymi,n_markets,reviews,ym
24192,121,62552.0,2016-01
24193,120,64586.0,2016-02
24194,122,79226.0,2016-03
24195,122,95331.0,2016-04
24196,122,118588.0,2016-05
24197,123,119172.0,2016-06
24198,123,142310.0,2016-07
24199,123,151072.0,2016-08
24200,123,151352.0,2016-09
24201,123,153180.0,2016-10
24202,123,114352.0,2016-11
24203,123,104784.0,2016-12
24204,123,120768.0,2017-01
24205,123,112347.0,2017-02
24206,123,143335.0,2017-03
24207,123,186244.0,2017-04
24208,123,200661.0,2017-05
24209,123,204636.0,2017-06
24210,123,239754.0,2017-07
24211,123,238665.0,2017-08
24212,123,235982.0,2017-09
24213,123,227958.0,2017-10
24214,123,168004.0,2017-11
24215,123,164950.0,2017-12
24216,123,184092.0,2018-01
24217,123,176984.0,2018-02
24218,123,225493.0,2018-03
24219,123,266094.0,2018-04
24220,123,293364.0,2018-05
24221,123,300424.0,2018-06
24222,123,346557.0,2018-07
24223,123,350536.0,2018-08
24224,123,351753.0,2018-09
24225,123,344405.0,2018-10
24226,123,275150.0,2018-11
24227,123,252994.0,2018-12
24228,123,273418.0,2019-01
24229,123,261558.0,2019-02
24230,123,339385.0,2019-03
24231,123,388140.0,2019-04
24232,123,406890.0,2019-05
24233,123,441319.0,2019-06
24234,123,464482.0,2019-07
24235,123,471416.0,2019-08
24236,123,472936.0,2019-09
24237,123,454641.0,2019-10
24238,123,365227.0,2019-11
24239,123,339850.0,2019-12
24240,123,359050.0,2020-01
24241,123,345082.0,2020-02
24242,123,219584.0,2020-03
24243,123,26540.0,2020-04
24244,122,48687.0,2020-05
24245,123,107678.0,2020-06
24246,123,216328.0,2020-07
24247,123,282991.0,2020-08
24248,123,226262.0,2020-09
24249,123,206228.0,2020-10
24250,123,151486.0,2020-11
24251,123,157733.0,2020-12
24252,123,177951.0,2021-01
24253,123,153537.0,2021-02
24254,123,189056.0,2021-03
24255,123,215438.0,2021-04
24256,122,268840.0,2021-05
24257,123,316644.0,2021-06
24258,123,437817.0,2021-07
24259,123,502331.0,2021-08
24260,123,428033.0,2021-09
24261,123,453109.0,2021-10
24262,123,407945.0,2021-11
24263,123,376531.0,2021-12
24264,123,376380.0,2022-01
24265,123,364404.0,2022-02
24266,123,476272.0,2022-03
24267,123,595845.0,2022-04
24268,123,663822.0,2022-05
24269,123,685863.0,2022-06
24270,123,783898.0,2022-07
24271,123,777124.0,2022-08
24272,123,756109.0,2022-09
24273,123,753163.0,2022-10
24274,123,604774.0,2022-11
24275,123,520574.0,2022-12
24276,123,584767.0,2023-01
24277,123,560900.0,2023-02
24278,123,699585.0,2023-03
24279,123,828881.0,2023-04
24280,123,895022.0,2023-05
24281,123,904006.0,2023-06
24282,123,1013362.0,2023-07
24283,123,982750.0,2023-08
24284,123,968019.0,2023-09
24285,123,983428.0,2023-10
24286,123,772281.0,2023-11
24287,123,703748.0,2023-12
24288,123,721709.0,2024-01
24289,123,728368.0,2024-02
24290,123,906939.0,2024-03
24291,123,995082.0,2024-04
24292,123,1099518.0,2024-05
24293,123,1141400.0,2024-06
24294,123,1196176.0,2024-07
24295,123,1213399.0,2024-08
24296,123,1221752.0,2024-09
24297,123,1180073.0,2024-10
24298,123,973403.0,2024-11
24299,123,922606.0,2024-12
24300,123,921080.0,2025-01
24301,123,863511.0,2025-02
24302,123,1093821.0,2025-03
24303,123,1241544.0,2025-04
24304,123,1321206.0,2025-05
24305,123,1416310.0,2025-06
24306,123,1451072.0,2025-07
24307,123,1502994.0,2025-08
24308,123,1460398.0,2025-09
24309,123,1480069.0,2025-10
24310,123,1266983.0,2025-11
24311,123,1161704.0,2025-12
24312,123,1164576.0,2026-01
24313,123,1154788.0,2026-02
24314,123,1401284.0,2026-03
24315,123,1545939.0,2026-04
24316,123,1752637.0,2026-05
24317,122,1649819.0,2026-06
24318,122,1811458.0,2026-07
