period,region,n_markets,vmatch_eq,vmatch_cw,within_eq,within_cw,wedge_eq_pp,regions_weight_covered
2026-07,APAC,10,0.018211760211529582,0.03834682573498083,0.19949356952187922,0.22557059961315273,18.12818093103496,
2026-07,EMEA,51,0.0010444830769663844,0.011277588687322426,0.2061679458997937,0.20083332175942004,20.512346282282724,
2026-07,LatAm,5,0.16840465777495472,0.20567348182407685,0.39407066589806944,0.44035130291943547,22.56660081231147,
2026-07,NAM,31,0.04471017245924459,0.04308524650753154,0.25945706469164204,0.25445552513488345,21.47468922323974,
2026-08_to_date,APAC,10,0.05291028927947604,0.07347758380460623,0.23465728375517583,0.2698758968392476,18.174699447569974,
2026-08_to_date,EMEA,47,0.012337714729318145,0.002767071423698697,0.1905416624444555,0.1862438025490878,17.820394771513733,
2026-08_to_date,LatAm,5,0.3308639503271483,0.44156352520131237,0.5838462502075281,0.7189055832147937,25.298229988037985,
2026-08_to_date,NAM,31,0.0923960298477675,0.07623722966697621,0.27647141510854845,0.2723479679387637,18.407538526078085,
3q26_to_date,APAC,16,0.03438095393461112,0.07349469993123225,0.23137450043396318,0.28190218316058924,19.699354649935206,
3q26_to_date,EMEA,56,0.00203910265110864,0.008624952631158589,0.2104167545581122,0.20206878743538215,20.83776519070036,
3q26_to_date,LatAm,5,0.2168451379709834,0.2753417342427895,0.4509343239377011,0.522729662933165,23.40891859667177,
3q26_to_date,NAM,42,0.057485566380737776,0.0685016939240326,0.27429224788019557,0.2938613598453099,21.680668149945774,
2026-07,GLOBAL,97,0.02539613272321585,0.0379458440266065,0.23219611619628372,0.23594351450428452,20.67999834730679,
2026-08_to_date,GLOBAL,93,0.060511528623540284,0.08216484003670455,0.2450739364714387,0.2814094738127213,18.456240784789845,
3q26_to_date,GLOBAL,119,0.034982390666065254,0.0521086868243148,0.24588467472986897,0.25875506236788337,21.090228406380376,
2026-07,GLOBAL_NW,97,0.04542653747624302,,0.2540145584905039,,20.858802101426086,100.1
2026-08_to_date,GLOBAL_NW,93,0.09691626220204759,,0.29058747926238443,,19.367121706033682,100.1
3q26_to_date,GLOBAL_NW,119,0.060100718301072095,,0.27406032326123475,,21.395960496016265,100.1
