period,region,n_markets,w_equal,w_reviews,w_median,n_cur,n_prior,regions_weight_covered
2026-06,APAC,16,0.2162866057922282,0.19404396922323297,0.2121453085843087,141376.0,118401.0,
2026-06,EMEA,57,0.17698524454971137,0.16492975866054138,0.16807228915662642,926337.0,795187.0,
2026-06,LatAm,7,0.34295442206377647,0.39838269611748367,0.43365129835718075,198348.0,141841.0,
2026-06,NAM,42,0.30192611325037333,0.31160752735947717,0.25030463810111525,383758.0,292586.0,
2026-07,APAC,13,0.21008135968363198,0.2397851080827611,0.19644369178662147,107079.0,86369.0,
2026-07,EMEA,55,0.2145106718707921,0.20705979909915007,0.19320533866247946,960717.0,795915.0,
2026-07,LatAm,7,0.46819814240406543,0.5239922980624416,0.4716103304215724,239820.0,157363.0,
2026-07,NAM,36,0.26804719845384534,0.28066512235590224,0.23518978219090325,319549.0,249518.0,
2026-08_to_date,APAC,13,0.2668082127465435,0.26996879595423406,0.24129930394431565,35408.0,27881.0,
2026-08_to_date,EMEA,55,0.19141178307816692,0.1630388176395965,0.1942182410423452,393306.0,338171.0,
2026-08_to_date,LatAm,7,0.5723375265330163,0.6390232412060302,0.5570819112627987,104373.0,63680.0,
2026-08_to_date,NAM,36,0.27456567877635346,0.27453819365584065,0.2251321674395378,134683.0,105672.0,
2026-06,GLOBAL,122,0.23467477330304354,0.223887716382978,0.20607831066328108,1649819.0,1348015.0,
2026-07,GLOBAL,111,0.247353430359889,0.2621852129091311,0.21373502550112677,1627165.0,1289165.0,
2026-08_to_date,GLOBAL,111,0.2512331707809377,0.24722639352713083,0.21933471933471926,667770.0,535404.0,
2026-06,GLOBAL_NW,122,0.24681622961478084,,,,,100.1
2026-07,GLOBAL_NW,111,0.27446680458751466,,,,,100.1
2026-08_to_date,GLOBAL_NW,111,0.2923029133581021,,,,,100.1
