k_days,n_pairs,n_early,n_late,completeness
0,115,17243,59413,0.29022267853836703
1,122,27852,67338,0.4136148979773679
2,122,31918,63923,0.49931949376593715
3,122,29967,54648,0.5483640755379886
4,122,29896,50979,0.5864375527177857
5,122,32747,52478,0.6240138724798964
6,122,35027,53825,0.650757083139805
7,122,38772,57295,0.6767082642464438
8,122,44543,63578,0.7006039825096732
9,122,44787,62113,0.7210567836040764
10,122,37819,51308,0.7370975286505028
11,122,37650,48829,0.7710581826373671
12,122,42374,52193,0.8118713237407316
13,122,46323,51843,0.8935246802847058
14,122,55580,55167,1.0074863595990358
15,122,66084,63717,1.0371486416497953
16,122,64795,62606,1.034964699869022
17,122,57702,55771,1.0346237291782467
18,122,51163,49393,1.035835037353471
19,122,51894,50128,1.035229811682094
20,122,54395,52664,1.0328687528482454
21,122,59641,57717,1.0333350659251175
22,122,63508,61422,1.0339617726547492
23,122,61578,59585,1.0334480154401275
24,122,53900,52198,1.0326066132802023
25,122,51374,49732,1.033016970964369
26,122,52779,51060,1.0336662749706227
27,122,53711,52072,1.0314756491012445
28,122,60356,58403,1.0334400630104619
29,122,65419,63411,1.031666430114649
30,122,64825,62755,1.0329854194884869
31,122,54345,52688,1.0314492863650166
32,122,50347,48846,1.030729230643246
33,122,53332,51684,1.0318860769290303
34,122,51760,50198,1.031116777560859
35,122,57961,56133,1.0325655140469956
36,122,65816,63700,1.0332182103610674
37,122,61880,59992,1.0314708627817042
38,122,50009,48525,1.0305821741370427
39,122,49097,47660,1.0301510700797314
40,122,50938,49508,1.0288842207320028
41,122,51863,50301,1.0310530605753365
42,122,59634,57817,1.031426742999464
43,122,64812,62698,1.033717183961211
44,122,60972,59271,1.0286986890722276
45,122,48555,47020,1.0326456826882178
46,122,47434,46053,1.0299871886739191
47,122,48307,46803,1.032134692220584
48,122,51039,49550,1.030050454086781
49,122,54702,53045,1.0312376284286926
50,122,61372,59479,1.031826358882967
51,122,58946,57163,1.0311915049944895
52,122,50328,48793,1.0314594306560367
53,122,47166,45704,1.031988447400665
54,122,51837,50155,1.033536038281328
55,122,50918,49350,1.03177304964539
56,122,53406,51805,1.0309043528616928
57,122,61154,59230,1.0324835387472564
58,122,58968,57157,1.0316846580471333
59,122,48497,47084,1.030010194545918
60,122,47793,46384,1.0303768540876164
61,122,48222,46807,1.0302305210759075
62,122,49362,47848,1.031641865908711
63,122,54488,52797,1.0320283349432733
64,122,62223,60196,1.0336733337763306
65,122,56192,54472,1.0315758554853869
66,122,46829,45494,1.0293445289488723
67,122,45220,43860,1.0310077519379846
68,122,47413,45990,1.0309415090237009
69,122,46160,44819,1.0299203462817108
70,122,52351,50795,1.0306329363126292
71,122,59163,57348,1.031648880518937
72,122,54761,53218,1.0289939494156113
73,122,47238,45892,1.0293297306720126
74,122,45890,44510,1.031004268703662
75,122,49025,47618,1.029547650048301
76,122,50399,49079,1.0268954135169828
77,122,55119,53614,1.0280710262244936
78,122,57430,55757,1.030005201140664
79,122,55509,53897,1.0299089003098503
80,122,50013,48605,1.0289682131467957
81,122,45210,43907,1.0296763614002322
82,122,47872,46469,1.0301921711248359
83,122,48574,47140,1.0304200254560882
84,122,50553,49172,1.0280850890750834
85,122,57293,55581,1.0308018927331282
86,122,51950,50490,1.0289166171519113
87,122,45651,44382,1.0285926727051506
88,122,42480,41300,1.0285714285714285
89,122,45579,44246,1.030127017131492
90,122,45087,43800,1.0293835616438356
91,122,49061,47671,1.0291581884164376
92,122,52608,51073,1.03005501928612
93,122,50582,49053,1.0311703667461725
94,122,42813,41498,1.0316882741336932
95,122,40577,39457,1.028385330866513
96,122,42483,41242,1.030090684253916
97,122,43336,42168,1.027698728893948
98,122,48682,47412,1.026786467560955
99,122,51590,49973,1.0323574730354392
100,122,49218,47822,1.0291915854627578
101,122,42131,40906,1.0299467070845352
102,122,37799,36783,1.0276214555637115
103,122,39929,38738,1.0307450049047446
104,122,40490,39316,1.0298606165428834
105,122,46275,44869,1.0313356660500568
106,122,50127,48649,1.03038089169356
107,122,46392,45002,1.0308875161103952
108,122,39580,38385,1.0311319525856455
109,122,38320,37175,1.0308002689979825
110,122,39296,38162,1.0297154237199309
111,122,40325,39157,1.0298286385576014
112,122,46021,44700,1.0295525727069352
113,122,49392,47864,1.031923784054822
114,122,44542,43310,1.0284460863541907
115,122,38522,37484,1.0276918151744745
116,122,37927,36923,1.0271917233160903
117,122,41777,40582,1.0294465526588144
118,122,42007,40824,1.0289780521262002
119,122,43815,42576,1.0291009019165727
120,122,51686,50120,1.031245011971269
