years_back,region,n_markets,w_equal,w_reviews,w_median,n_cur,n_prior,regions_weight_covered
0,APAC,16,0.22280030287734987,0.2753836010549029,0.21697430214748992,212785.0,166840.0,
0,EMEA,57,0.20793628082200152,0.19370217657625743,0.2004234872546624,1374862.0,1151763.0,
0,LatAm,7,0.5027859139135755,0.5571314178689215,0.5203657522859517,344193.0,221043.0,
0,NAM,42,0.2717258575707264,0.2958986731001205,0.23879309492436762,537150.0,414500.0,
1,APAC,16,0.26782738208895673,0.23298402234802018,0.23561115311782777,166840.0,135314.0,
1,EMEA,57,0.22533279124147257,0.1873355737907716,0.1919853539462979,1151763.0,970040.0,
1,LatAm,7,0.4178384209197802,0.4530353327855383,0.42277618364418945,221043.0,152125.0,
1,NAM,42,0.19970509428191807,0.19313880421297447,0.16270023639953313,414500.0,347403.0,
2,APAC,16,0.2578052067621203,0.19197329128531293,0.27872665082108794,135314.0,113521.0,
2,EMEA,57,0.2150883565665021,0.19207023339035367,0.2009444814433614,970040.0,813744.0,
2,LatAm,7,0.48428329810421983,0.4467565074323103,0.42184368737474953,152125.0,105149.0,
2,NAM,42,0.2261170189523069,0.18913766015054057,0.22351245701080025,347403.0,292147.0,
3,APAC,16,0.7040290860599179,0.31035159406237733,0.15878618579833792,113521.0,86634.0,
3,EMEA,57,0.27741661478285,0.24782864713675834,0.2576151560178306,813744.0,652128.0,
3,LatAm,7,0.5684795406886584,0.6046912675884382,0.6422740524781341,105149.0,65526.0,
3,NAM,42,0.266426077841334,0.21766476050749395,0.2392060668146705,292147.0,239924.0,
4,APAC,16,2.0405615852576164,0.6820502863799631,0.8453712474497231,86634.0,51505.0,
4,EMEA,57,0.8128725772078381,0.7314036750591402,0.7086438152011922,652128.0,376647.0,
4,LatAm,7,1.5031252030457039,1.1498736835198007,0.9684341195247383,65526.0,30479.0,
4,NAM,42,0.4748798426397404,0.3701487082257806,0.3947748244590201,239924.0,175108.0,
0,GLOBAL,122,0.24876360875620673,0.26346240250216724,0.21866775593758503,2468990.0,1954146.0,
1,GLOBAL,122,0.23312860754480544,0.21762596876281237,0.1901640389337923,1954146.0,1604882.0,
2,GLOBAL,122,0.239932930452549,0.21163313731870415,0.2140344057991792,1604882.0,1324561.0,
3,GLOBAL,122,0.34628249568637515,0.26847900617882203,0.2504947729086968,1324561.0,1044212.0,
4,GLOBAL,122,0.8971274760422758,0.6477003940107837,0.5931495911542558,1044212.0,633739.0,
0,GLOBAL_NW,122,0.28052250385505717,,,,,100.1
1,GLOBAL_NW,122,0.257733095084733,,,,,100.1
2,GLOBAL_NW,122,0.27159303045710675,,,,,100.1
3,GLOBAL_NW,122,0.378778528618784,,,,,100.1
4,GLOBAL_NW,122,0.9916028710463287,,,,,100.1
