feature,lag,target,window,wf_n,wf_ratio_vs_naive,jk_min,jk_max,jk_max_above_1
GLOBAL|yoy_cohort|w_equal,0,nights_yoy,2023Q1+,10,0.6003041086648206,0.36678590147119494,0.7819763407863395,False
GLOBAL_NW|yoy_cohort|w_equal,0,nights_yoy,2023Q1+,10,0.6495071960957371,0.4596776541184051,0.8356092923949879,False
GLOBAL|yoy_mature|w_equal,0,nights_yoy,2023Q1+,10,0.6534636149195953,0.5146712048675185,0.8578953441456858,False
NAM|yoy_all|w_reviews,0,gbv_yoy,2022Q1+,14,0.6579599839355171,0.5866131099319337,0.7326656147503287,False
EMEA|yoy_cohort|w_reviews,0,nights_yoy,2023Q1+,10,0.6603525089769399,0.5909429218075839,0.8236123981927962,False
EMEA|yoy_all|w_median,0,nights_yoy,2023Q1+,10,0.6623586206336237,0.5677970249092968,0.862365929886188,False
APAC|yoy_cohort|w_equal,0,nights_yoy,2023Q1+,10,0.6700438463176029,0.5556880660109608,0.8425670279005675,False
GLOBAL|yoy_cohort|w_reviews,0,nights_yoy,2023Q1+,10,0.6756649388926608,0.5806743024677523,0.8506078094182806,False
APAC|yoy_mature|w_equal,0,nights_yoy,2023Q1+,10,0.6770866989786767,0.6051228302227857,0.8352218388496022,False
EMEA|yoy_all|w_reviews,0,nights_yoy,2023Q1+,10,0.6816140486535616,0.6347373065529056,0.8389602918986313,False
GLOBAL|yoy_vmatch|w_reviews,0,nights_yoy,2023Q1+,10,0.6822250070802499,0.5942186795438623,0.8806488364292127,False
EMEA|yoy_cohort|w_equal,0,nights_yoy,2023Q1+,10,0.6823643820579292,0.589163423172893,0.8723093381840374,False
GLOBAL|yoy_all|w_reviews,0,nights_yoy,2023Q1+,10,0.6832091877073888,0.6275595006521044,0.8598113144039213,False
GLOBAL|yoy_all|w_equal,0,nights_yoy,2023Q1+,10,0.6855105748634918,0.33815016155688865,0.8985439112871644,False
APAC|yoy_cohort|w_reviews,0,nights_yoy,2023Q1+,10,0.6856309290669486,0.5994960315538249,0.8707260071427045,False
NAM|yoy_mature|w_equal,0,gbv_yoy,2023Q1+,10,0.6860594619521294,0.4286966370823881,0.8542560973227253,False
GLOBAL|yoy_vmatch|w_median,0,nights_yoy,2023Q1+,10,0.6865416095696123,0.5143392130650032,0.8980027233001618,False
GLOBAL|yoy_all|w_median,0,nights_yoy,2023Q1+,10,0.7021955474899747,0.5615766395394629,0.907892216717961,False
GLOBAL|yoy_cohort|w_median,0,nights_yoy,2023Q1+,10,0.7045649209643532,0.5431977219291029,0.9166895189154637,False
APAC|yoy_all|w_reviews,0,nights_yoy,2023Q1+,10,0.7067672659165064,0.6315038498963347,0.9257028713452894,False
GLOBAL_NW|yoy_vmatch|w_equal,0,nights_yoy,2022Q1+,14,0.7078855417337153,0.6755114853168543,0.836027207738878,False
NAM|yoy_vmatch|w_reviews,1,nights_yoy,2023Q1+,10,0.7084105956320289,0.6625399774073619,0.782159687209234,False
NAM|yoy_vmatch|w_reviews,0,gbv_yoy,2022Q1+,14,0.7086325721915984,0.6306082551545878,0.792585316265402,False
GLOBAL|yoy_vmatch|w_reviews,0,bkng_room_nights_yoy,2022Q1+,14,0.7096966975866003,0.6739530202135567,1.0983914927887226,True
NAM|yoy_vmatch|w_reviews,0,nights_yoy,2022Q1+,14,0.7137478218302012,0.628832129158184,0.9581410446855961,False
EMEA|yoy_all|w_equal,0,nights_yoy,2023Q1+,10,0.7149724917695469,0.5912690234692691,0.9168456472161411,False
EMEA|yoy_vmatch|w_reviews,0,nights_yoy,2023Q1+,10,0.7182939935312384,0.6538125653585858,0.9122071714400329,False
APAC|yoy_all|w_equal,0,nights_yoy,2023Q1+,10,0.7237412519958253,0.5549994903988232,0.9330780955883988,False
GLOBAL_NW|yoy_all|w_equal,0,nights_yoy,2023Q1+,10,0.7249495895554691,0.3887844444571379,0.9470231920221787,False
NAM|yoy_vmatch|w_reviews,0,revenue_yoy,2022Q1+,14,0.7262032905588689,0.5911946951084772,0.8100997440877835,False
EMEA|yoy_vmatch|w_median,0,nights_yoy,2023Q1+,10,0.7274833359563162,0.6041368707503004,0.9383478940100157,False
