print_quarter,print_date,target_period,guide_type,value_low,value_high,value_mid,direction,actual,outcome,distance_from_mid,quote,direction_family,november
4Q20,2021-02-25,1Q21,qualitative,,,,seasonal_low,-6.7,qualitative,,We anticipate our Adjusted EBITDA margin to also be at its lowest during Q1,qualitative,False
2Q21,2021-08-12,3Q21,directional,,,,above,49.2,met,11.9,to deliver the highest Adjusted EBITDA dollars and margin ever,up,False
3Q21,2021-11-04,4Q21,directional,,,,above,24.1,met,12.2,we expect to deliver greater year-over-year and year-over-two year margin expansion in Q4 2021 than we delivered in Q3 2021,up,True
1Q22,2022-05-03,2Q22,floor,10.0,,,,17.5,met,7.5,driving a low double-digit EBITDA margin percentage improvement on a year-over-year basis,up,False
2Q22,2022-08-02,3Q22,ceiling,,49.0,,,50.5,not_met,1.5,We expect Q3 2022 Adjusted EBITDA margin to be at or slightly below last year's all-time high margin of 49%,flat_to_down,False
3Q22,2022-11-01,4Q22,floor,22.0,,,,26.6,met,4.6,expect quarterly Adjusted EBITDA margin to be in-line to modestly higher than last year's margin of 22%,flat_to_up,True
4Q22,2023-02-14,1Q23,ceiling,,0.0,,,-0.8,met,-0.8,"In Q1 2023, we expect Adjusted EBITDA margin to be slightly down on a year-over-year basis",down,False
1Q23,2023-05-09,2Q23,ceiling,,0.0,,,-0.8,met,-0.8,"we expect Adjusted EBITDA to be similar to Adjusted EBITDA in Q2 2022 on a nominal basis, but lower on a margin basis",down,False
2Q23,2023-08-03,3Q23,floor,0.0,,,,3.5,met,3.5,We expect a record-high Adjusted EBITDA in Q3 2023 on a nominal basis and an Adjusted EBITDA margin that exceeds Q3 2022,up,False
3Q23,2023-11-01,4Q23,floor,0.0,,,,6.7,met,6.7,we expect a record-high fourth quarter Adjusted EBITDA in 2023 on a nominal basis and an Adjusted EBITDA margin that exceeds Q4 2022,up,True
4Q23,2024-02-13,1Q24,floor,0.0,,,,5.4,met,5.4,We expect Adjusted EBITDA Margin in Q1 2024 to expand relative to Q1 2023,up,False
1Q24,2024-05-08,2Q24,ceiling,,0.0,,,-0.5,met,-0.5,"we expect Adjusted EBITDA to be flat to up on a nominal basis, but down on an Adjusted EBITDA Margin basis, relative to Q2 2023",down,False
2Q24,2024-08-06,3Q24,ceiling,,0.0,,,-1.5,met,-1.5,"we expect Adjusted EBITDA to approximate Q3 2023 on a nominal basis, but for Adjusted EBITDA Margin to decline relative to Q3 2023",down,False
3Q24,2024-11-07,4Q24,ceiling,,0.0,,,-2.5,met,-2.5,Q4 2024 Adjusted EBITDA Margin is expected to decline relative to the same time period last year,down,True
4Q24,2025-02-13,1Q25,ceiling,,0.0,,,-1.4,met,-1.4,"In Q1 2025, we expect Adjusted EBITDA and Adjusted EBITDA Margin to decline compared to Q1 2024",down,False
1Q25,2025-05-01,2Q25,ceiling,,0.0,,,1.2,not_met,1.2,"we expect Adjusted EBITDA to increase on a year-over- year basis, but for Adjusted EBITDA Margin to be flat to down slightly compared to Q2 2024",flat_to_down,False
2Q25,2025-08-06,3Q25,ceiling,,0.0,,,-2.4,met,-2.4,we anticipate that Adjusted EBITDA Margin during Q3 2025 will be lower than in Q3 2024,down,False
2Q25,2025-08-06,4Q25,ceiling,,0.0,,,-2.5,met,-2.5,We expect a similar year-over-year decline in Q4 2025 Adjusted EBITDA Margin due to growth investments and a tougher year-over-year top-line compariso,down,False
3Q25,2025-11-06,4Q25,ceiling,,0.0,,,-2.5,met,-2.5,We expect Adjusted EBITDA in Q4 2025 to be flat- to-down slightly on a year-over-year basis and for Adjusted EBITDA Margin to decline over the same ti,flat_to_down,True
4Q25,2026-02-12,1Q26,point,,,0.0,,1.0,beat,1.0,We expect Adjusted EBITDA Margin to be approximately flat year-over-year,approx_flat,False
1Q26,2026-05-07,2Q26,floor,0.0,,,,1.3,met,1.3,We expect Adjusted EBITDA and Adjusted EBITDA Margin to be up year-over-year in Q2 2026,up,False
2Q26,2026-08-06,3Q26,ceiling,,0.0,,,,pending,,"We expect Adjusted EBITDA to increase year-over-year and Adjusted EBITDA Margin to be down slightly compared to Q3 2025, due to timing of investments",down,False
