artifact,bytes,sha256,role
assess_data_paths.py,4161,5396e726f857f0c49bced7c123bc040b73f117472d2872666e2646bce63cb966,audit_or_analysis
audit_corrections.csv,532,653a29fc2ce782ae22bcd2d95d4a6bf1d8ca135418dfb79e3f37d0e1b827d9de,audit_or_analysis
build_adr_pilot.py,19673,d101be0bc311ff99c207b75177c2b00ddb75f557fbb2edcc493526841cec8de4,audit_or_analysis
collection_summary.json,660,a534b8be26ab5bc0b1c9dd70ea9cfb79d5d199f1a7520e23778c8155779b2386,audit_or_analysis
data_path_gate_results.csv,1801,dfe10c21e1143dd37081949912530585afb450b85031e5593fa9da630ca366c3,audit_or_analysis
data_request_manifest.csv,1523,4ae731d803f9cfa8354e1a9d8abc85f6b3f67663bba18ad522786ab738b55b66,audit_or_analysis
data_request_results.csv,1043,7aa61c64f45dd8c23d851cb7859bb2144c066cec3a861ea79a18d32308320576,audit_or_analysis
descriptive_metrics.csv,1416,7e1590d0be13c89d197a06953888e69acc7065372761f9c7328a6a2f4501ca1e,audit_or_analysis
event_aligned_panel.csv,10760,37c9337da9e48246ac67dd19b4fd1d988ced606cbd22847169f736f7029874c1,audit_or_analysis
guidance_targets_snapshot.csv,7745,5b52b51016535d77d942b179fc9a121fbaf613c6a7f4610ba37d6b4195dbf698,audit_or_analysis
memo.md,3258,c6808768994cdef64106d4b35df10ca1d2b2f61a408a3a2cba76274d26ca8176,audit_or_analysis
observations_long.csv,238,18e585ad0ae46c6c5c353a151649deb31b0eb1a7b322ee6631fc0971cc9ecdf1,audit_or_analysis
permission_collection_method.md,810,cbbb60d2e042d469505565b1d5f2eec845346df7066ae93b66d8316f20c66e38,audit_or_analysis
permission_request_manifest.csv,2888,fbcdd2f2f2fd60ad94dfa37f063b35b4bd9e1a87d4294c76302cf9e923474072,audit_or_analysis
permission_request_results.csv,3351,1af35b4547183ef3ce137da9581b132dd5bfa7ecb2f0379c90c593a271a20ae8,audit_or_analysis
permission_terms_audit.csv,1655,98fd70e5988eff4de638b8c8858e6a73128a70808347fe2c35c3ab434e03a9ac,audit_or_analysis
raw_file_manifest.csv,2208,5b7cafcd053bc1fe60b97db8ca45f467118b9cb0024c53dde33b47a65dedbc83,audit_or_analysis
request.json,996,0ede4b0f1f414d78edf6d4b78d382277a4b3b8de0ef5b4bb2f85fa5aec2a3197,audit_or_analysis
run_plan.md,2074,29b2f86f812f876fa80d20813eca300c73776eded4cc3f63d1d48d894686f9fd,audit_or_analysis
usability_score.csv,1549,436f28ed5859cb193c12d09fb7d9bd546581992cbdb8ee193662ed078253425a,audit_or_analysis
validation.json,669,a2df017ea2b7e3fca669cb56018c3c90d72e4b03718af688d982d349368d482f,audit_or_analysis
raw/permission/ADR-PR-001.body,960,95860629969d02d112c0cdd09a102f0956f62686a62577ad2f733320587e20ce,raw_permission_cache
raw/permission/ADR-PR-002.body,48943,197994aaee19b6e7c392720cd32ce4739b7ffc44a126f568d876d02a9154639f,raw_permission_cache
raw/permission/ADR-PR-003.body,65927,1d5f336b7bc9a3d5c884ca8b125937a6ca95896e81723bcf6d4c19d8ef777dc8,raw_permission_cache
raw/permission/ADR-PR-004.body,716,404b37f2b2de03763340f94233d15bf20fbd2e2da04df7b6c7ee079f1ac12f58,raw_permission_cache
raw/permission/ADR-PR-006.body,75413,15a2e3c8970ef57e479cfde17c15ba83db05729c03e095c7f241c9c43c3a4551,raw_permission_cache
raw/permission/ADR-PR-007.body,117018,b1f7e69fa343c613d4fbbe6154ea5a7542a43d3eb4a77dc9774d8116fe5c0e90,raw_permission_cache
raw/permission/ADR-PR-008.body,28934,43b50998ef03c0a52f423b3572180a5fb8e5ddcb573698a7f20c4646198679cd,raw_permission_cache
raw/permission/ADR-PR-009.body,26,331ea9090db0c9f6f597bd9840fd5b171830f6e0b3ba1cb24dfa91f0c95aedc1,raw_permission_cache
checksums.sha256,2639,caf31be9b6d749e25180f810e9ca21455d6b708f9d670e78ba088892adcdb60c,checksum_manifest
