event_index,prediction_id,issuing_fiscal_period,guided_fiscal_period,guidance_available_at_utc,target_metric,target_type,target_low,target_high,target_midpoint,target_unit,currency,target_source_id,target_citation,target_confidence,notes,prior_year_comparable_guided_fiscal_period,prior_year_comparable_midpoint,guidance_yoy_pct,prior_event_guidance_yoy_pct,guidance_yoy_acceleration_pp,guidance_yoy_direction,guidance_acceleration_direction
1,ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,revenue_guidance,qualitative,,,,USD_millions,USD,AIRBNB_PR,https://news.airbnb.com/airbnb-q4-2020-financial-results/,medium,Qualitative only; no numeric midpoint manufactured; earliest observed public release timestamp needs continued source preservation.,2020Q1,,,,,,
2,ABNB-2021Q1-GUIDE,2021Q1,2021Q2,2021-05-13T20:00:42Z,revenue_guidance,qualitative,,,,USD_millions,USD,SEC_8K,https://www.sec.gov/Archives/edgar/data/1559720/,medium,Qualitative only; no numeric midpoint manufactured.,2020Q2,,,,,,
3,ABNB-2021Q2-GUIDE,2021Q2,2021Q3,2021-08-12T20:01:10Z,revenue_guidance,qualitative,,,,USD_millions,USD,SEC_8K,https://www.sec.gov/Archives/edgar/data/1559720/,medium,Qualitative only; no numeric midpoint manufactured.,2020Q3,,,,,,
4,ABNB-2021Q3-GUIDE,2021Q3,2021Q4,2021-11-04T20:01:21Z,revenue_guidance,numeric_range,1390,1480,1435,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312521320113/d245727dex991.htm,high,Numeric shareholder-letter range; transcript is contextual target evidence only.,2020Q4,,,,,,
5,ABNB-2021Q4-GUIDE,2021Q4,2022Q1,2022-02-15T21:02:10Z,revenue_guidance,numeric_range,1410,1480,1445,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312522043371/d251410dex991.htm,high,Numeric shareholder-letter range.,2021Q1,,,,,,
6,ABNB-2022Q1-GUIDE,2022Q1,2022Q2,2022-05-03T20:00:59Z,revenue_guidance,numeric_range,2030,2130,2080,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312522138654/d711122dex991.htm,high,Numeric shareholder-letter range.,2021Q2,,,,,,
7,ABNB-2022Q2-GUIDE,2022Q2,2022Q3,2022-08-02T20:01:20Z,revenue_guidance,numeric_range,2780,2880,2830,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312522210001/d353427dex991.htm,high,Numeric shareholder-letter range.,2021Q3,,,,,,
8,ABNB-2022Q3-GUIDE,2022Q3,2022Q4,2022-11-01T20:04:23Z,revenue_guidance,numeric_range,1800,1880,1840,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312522274904/d408297dex991.htm,high,Transcript turn supports call discussion; SEC exhibit controls numeric target.,2021Q4,1435,28.22299652,,,positive,
9,ABNB-2022Q4-GUIDE,2022Q4,2023Q1,2023-02-14T21:02:02Z,revenue_guidance,numeric_range,1750,1820,1785,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312523039008/d451233dex991.htm,high,Numeric shareholder-letter range.,2022Q1,1445,23.52941176,28.22299652,-4.69358475,positive,negative
10,ABNB-2023Q1-GUIDE,2023Q1,2023Q2,2023-05-09T20:01:26Z,revenue_guidance,numeric_range,2350,2450,2400,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312523139392/d453262dex991.htm,high,Numeric shareholder-letter range.,2022Q2,2080,15.38461538,23.52941176,-8.14479638,positive,negative
11,ABNB-2023Q2-GUIDE,2023Q2,2023Q3,2023-08-03T20:01:02Z,revenue_guidance,numeric_range,3300,3400,3350,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312523202832/d446942dex991.htm,high,Numeric shareholder-letter range.,2022Q3,2830,18.3745583,15.38461538,2.98994292,positive,positive
12,ABNB-2023Q3-GUIDE,2023Q3,2023Q4,2023-11-01T20:01:04Z,revenue_guidance,numeric_range,2130,2170,2150,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312523268164/d481318dex991.htm,high,Spoken range and SEC exhibit agree.,2022Q4,1840,16.84782609,18.3745583,-1.52673222,positive,negative
13,ABNB-2023Q4-GUIDE,2023Q4,2024Q1,2024-02-13T21:09:06Z,revenue_guidance,numeric_range,2030,2070,2050,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312524033706/d646462dex991.htm,high,SEC range controls; transcript turn contains a material growth-rate discrepancy ('70%' versus official 17%) and must not be used for that percentage.,2023Q1,1785,14.84593838,16.84782609,-2.00188771,positive,negative
14,ABNB-2024Q1-GUIDE,2024Q1,2024Q2,2024-05-08T20:01:08Z,revenue_guidance,numeric_range,2680,2740,2710,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312524134183/d813800dex991.htm,high,Dollar range appears in SEC shareholder letter; transcript contextual only.,2023Q2,2400,12.91666667,14.84593838,-1.92927171,positive,negative
15,ABNB-2024Q2-GUIDE,2024Q2,2024Q3,2024-08-06T20:00:57Z,revenue_guidance,numeric_range,3670,3730,3700,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312524194849/d831385dex991.htm,high,Dollar range appears in SEC shareholder letter; transcript contextual only.,2023Q3,3350,10.44776119,12.91666667,-2.46890547,positive,negative
16,ABNB-2024Q3-GUIDE,2024Q3,2024Q4,2024-11-07T21:00:59Z,revenue_guidance,numeric_range,2390,2440,2415,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312524253103/d886752dex991.htm,high,Dollar range appears in SEC shareholder letter; transcript contextual only.,2023Q4,2150,12.3255814,10.44776119,1.8778202,positive,positive
17,ABNB-2024Q4-GUIDE,2024Q4,2025Q1,2025-02-13T21:02:39Z,revenue_guidance,numeric_range,2230,2270,2250,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312525026054/d915198dex991.htm,high,Spoken range and SEC exhibit agree.,2024Q1,2050,9.75609756,12.3255814,-2.56948383,positive,negative
18,ABNB-2025Q1-GUIDE,2025Q1,2025Q2,2025-05-01T20:01:26Z,revenue_guidance,numeric_range,2990,3050,3020,USD_millions,USD,SEC_8K,https://www.sec.gov/Archives/edgar/data/1559720/000119312525109934/d40594d8k.htm,high,Spoken range retained with SEC filing acceptance cutoff.,2024Q2,2710,11.43911439,9.75609756,1.68301683,positive,positive
19,ABNB-2025Q2-GUIDE,2025Q2,2025Q3,2025-08-06T20:01:48Z,revenue_guidance,numeric_range,4020,4100,4060,USD_millions,USD,SEC_8K,https://www.sec.gov/Archives/edgar/data/1559720/000119312525174438/d17531d8k.htm,high,Spoken range retained with SEC filing acceptance cutoff.,2024Q3,3700,9.72972973,11.43911439,-1.70938466,positive,negative
20,ABNB-2025Q3-GUIDE,2025Q3,2025Q4,2025-11-06T21:00:50Z,revenue_guidance,numeric_range,2660,2720,2690,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312525269432/d40503dex991.htm,high,Spoken range and SEC exhibit agree.,2024Q4,2415,11.38716356,9.72972973,1.65743383,positive,positive
21,ABNB-2025Q4-GUIDE,2025Q4,2026Q1,2026-02-12T21:01:56Z,revenue_guidance,numeric_range,2590,2630,2610,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312526048670/d58192dex991.htm,high,Spoken range and SEC exhibit agree.,2025Q1,2250,16,11.38716356,4.61283644,positive,positive
22,ABNB-2026Q1-GUIDE,2026Q1,2026Q2,2026-05-07T20:00:27Z,revenue_guidance,numeric_range,3540,3600,3570,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312526211816/d23351dex991.htm,high,Spoken range and SEC exhibit agree.,2025Q2,3020,18.21192053,16,2.21192053,positive,positive
23,ABNB-2026Q2-GUIDE,2026Q2,2026Q3,2026-08-06T20:02:53Z,revenue_guidance,numeric_range,4690,4770,4730,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312526337928/d70413dex991.htm,high,Spoken range and SEC exhibit agree.,2025Q3,4060,16.50246305,18.21192053,-1.70945748,positive,negative
