id,metric,scenario,period,value,units,as_of,status,evidence_status,source,definition,url,register_id
R:review_with_k:2026Q3:revenue_musd,revenue_musd,review_with_k,2026Q3,4808.36292949392,USD millions,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_with_k:2026Q3:guide_musd,guide_musd,review_with_k,2026Q3,4723.78400064566,USD millions,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_with_k:2026Q3:lambda_pct,lambda_pct,review_with_k,2026Q3,17.2548908953131,%,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_with_k:2026Q3:cushion_decimal,cushion_decimal,review_with_k,2026Q3,0.0179049103084943,decimal,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_with_k:2026Q4:revenue_musd,revenue_musd,review_with_k,2026Q4,3179.3436542864,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_with_k:2026Q4:guide_musd,guide_musd,review_with_k,2026Q4,3123.41911517339,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_with_k:2026Q4:lambda_pct,lambda_pct,review_with_k,2026Q4,12.0403669384706,%,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_with_k:2026Q4:cushion_decimal,cushion_decimal,review_with_k,2026Q4,0.0179049103084943,decimal,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_with_k:2027Q1:revenue_musd,revenue_musd,review_with_k,2027Q1,3055.68058044242,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_with_k:2027Q1:guide_musd,guide_musd,review_with_k,2027Q1,3001.93127029552,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_with_k:2027Q1:lambda_pct,lambda_pct,review_with_k,2027Q1,12.7275463631112,%,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
