scenario,quarter,ops_variable_committed,ops_variable_hat,ops_fixed_committed,ops_fixed_hat,ops_cash_committed,ops_cash_hat,d_ops_cash,revenue,ops_pct_rev_committed
base,3Q26,70.64768671083176,70.64768671083176,290.79540000000003,290.79540000000003,361.4430867108318,361.4430867108318,0.0,4804.0355,7.523738879757066
base,4Q26,61.40369448714308,61.40369448714308,256.88340000000005,256.88340000000005,318.2870944871431,318.2870944871431,0.0,3178.1078,10.014987360942982
base,1Q27,63.898291106834186,63.898291106834186,255.1878,255.1878,319.0860911068342,319.0860911068342,0.0,3053.1293,10.45111620745424
base,2Q27,67.12884359815406,67.12884359815406,273.8394,273.8394,340.96824359815406,340.96824359815406,0.0,4028.9807,8.462890963914372
base,3Q27,75.32764662327298,75.32764662327298,306.4314489134432,306.4314489134432,381.7590955367162,381.7590955367162,0.0,5280.7325,7.229282974222159
base,4Q27,66.21868266005698,66.21868266005698,269.84379870619995,269.84379870619995,336.0624813662569,336.0624813662569,0.0,3465.7641,9.69663461417518
cost_bull,3Q26,84.59382281113116,84.59382281113116,265.4134,265.4134,350.0072228111312,350.0072228111312,0.0,4804.0355,7.285691848262388
cost_bull,4Q26,73.52502952651963,73.52502952651963,234.4614,234.4614,307.9864295265196,307.9864295265196,0.0,3178.1078,9.690874221652257
cost_bull,1Q27,76.67794932820102,76.67794932820102,232.9138,232.9138,309.59174932820105,309.59174932820105,0.0,3053.1293,10.140145369152922
cost_bull,2Q27,80.55461231778489,80.55461231778489,249.9374,249.9374,330.4920123177849,330.4920123177849,0.0,4028.9807,8.202869085915076
cost_bull,3Q27,87.53318471940753,87.53318471940753,270.8355890112533,270.8355890112533,358.36877373066085,358.36877373066085,0.0,5280.7325,6.786345904297574
cost_bull,4Q27,76.89079196861154,76.89079196861154,238.3198991676209,238.3198991676209,315.2106911362324,315.2106911362324,0.0,3465.7641,9.09498402202944
short_costs_at_budget,3Q26,69.75408223287673,69.75408223287673,290.79540000000003,290.79540000000003,374.9714615221918,374.9714615221918,0.0,4680.899996629618,8.010670208553526
short_costs_at_budget,4Q26,59.63176972602741,59.63176972602741,256.88340000000005,256.88340000000005,329.17577651506855,329.17577651506855,0.0,2965.8676775559734,11.098801844940237
short_costs_at_budget,1Q27,61.41453500000001,61.41453500000001,255.1878,255.1878,329.26642840000005,329.26642840000005,0.0,2835.534611159138,11.61214633403467
short_costs_at_budget,2Q27,64.63593375,64.63593375,273.8394,273.8394,352.0143471,352.0143471,0.0,3762.971581763706,9.354690553762056
short_costs_at_budget,3Q27,75.77165501560657,75.77165501560657,317.9008050785143,317.9008050785143,409.41935849788575,409.41935849788575,0.0,4988.174247627799,8.207799851671005
short_costs_at_budget,4Q27,67.163379561252,67.163379561252,279.0752233294752,279.0752233294752,360.0881470063563,360.0881470063563,0.0,3326.831082952,10.823758045654634
