reference_class,n,below,raw,laplace,mean_gap_pct,sd_gap_pp
"PIT-usable, all vendors, 1Q22-3Q26 targets",18,7,0.389,0.4,2.14,4.33
"PIT-usable, LSEG era (guides given Nov 2023 on)",11,5,0.455,0.462,0.49,1.85
"PIT-usable, LSEG/Refinitiv vendor only",15,7,0.467,0.471,0.91,2.29
"PIT-usable, November (Q4) guides",4,3,0.75,0.667,-0.34,0.88
"PIT-usable, next-quarter nights guided lower / decelerating",8,4,0.5,0.5,0.58,1.78
"PIT-usable, next-quarter nights guided higher",4,1,0.25,0.333,5.74,7.41
"PIT-usable, last four guides (Nov 2025 - Aug 2026)",4,0,0.0,0.167,2.42,1.15
"PIT-usable, May 2024 - Aug 2025 run",4,4,1.0,0.833,-1.03,0.84
"PIT-usable, W1 targets 2023Q1-2026Q2",13,6,0.462,0.467,0.9,2.38
"PIT-usable, W2 targets 2024Q1-2026Q2",9,4,0.444,0.455,0.47,1.81
