,value
p_yes,0.7975925
p_below_given,0.8016488431463203
p_surprise,0.565415
p_none,0.00506
p_growth_only,0.010195
p_below_3200,0.9021147003839427
p_below_3100,0.5476862926407623
p_below_3050,0.31596377671015335
guide_mean,3088.323034630229
guide_sd,83.9273243073359
print_mean,3162.1549145420604
print_sd,80.16107864642872
gbv3_mean,25884.276075763446
gbv3_sd,535.9511310167417
nights_mean,146.2863124219539
street_mean,3160.9999748020005
street_sd,18.981501657427888
eps_mean,-0.005261559961093169
eps_sd_real,0.020913252999468567
q05,2950.0
q10,2980.0
q25,3030.0
q50,3085.0
q75,3145.0
q90,3195.0
q95,3230.0
p_guide_below_2900,0.010390073773292862
p_guide_above_3400,0.00013066114539570225
