print_date,target_end,early_date,early,early_n,late_date,late,late_n,drift_pct
2021-11-04,2021-12-31,2021-09-12,1440.0,9.0,2021-10-31,1430.0,10.0,-0.694444444444442
2022-02-15,2022-03-31,2021-12-26,1290.0,5.0,2022-02-13,1270.0,7.0,-1.5503875968992276
2022-05-03,2022-06-30,2022-03-13,1990.0,10.0,2022-05-01,1980.0,11.0,-0.5025125628140725
2022-08-02,2022-09-30,2022-06-12,2790.0,11.0,2022-07-31,2760.0,11.0,-1.0752688172043001
2022-11-01,2022-12-31,2022-09-11,1890.0,10.0,2022-10-30,1900.0,10.0,0.5291005291005346
2023-02-14,2023-03-31,2022-12-25,1680.0,9.0,2023-02-12,1680.0,8.0,0.0
2023-05-09,2023-06-30,2023-03-19,2430.0,10.0,2023-05-07,2430.0,10.0,0.0
2023-08-03,2023-09-30,2023-06-11,3170.0,11.0,2023-07-30,3180.0,10.0,0.3154574132492094
2023-11-01,2023-12-31,2023-09-10,2160.0,10.0,2023-10-29,2170.0,11.0,0.4629629629629539
2024-02-13,2024-03-31,2023-12-24,2040.0,9.0,2024-02-11,2040.0,10.0,0.0
2024-05-08,2024-06-30,2024-03-17,2740.0,10.0,2024-05-05,2760.0,11.0,0.7299270072992803
2024-08-06,2024-09-30,2024-06-16,3850.0,11.0,2024-07-28,3860.0,11.0,0.2597402597402487
2024-11-07,2024-12-31,2024-09-15,2420.0,11.0,2024-11-03,2420.0,12.0,0.0
2025-02-13,2025-03-31,2024-12-22,2310.0,10.0,2025-02-09,2290.0,11.0,-0.8658008658008698
2025-05-01,2025-06-30,2025-03-09,3060.0,12.0,2025-04-27,3030.0,12.0,-0.9803921568627416
2025-08-06,2025-09-30,2025-06-15,4030.0,12.0,2025-08-03,4040.0,12.0,0.2481389578163684
2025-11-06,2025-12-31,2025-09-14,2680.0,12.0,2025-11-02,2670.0,11.0,-0.3731343283582045
2026-02-12,2026-03-31,2025-12-21,2510.0,8.0,2026-02-08,2520.0,9.0,0.3984063745019917
2026-05-07,2026-06-30,2026-03-15,3480.0,10.0,2026-05-03,3480.0,10.0,0.0
2026-08-06,2026-09-30,2026-06-14,4540.0,9.0,2026-08-02,4540.0,10.0,0.0
