,value
p_yes,0.7325320000000001
p_surprise,0.512593125
p_none,0.005103375
comp_A,0.7979925
comp_B,0.674615
comp_C,0.6348525
q05,2945.0
q10,2980.0
q25,3035.0
q50,3100.0
q75,3165.0
q90,3225.0
q95,3265.0
mean,3101.4727335045404
sd,97.2729546673235
p_below_2900,0.01482568512255062
p_above_3400,0.0028947778408776807
p_below_2950,0.051105895597022805
p_above_3275,0.039878580151674295
p_below_3050,0.29053065901426783
p_below_3100,0.4952281396529282
p_below_3161,0.7460058599148653
p_below_3200,0.8442448700616648
