bin_lo,bin_hi,mass
2850,2875,0.004000422155101794
2875,2900,0.007339970549655994
2900,2925,0.013526553053337286
2925,2950,0.022753657421134894
2950,2975,0.03521979706401178
2975,3000,0.05003291804662804
3000,3025,0.06851476789007885
3025,3050,0.08565728041652637
3050,3075,0.0989752687469532
3075,3100,0.10572221189170716
3100,3125,0.10401600168862041
3125,3150,0.09548997632916037
3150,3175,0.08253886088481699
3175,3200,0.06697189150613884
3200,3225,0.050495278396212664
3225,3250,0.03596108132013931
3250,3275,0.025475050130918338
3275,3300,0.01671784459666598
3300,3325,0.010689570256157684
3325,3350,0.006772071424622699
3350,3375,0.003950165595364335
3375,3400,0.0024801612230436376
3400,3425,0.0014348247805044754
3425,3450,0.0008895411073530373
