,value
p_yes,0.6348525
p_below_given,0.6381453299022959
p_surprise,0.434225
p_none,0.00516
p_growth_only,0.0099525
p_below_3200,0.7579585662016003
p_below_3100,0.4167931526677657
p_below_3050,0.2512439186200796
guide_mean,3121.403062678421
guide_sd,109.48825601754
print_mean,3178.968081193806
print_sd,107.11195495845723
gbv3_mean,25885.750536216936
gbv3_sd,688.0763151060769
nights_mean,146.29464541075072
street_mean,3161.0045765609348
street_sd,31.596261880571657
eps_mean,1.5888969800416319e-06
eps_sd_real,0.02855615248921749
q05,2945.0
q10,2980.0
q25,3045.0
q50,3120.0
q75,3195.0
q90,3262.075
q95,3305.0
p_guide_below_2900,0.018967874231032127
p_guide_above_3400,0.005696895983273692
