,value
p_yes,0.674615
p_below_given,0.6781225890920788
p_surprise,0.4657675
p_none,0.0051725
p_growth_only,0.010075
p_below_3200,0.7903807444004112
p_below_3100,0.4506233492741204
p_below_3050,0.275630699794688
guide_mean,3112.2650455480975
guide_sd,109.68360929376202
print_mean,3186.7405490634287
print_sd,107.80383658421054
gbv3_mean,26189.38465806553
gbv3_sd,1041.2654581652134
nights_mean,148.01064920705926
street_mean,3161.038683718933
street_sd,18.96408611665386
eps_mean,-0.0052162485336251395
eps_sd_real,0.02091205933672765
q05,2935.0
q10,2975.0
q25,3040.0
q50,3110.0
q75,3185.0
q90,3250.0
q95,3295.0
p_guide_below_2900,0.023267852969484658
p_guide_above_3400,0.0072349226373416495
