date,act_symbol,period,period_end_date,consensus,recent,count,high,low,year_ago
2021-02-07,ABNB,Current Quarter,2020-12-31,-9.19,-4.17,10,-4.17,-9.76,
2021-02-07,ABNB,Current Year,2020-12-31,-13.20,-5.60,11,-5.60,-13.97,
2021-02-07,ABNB,Next Quarter,2021-03-31,-1.19,-0.56,10,-0.56,-1.27,
2021-02-07,ABNB,Next Year,2021-12-31,-1.85,-0.71,11,-0.71,-1.98,-13.20
2021-02-14,ABNB,Current Quarter,2020-12-31,-9.19,-4.17,10,-4.17,-9.76,
2021-02-14,ABNB,Current Year,2020-12-31,-13.20,-5.60,11,-5.60,-13.97,
2021-02-14,ABNB,Next Quarter,2021-03-31,-1.19,-0.56,10,-0.56,-1.27,
2021-02-14,ABNB,Next Year,2021-12-31,-1.85,-0.71,11,-0.71,-1.98,-13.20
2021-02-21,ABNB,Current Quarter,2020-12-31,-9.18,-4.17,10,-4.17,-9.76,
2021-02-21,ABNB,Current Year,2020-12-31,-13.19,-5.60,11,-5.60,-13.97,
2021-02-21,ABNB,Next Quarter,2021-03-31,-1.19,-0.56,10,-0.56,-1.27,
2021-02-21,ABNB,Next Year,2021-12-31,-1.85,-0.71,11,-0.71,-1.98,-13.19
2021-03-07,ABNB,Current Quarter,2021-03-31,-1.15,-1.24,12,-0.53,-1.38,
2021-03-07,ABNB,Current Year,2021-12-31,-1.75,-0.92,11,-0.92,-1.98,-15.53
2021-03-07,ABNB,Next Quarter,2021-06-30,-0.81,-0.81,11,-0.75,-0.89,
2021-03-07,ABNB,Next Year,2022-12-31,-0.51,0.83,12,0.83,-0.99,-1.75
2021-03-14,ABNB,Current Quarter,2021-03-31,-1.15,-1.24,12,-0.53,-1.38,
2021-03-14,ABNB,Current Year,2021-12-31,-1.75,-0.92,11,-0.92,-1.98,-15.53
2021-03-14,ABNB,Next Quarter,2021-06-30,-0.81,-0.81,11,-0.75,-0.89,
2021-03-14,ABNB,Next Year,2022-12-31,-0.51,0.83,12,0.83,-0.99,-1.75
2021-03-21,ABNB,Current Quarter,2021-03-31,-1.15,-1.24,12,-0.53,-1.38,
2021-03-21,ABNB,Current Year,2021-12-31,-1.75,-0.92,11,-0.92,-1.98,-15.53
2021-03-21,ABNB,Next Quarter,2021-06-30,-0.81,-0.81,11,-0.75,-0.89,
2021-03-21,ABNB,Next Year,2022-12-31,-0.51,0.83,12,0.83,-0.99,-1.75
2021-03-28,ABNB,Current Quarter,2021-03-31,-1.15,-1.24,12,-0.53,-1.38,
2021-03-28,ABNB,Current Year,2021-12-31,-1.75,-0.92,11,-0.92,-1.98,-15.53
2021-03-28,ABNB,Next Quarter,2021-06-30,-0.81,-0.81,11,-0.75,-0.89,
2021-03-28,ABNB,Next Year,2022-12-31,-0.51,0.83,12,0.83,-0.99,-1.75
