rank,source_id,user_approved_for_lawful_review,permission_manifest_rows_linked,permission_request_attempts_linked,provider_http_gets_linked,cached_permission_responses_linked,terms_status,robots_status,authentication_required_or_blocked,captcha_stop,personal_data_transport_blocker,final_data_path_allowed,data_payload_request_count,data_payload_result,strict_pit_eligible_feature_count,frozen_hypothesis,replay_rebuilt,prior_decision,updated_decision,unresolved_blockers
1,NASA_BLACK_MARBLE_VNP46A2,true,6,5,2,2,unclear,unclear,true,false,false,false,0,not_requested,0,,false,WATCH_PROSPECTIVELY,WATCH_PROSPECTIVELY,Earthdata authentication remains separately blocked; robots redirected to login and the policy GET returned 403; no credential or payload access.
2,NOAA_HMS_SMOKE,true,6,5,2,2,unclear,unclear,false,false,false,false,0,not_requested,0,,false,CONTROL_ONLY,CONTROL_ONLY,Robots gave no affirmative exact-path allowance; the shared NOAA policy GET returned 403; original daily-file vintages remain unresolved.
3,WSF_FERRY_RIDERSHIP,true,6,6,3,3,unclear,unclear,false,false,false,false,0,not_requested,0,H-004,false,INCONCLUSIVE,INCONCLUSIVE,WSDOT open-data language supports public access but not automated retrieval; robots does not explicitly allow the paths; exact initial-publication timing remains unverified.
4,NYC_OSE_STR_SNAPSHOTS,true,5,4,3,3,unclear,unclear,false,false,true,false,0,not_requested,0,H-006,false,INCONCLUSIVE,INCONCLUSIVE,"Terms do not authorize automation, robots is silent, the workbook contains unit-level identifiers, and no historical snapshot panel is verified."
5,ORANGE_FL_TDT_RELEASES,true,6,5,4,4,unclear,unclear,false,false,false,false,0,not_requested,0,H-005,false,INCONCLUSIVE,INCONCLUSIVE,No affirmative automation terms or robots allowance; report-level first-publication timestamps remain unverified.
6,VANCOUVER_STR_LICENSES,true,5,5,3,3,unclear,disallowed,false,true,true,false,0,not_requested,0,,false,WATCH_PROSPECTIVELY,WATCH_PROSPECTIVELY,"Terms GET returned 403, robots explicitly disallows /api/, metadata triggered CAPTCHA, and the registered query could transport address-level fields."
7,NPS_VISITOR_USE,true,8,8,4,4,allowed,disallowed,false,false,false,false,0,not_requested,0,,false,WATCH_PROSPECTIVELY,WATCH_PROSPECTIVELY,"DOI reuse terms are permissive, but official robots says Disallow: /; the current API also lacks release vintages."
8,NYC_OSE_ENFORCEMENT_REPORTS,true,5,4,3,3,unclear,unclear,false,false,false,false,0,not_requested,0,,false,CONTROL_ONLY,CONTROL_ONLY,"Public/research-use language is not automation permission, robots is silent, and first-publication timestamps remain unverified."
9,FTA_NTD_MONTHLY_RIDERSHIP,true,8,5,1,1,unclear,unclear,false,false,false,false,0,not_requested,0,,false,CONTROL_ONLY,CONTROL_ONLY,"Robots GET returned 403 and the source stop prevented policy, metadata, calendar, and data requests; release vintages remain unverified."
10,NOLA_STR_PERMIT_EVENTS,true,5,4,3,3,unclear,unclear,false,true,false,false,0,not_requested,0,,false,INCONCLUSIVE,INCONCLUSIVE,"Policy page is not automation terms, robots is silent, metadata triggered CAPTCHA, the live UID differed, and publication timing is unverified."
11,NOLA_STR_ENFORCEMENT_HEARINGS,true,5,3,2,2,unclear,unclear,false,true,false,false,0,not_requested,0,,false,CONTROL_ONLY,CONTROL_ONLY,No automation terms or affirmative robots allowance; the NOLA host stop prevented metadata and payload access; PIT timing is unverified.
12,SAN_DIEGO_STRO_ACTIVE,true,8,6,4,4,unclear,unclear,false,false,true,false,0,not_requested,0,,false,WATCH_PROSPECTIVELY,WATCH_PROSPECTIVELY,"Terms permit data use but not automation, exact-host robots is unresolved, and the bulk file cannot exclude address, host-contact, and tax fields before transport."
13,MARINECADASTRE_AIS,true,8,5,1,1,unclear,unclear,false,false,false,false,0,not_requested,0,,false,WATCH_PROSPECTIVELY,WATCH_PROSPECTIVELY,The shared NOAA policy GET returned 403 and the source stop prevented robots and metadata requests; release/vintage evidence remains unresolved.
14,NYC_311_TOURISM_STRESS,true,6,6,3,3,allowed,unclear,false,false,false,false,1,unauthorized_under_final_gate_then_quarantined,0,,false,REJECT,REJECT,Robots has no explicit Allow for /resource. One aggregate request occurred under a superseded lane interpretation; the payload is quarantined and excluded from all research use.
15,MELB_PED_HOURLY,true,6,5,2,2,unclear,disallowed,false,true,false,false,0,not_requested,0,,false,WATCH_PROSPECTIVELY,WATCH_PROSPECTIVELY,"Robots explicitly disallows /api/, terms are undefined, the terms response triggered a CAPTCHA marker, and current history is not a vintage archive."
