artifact,sha256,bytes
permission_resolution/permission_recon_manifest.csv,b36caaffd3cb0a33e14e2a712d78c350d78cc1d119d9dc3dd7b52c3cffbeced4,25857
permission_resolution/permission_recon_results.csv,8592b901b4a1147ecd8a133e17682b4cd675957fbf768babbc72cbdea5b4e4bf,26751
permission_resolution/data_probe_manifest.csv,b88cc1b887ac216730d627640a1e9b870609f3d171132752a71230c12b0a7901,868
permission_resolution/data_probe_results.csv,9d6c263358c69b05666a2d30a0852762a69a34f98a49a7ea91e8d03f5a6da77f,1413
permission_resolution/request_level_audit.csv,00676d06dbe8e5e9f7978c242d17d161cd6f0d3855f5fd51063dc801e96a9d5a,52260
permission_resolution/source_permission_resolution.csv,3eafe8e28944252c0352d15c726b88583800257484f43267ad684fd5c26c95c5,4702
permission_resolution/data_path_gate_results.csv,bf8eec389d2c0e5a85240649bee02f1074786c504c46ba4d43022728ea82bf4d,4747
permission_resolution/permission_resolution_memo.md,f3f809c14648db1c2de84f8a6343f7eba994d408ae9cc7e5bb4af2e6f140a050,3302
permission_resolution/browser_exploration_memo.md,f38017094b4f1b012abf0413e1bb0ce70059d24b53853f778fb09b0618440033,7823
permission_resolution/browser_acquisition/browser_observations.csv,73736e2b91d3e111a90b5c86b295cfc159861e37cb0b8568ad88768d3eebc23f,32741
permission_resolution/browser_acquisition/browser_acquisition_memo.md,9eecfca89dea8fc563407d73350c8da8b0a35b585f63f914174db9fa92dc53bf,9416
