request_id,lane,request_class,source_ids,requested_url,purpose,registered_at_utc,requested_at_utc,registration_precedes_request,request_sent,provider_http_reached,http_status,content_type,bytes,sha256,cache_path,outcome,stop_reason,exact_fields_or_selector,personal_data_scan,gate_decision_at_request_time,final_lead_gate_allowed,payload_use,strict_pit_eligible,eligibility_exclusion
PR-PW-001,physical_world_activity_edge,permission_only,WSF_FERRY_RIDERSHIP,https://wsdot.wa.gov/robots.txt,Resolve path-specific robots rules for WSF landing page and dated PDF paths,2026-09-03T16:57:49Z,2026-09-03T17:01:03Z,true,true,false,,,,,,transport_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>; no retry",permission/documentation page only; no data payload,not_applicable_permission_page,permission_recon_exception,not_applicable_permission_page,permission_evidence_only,false,not a source observation or historical vintage
PR-PW-002,physical_world_activity_edge,permission_only,WSF_FERRY_RIDERSHIP,https://wsdot.wa.gov/about/policies/open-data-policy,Resolve official WSDOT reuse and automation terms,2026-09-03T16:57:49Z,2026-09-03T17:01:09Z,true,true,false,,,,,,transport_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>; no retry",permission/documentation page only; no data payload,not_applicable_permission_page,permission_recon_exception,not_applicable_permission_page,permission_evidence_only,false,not a source observation or historical vintage
PR-PW-003,physical_world_activity_edge,permission_only,WSF_FERRY_RIDERSHIP,https://wsdot.wa.gov/travel/washington-state-ferries/about-us/ferries-accountability-and-service-data/ridership-data,Read official dataset metadata and publication/archive description only; no linked report payload,2026-09-03T16:57:49Z,2026-09-03T17:01:15Z,true,true,false,,,,,,transport_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>; no retry",permission/documentation page only; no data payload,not_applicable_permission_page,permission_recon_exception,not_applicable_permission_page,permission_evidence_only,false,not a source observation or historical vintage
PR-PW-004,physical_world_activity_edge,permission_only,NASA_BLACK_MARBLE_VNP46A2,https://ladsweb.modaps.eosdis.nasa.gov/robots.txt,Resolve path-specific robots rules for the registered LAADS archive/API paths; authenticated data remains blocked,2026-09-03T16:57:49Z,2026-09-03T17:01:21Z,true,true,false,,,,,,transport_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>; no retry",permission/documentation page only; no data payload,not_applicable_permission_page,permission_recon_exception,not_applicable_permission_page,permission_evidence_only,false,not a source observation or historical vintage
PR-PW-005,physical_world_activity_edge,permission_only,NASA_BLACK_MARBLE_VNP46A2,https://www.earthdata.nasa.gov/engage/open-data-services-and-software/data-and-information-policy,Read official NASA data license and reuse policy,2026-09-03T16:57:49Z,2026-09-03T17:01:28Z,true,true,false,,,,,,transport_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>; no retry",permission/documentation page only; no data payload,not_applicable_permission_page,permission_recon_exception,not_applicable_permission_page,permission_evidence_only,false,not a source observation or historical vintage
PR-PW-006,physical_world_activity_edge,permission_only,NASA_BLACK_MARBLE_VNP46A2,https://urs.earthdata.nasa.gov/documentation/what_do_i_need_to_know,Confirm official Earthdata authentication requirement without accessing credentials or data,2026-09-03T16:57:49Z,2026-09-03T17:01:34Z,true,true,false,,,,,,transport_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>; no retry",permission/documentation page only; no data payload,not_applicable_permission_page,permission_recon_exception,not_applicable_permission_page,permission_evidence_only,false,not a source observation or historical vintage
PR-PW-007,physical_world_activity_edge,permission_only,NOAA_HMS_SMOKE,https://www.ospo.noaa.gov/robots.txt,Resolve path-specific robots rules for HMS metadata and annual-bundle paths,2026-09-03T16:57:49Z,2026-09-03T17:01:40Z,true,true,false,,,,,,transport_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>; no retry",permission/documentation page only; no data payload,not_applicable_permission_page,permission_recon_exception,not_applicable_permission_page,permission_evidence_only,false,not a source observation or historical vintage
PR-PW-008,physical_world_activity_edge,permission_only,NOAA_HMS_SMOKE|MARINECADASTRE_AIS,https://www.noaa.gov/information-technology/open-data-dissemination,Read shared official NOAA data license and dissemination policy,2026-09-03T16:57:49Z,2026-09-03T17:01:46Z,true,true,false,,,,,,transport_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>; no retry",permission/documentation page only; no data payload,not_applicable_permission_page,permission_recon_exception,not_applicable_permission_page,permission_evidence_only,false,not a source observation or historical vintage
PR-PW-009,physical_world_activity_edge,permission_only,NOAA_HMS_SMOKE,https://www.ospo.noaa.gov/products/land/hms.html,Read official HMS dataset metadata and publication schedule only; no archive payload,2026-09-03T16:57:49Z,2026-09-03T17:01:52Z,true,true,false,,,,,,transport_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>; no retry",permission/documentation page only; no data payload,not_applicable_permission_page,permission_recon_exception,not_applicable_permission_page,permission_evidence_only,false,not a source observation or historical vintage
PR-PW-010,physical_world_activity_edge,permission_only,NPS_VISITOR_USE,https://irmaservices.nps.gov/robots.txt,Resolve path-specific robots rules for the registered NPS Stats help and API paths,2026-09-03T16:57:49Z,2026-09-03T17:01:59Z,true,true,false,,,,,,transport_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>; no retry",permission/documentation page only; no data payload,not_applicable_permission_page,permission_recon_exception,not_applicable_permission_page,permission_evidence_only,false,not a source observation or historical vintage
