request_id,lane,source_ids,official_url,purpose,method,user_agent,no_cookies,no_auth,no_personal_data,registered_at_utc
PR-PW-001,physical_world_activity_edge,WSF_FERRY_RIDERSHIP,https://wsdot.wa.gov/robots.txt,Resolve path-specific robots rules for WSF landing page and dated PDF paths,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-002,physical_world_activity_edge,WSF_FERRY_RIDERSHIP,https://wsdot.wa.gov/about/policies/open-data-policy,Resolve official WSDOT reuse and automation terms,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-003,physical_world_activity_edge,WSF_FERRY_RIDERSHIP,https://wsdot.wa.gov/travel/washington-state-ferries/about-us/ferries-accountability-and-service-data/ridership-data,Read official dataset metadata and publication/archive description only; no linked report payload,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-004,physical_world_activity_edge,NASA_BLACK_MARBLE_VNP46A2,https://ladsweb.modaps.eosdis.nasa.gov/robots.txt,Resolve path-specific robots rules for the registered LAADS archive/API paths; authenticated data remains blocked,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-005,physical_world_activity_edge,NASA_BLACK_MARBLE_VNP46A2,https://www.earthdata.nasa.gov/engage/open-data-services-and-software/data-and-information-policy,Read official NASA data license and reuse policy,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-006,physical_world_activity_edge,NASA_BLACK_MARBLE_VNP46A2,https://urs.earthdata.nasa.gov/documentation/what_do_i_need_to_know,Confirm official Earthdata authentication requirement without accessing credentials or data,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-007,physical_world_activity_edge,NOAA_HMS_SMOKE,https://www.ospo.noaa.gov/robots.txt,Resolve path-specific robots rules for HMS metadata and annual-bundle paths,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-008,physical_world_activity_edge,NOAA_HMS_SMOKE|MARINECADASTRE_AIS,https://www.noaa.gov/information-technology/open-data-dissemination,Read shared official NOAA data license and dissemination policy,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-009,physical_world_activity_edge,NOAA_HMS_SMOKE,https://www.ospo.noaa.gov/products/land/hms.html,Read official HMS dataset metadata and publication schedule only; no archive payload,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-010,physical_world_activity_edge,NPS_VISITOR_USE,https://irmaservices.nps.gov/robots.txt,Resolve path-specific robots rules for the registered NPS Stats help and API paths,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-011,physical_world_activity_edge,NPS_VISITOR_USE,https://www.doi.gov/copyright,Read official federal reuse terms applicable to NPS data,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-012,physical_world_activity_edge,NPS_VISITOR_USE,https://irmaservices.nps.gov/v3/rest/Stats/help,Read official NPS Stats API documentation only; no visitation data payload,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-013,physical_world_activity_edge,NPS_VISITOR_USE,https://home.nps.gov/subjects/socialscience/statistics-faq.htm,Read official publication and revision calendar evidence,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-014,physical_world_activity_edge,FTA_NTD_MONTHLY_RIDERSHIP,https://www.transit.dot.gov/robots.txt,Resolve path-specific robots rules for NTD metadata and raw-product paths,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-015,physical_world_activity_edge,FTA_NTD_MONTHLY_RIDERSHIP,https://www.transportation.gov/data,Read official DOT open-data and reuse policy,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-016,physical_world_activity_edge,FTA_NTD_MONTHLY_RIDERSHIP,https://www.transit.dot.gov/ntd/monthly-ridership,Read official NTD dataset metadata and product links only; no workbook payload,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-017,physical_world_activity_edge,FTA_NTD_MONTHLY_RIDERSHIP,https://www.transit.dot.gov/ntd/ntd-data-products-frequently-asked-questions-0,"Read official publication lag, product-method, and revision documentation",GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-018,physical_world_activity_edge,MARINECADASTRE_AIS,https://marinecadastre.gov/robots.txt,Resolve path-specific robots rules for the registered AIS and AccessAIS paths,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-019,physical_world_activity_edge,MARINECADASTRE_AIS,https://marinecadastre.gov/ais/,Read official AIS dataset metadata and bulk-access documentation only; no AIS payload,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-020,physical_world_activity_edge,MARINECADASTRE_AIS,https://marinecadastre.gov/accessais/,Read official AccessAIS API/service documentation and availability status only,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-021,physical_world_activity_edge,NYC_311_TOURISM_STRESS,https://data.cityofnewyork.us/robots.txt,Resolve path-specific robots rules for the registered 311 metadata and SODA paths,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-022,physical_world_activity_edge,NYC_311_TOURISM_STRESS,https://cityofnewyork.github.io/opendatatsm/publicpolicies.html,"Read official NYC Open Data license, access, and reuse terms",GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-023,physical_world_activity_edge,NYC_311_TOURISM_STRESS,https://data.cityofnewyork.us/api/views/erm2-nwe9,Read official 311 dataset metadata/schema only; endpoint contains no row payload,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-024,physical_world_activity_edge,MELB_PED_HOURLY,https://data.melbourne.vic.gov.au/robots.txt,Resolve path-specific robots rules for the registered dataset and API paths,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-025,physical_world_activity_edge,MELB_PED_HOURLY,https://data.melbourne.vic.gov.au/terms/terms-and-conditions/,Read official portal terms and automation permission,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-026,physical_world_activity_edge,MELB_PED_HOURLY,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/information/,"Read official dataset metadata, license label, update schedule, and schema only; no record payload",GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T16:57:49Z
PR-PW-R001,physical_world_activity_edge,WSF_FERRY_RIDERSHIP,https://wsdot.wa.gov/robots.txt,retry_of=PR-PW-001; one escalated retry after sandbox DNS failure,GET,ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026),true,true,true,2026-09-03T17:03:54Z
