case,p_yes
base,0.1864
"lenient resolver: duration / ""relatively small""-style repeats count (B routes x1.8)",0.2799
"strict resolver: only explicit ""not material / meaningful to growth"" (B routes /2)",0.1239
management turns numeric on the 2027 laps (Feb points 0.10),0.2372
3Q26 decelerates sharply and analysts press for attribution (Nov routes x2),0.2539
3Q26 accelerates; no attribution pressure (Nov routes /2),0.1519
WC figure given but >1pt (resolves No; A routes 0),0.1352
Paris pre/own-quarter rate applied to both remaining prints (2 of 5 = 0.4 per print),0.6613
"joint bull (lenient, numeric, pressed)",0.3758
"joint bear (strict, no numbers, no ask)",0.0872
