item,value
event discussions coded,8
with a points figure,0
with qualifying size language,2
Laplace points per discussion,0.1
Laplace size language per discussion,0.3
raw size-language rate per discussion,0.25
"record-implied over two prints, raw (A12-08)",0.4375
"record-implied over two prints, Laplace",0.51
size language in pre/own-quarter slots,"2 of 5 (Paris 1Q24, 2Q24)"
size language in post-event / lap slots,0 of 3
World Cup pre/own slots already passed without size language,"0 of 3 (4Q25 preview, 1Q26, 2Q26)"
"post-event per-print size-language hazard (0/3 shrunk to pooled 2/8, prior weight 2)",0.1
base rate: size language over two post-event prints,0.19
base rate: points route over two prints (0.02 / 0.03),0.0494
base_rate_estimate (either route),0.23
