feature,horizon,n,slope,se_hc3,p_hc3,boot_lo95,boot_hi95,r2,spearman,spearman_p
Revenue surprise (%),excess_1d,23,0.4771683579268529,0.6678628441479338,0.48280340444296777,0.06498509118802004,1.7889654937041164,0.09730733746613036,0.46009391075953165,0.027170933873048746
Revenue surprise (%),excess_5d,23,0.12772509446775104,0.2715291665359624,0.6429238671790618,-1.0417275073564285,0.9919050896391641,0.006350799364536444,0.05139609744252556,0.8158430709302317
Revenue surprise (%),excess_20d,23,0.1598356151198926,0.27208423736456977,0.5631660028514953,-1.0567458619866241,0.5300540496369097,0.009692023478590023,0.04200642579437185,0.8490703222990643
Nights surprise (%),excess_1d,19,0.16188733606611214,0.7470838941872626,0.8310272297651955,-1.4776362272433765,1.7429324463946338,0.0018723632313110956,0.256140350877193,0.2885691970245851
Nights surprise (%),excess_5d,19,0.3809572748756545,0.9749656458316709,0.7008433281605597,-1.5374620958398202,2.313919582365434,0.008287117385605077,0.09565599867766487,0.6968741462009181
Nights surprise (%),excess_20d,19,1.9504034024792027,0.7241280694820628,0.015383864156888688,0.33596296159466854,3.4597465091645074,0.20686040188401694,0.468421052631579,0.044755626017842
GBV surprise (%),excess_1d,13,-0.1349716972212426,0.2947672381994779,0.6559422346372793,-1.3947960326250004,0.217661241266008,0.023284032646340387,-0.06043956043956044,0.8489885068868273
GBV surprise (%),excess_5d,13,-0.16465203281667687,0.3274222587579313,0.6249690532126846,-1.4626877311733983,0.2606289937680995,0.023115019647505834,-0.1263736263736264,0.6826316715198052
GBV surprise (%),excess_20d,13,0.2862123256025393,0.4300918071572912,0.5194611822005422,-0.004929178510671492,1.587598804400819,0.06405626859218372,0.48901098901098905,0.09289173657460865
EBITDA surprise (%),excess_1d,8,-0.10595416205126756,0.11973242015851868,0.4102550552939511,-0.6687159660461768,0.7637034388498324,0.12954060757665242,-0.3095238095238096,0.4618055555555556
EBITDA surprise (%),excess_5d,8,-0.03141162841195106,0.3777034272617833,0.936425694248341,-0.993992117072648,0.6762453563197004,0.011885353960847127,-0.2619047619047619,0.5364087301587301
EBITDA surprise (%),excess_20d,8,-0.01811102893588409,0.6104400108667073,0.9772934341911914,-1.2180140168733409,0.1662045336060186,0.0035720808904887635,-0.380952380952381,0.35987103174603174
EPS surprise (fraction),excess_1d,22,-0.3731075767480245,1.7786836921467182,0.8359722809548686,-4.609173433397181,3.0368143917337753,0.0013306813841596694,-0.06493506493506496,0.773992692761075
EPS surprise (fraction),excess_5d,22,-2.8869548044668014,1.6537063553151328,0.09619940939688096,-8.387995129664185,0.21523979321927691,0.07140040674154126,-0.3099943534726144,0.16012564775445245
EPS surprise (fraction),excess_20d,22,-3.9237322920797895,1.8718146465714063,0.04898658781325827,-8.389825214240298,-0.45108706713292307,0.11795124321883207,-0.355166572557877,0.10533375012759466
Next-Q guide vs Street (%),excess_1d,19,0.7817030520924247,0.9316124916153449,0.41306519438863054,0.1664566951262462,2.692052906382116,0.1642649564456772,0.5596491228070175,0.014148839214782157
Next-Q guide vs Street (%),excess_5d,19,0.15818929430203585,1.0890049580513295,0.8862136593448743,-0.5089479084256101,2.7202654268953195,0.005373168793175052,0.1912280701754386,0.43123438932382724
Next-Q guide vs Street (%),excess_20d,19,0.12454749381822314,0.877989400810306,0.888861821677293,-0.5155433178292131,2.8098248355462228,0.0032031217647318345,0.18947368421052632,0.4355495086321783
