model,term,estimate,std.error,statistic,p.value
margin ~ log(rev) + qtr,(Intercept),-0.1858293624354951,0.1482286133568442,-1.2536672793945067,0.2320401859389922
margin ~ log(rev) + qtr,log(revenue),0.047232924152573505,0.018973936039966957,2.4893582466538007,0.027127553688517866
margin ~ log(rev) + qtr,factor(qtr)2,0.14745812090561586,0.008473229542205338,17.402823819551188,2.179957412260828e-10
margin ~ log(rev) + qtr,factor(qtr)3,0.31805992935979716,0.009375680142949053,33.92393133195708,4.4779533632385916e-14
margin ~ log(rev) + qtr,factor(qtr)4,0.1173112897103275,0.010738350708727034,10.924516519560948,6.39001621182268e-8
margin ~ log(rev) + qtr + trend,(Intercept),-3.158708348152785,0.9059303393492258,-3.486701141306119,0.004490561658326188
margin ~ log(rev) + qtr + trend,log(revenue),0.46033449482622346,0.12610005992983167,3.650549373904948,0.0033232140433125164
margin ~ log(rev) + qtr + trend,factor(qtr)2,0.036985190488086954,0.036560770501029356,1.0116086171391176,0.3316885877643345
margin ~ log(rev) + qtr + trend,factor(qtr)3,0.09628036196240422,0.06820144440835454,1.4117056141205429,0.18343750853566926
margin ~ log(rev) + qtr + trend,factor(qtr)4,0.07838518172372044,0.01231763235664474,6.363656541627141,3.590744388977238e-5
margin ~ log(rev) + qtr + trend,t,-0.01355614776101711,0.004278434278836536,-3.168483346366495,0.008092377397872866
