guide_date,target_quarter,in_W1,in_W2,is_live,scored
2021-11-04,2021Q4,False,False,False,True
2022-02-15,2022Q1,False,False,False,True
2022-05-03,2022Q2,False,False,False,True
2022-08-02,2022Q3,False,False,False,True
2022-11-01,2022Q4,False,False,False,True
2023-02-14,2023Q1,True,False,False,True
2023-05-09,2023Q2,True,False,False,True
2023-08-03,2023Q3,True,False,False,True
2023-11-01,2023Q4,True,False,False,True
2024-02-13,2024Q1,True,True,False,True
2024-05-08,2024Q2,True,True,False,True
2024-08-06,2024Q3,True,True,False,True
2024-11-07,2024Q4,True,True,False,True
2025-02-13,2025Q1,True,True,False,True
2025-05-01,2025Q2,True,True,False,True
2025-08-06,2025Q3,True,True,False,True
2025-11-06,2025Q4,True,True,False,True
2026-02-12,2026Q1,True,True,False,True
2026-05-07,2026Q2,True,True,False,True
2026-08-06,2026Q3,False,False,True,False
