quarter,print_date,revenue_musd,gbv_musd,nights_m,adr_usd,take_rate_pct,fx_pts_revenue,fx_pts_adr,revenue_yoy,gbv_yoy,nights_yoy,adr_yoy,revenue_yoy_panel,gbv_yoy_panel,guide_lo,guide_hi,guide_mid,guide_date,guide_issued_on,actual_over_guide_mid,street_pre_guide_musd,street_pre_guide_vendor,street_pre_guide_as_of,cons_at_print_musd,cons_at_print_vendor,has_actual
2020Q3,2020-11-15,1342.3,8029.3,61.8,129.92,16.72,,,,,,,,,,,,,,,,,,,,True
2020Q4,2021-02-25,859.1,5905.7,46.3,127.55,14.55,,,,,,,,,,,,,,,,,,739.7,Yahoo/unattributed,True
2021Q1,2021-05-13,887.0,10300.0,64.4,159.82,8.61,2.0,,,,,,5.0,,,,,,,,,,,714.4,Refinitiv,True
2021Q2,2021-08-12,1335.0,13400.0,83.1,161.45,9.96,,,,,,,299.0,320.0,,,,,,,,,,1260.0,Refinitiv,True
2021Q3,2021-11-04,2237.0,11900.0,79.7,149.15,18.8,3.0,,66.65425016762273,48.20719116236782,28.964401294498398,14.801416256157651,67.0,48.0,,,,,,,,,,2050.0,Refinitiv,True
2021Q4,2022-02-15,1532.0,11300.0,73.4,153.61,13.56,-1.0,,78.3261552787801,91.34056928052561,58.53131749460046,20.43120344962761,78.0,91.0,1390.0,1480.0,1435.0,2021-11-04,2021Q3,1.067595818815331,,,2021-11-04,1460.0,Refinitiv,True
2022Q1,2022-05-03,1509.0,17200.0,102.1,168.07,8.77,-4.0,,70.12401352874859,66.99029126213591,58.54037267080743,5.162057314478785,70.0,67.0,1410.0,1480.0,1445.0,2022-02-15,2021Q4,1.0442906574394464,1240.0,CNBC unattributed,2022-02-15,1450.0,Refinitiv,True
2022Q2,2022-08-02,2104.0,17000.0,103.7,163.74,12.38,-6.0,-5.6,57.602996254681635,26.865671641791057,24.78941034897715,1.418395788169735,58.0,27.0,2030.0,2130.0,2080.0,2022-05-03,2022Q1,1.0115384615384615,1960.0,CNBC unattributed,2022-05-03,2110.0,Refinitiv,True
2022Q3,2022-11-01,2884.0,15600.0,99.7,156.44,18.49,-7.0,-7.1,28.92266428252124,31.092436974789916,25.094102885821833,4.887696949379805,29.0,31.0,2780.0,2880.0,2830.0,2022-08-02,2022Q2,1.0190812720848057,2770.0,StreetAccount,2022-08-02,2800.0,Refinitiv,True
2022Q4,2023-02-14,1902.0,13500.0,88.2,152.81,14.09,-7.0,-5.5,24.151436031331585,19.469026548672574,20.163487738419605,-0.5207994271206329,24.0,20.0,1800.0,1880.0,1840.0,2022-11-01,2022Q3,1.0336956521739131,1850.0,Refinitiv,2022-11-01,1860.0,Refinitiv,True
2023Q1,2023-05-09,1818.0,20400.0,121.1,168.43,8.91,-4.0,-2.8,20.477137176938378,18.60465116279071,18.609206660137122,0.21419646575833173,20.0,19.0,1750.0,1820.0,1785.0,2023-02-14,2022Q4,1.0184873949579831,1690.0,Refinitiv,2023-02-14,1790.0,Refinitiv,True
2023Q2,2023-08-03,2484.0,19100.0,115.1,166.01,13.01,-1.0,-0.6,18.060836501901136,12.352941176470589,10.993249758919955,1.3863442042262086,18.0,13.0,2350.0,2450.0,2400.0,2023-05-09,2023Q1,1.035,2420.0,Refinitiv,2023-05-09,2420.0,Refinitiv,True
2023Q3,2023-11-01,3397.0,18300.0,113.2,161.38,18.56,4.0,2.7,17.787794729542306,17.307692307692314,13.54062186559679,3.1577601636410213,18.0,17.0,3300.0,3400.0,3350.0,2023-08-03,2023Q2,1.0140298507462686,3220.0,Refinitiv,2023-08-03,3370.0,LSEG,True
2023Q4,2024-02-13,2218.0,15500.0,98.8,156.73,14.31,3.0,2.1,16.61409043112514,14.814814814814813,12.01814058956916,2.5652771415483278,17.0,15.0,2130.0,2170.0,2150.0,2023-11-01,2023Q3,1.0316279069767442,2180.0,LSEG,2023-11-01,2170.0,LSEG,True
2024Q1,2024-05-08,2142.0,22900.0,132.6,172.88,9.35,0.0,0.6,17.821782178217816,12.254901960784315,9.496284062758043,2.642047141245607,18.0,,2030.0,2070.0,2050.0,2024-02-13,2023Q4,1.0448780487804878,2030.0,LSEG,2024-02-13,2060.0,LSEG,True
2024Q2,2024-08-06,2748.0,21200.0,125.1,169.53,12.96,0.0,-0.9,10.6280193236715,10.994764397905765,8.688097306689846,2.120354195530405,11.0,11.0,2680.0,2740.0,2710.0,2024-05-08,2024Q1,1.0140221402214022,2740.0,LSEG,2024-05-08,2740.0,LSEG,True
2024Q3,2024-11-07,3732.0,20100.0,122.8,163.64,18.57,0.0,-0.6,9.861642625846345,9.836065573770503,8.480565371024728,1.40042136572065,10.0,10.0,3670.0,3730.0,3700.0,2024-08-06,2024Q2,1.0086486486486486,3840.0,LSEG,2024-08-06,3720.0,LSEG,True
2024Q4,2025-02-13,2480.0,17600.0,111.0,158.13,14.09,0.0,-1.1,11.812443642921554,13.548387096774196,12.348178137651832,0.8932559178204569,12.0,13.0,2390.0,2440.0,2415.0,2024-11-07,2024Q3,1.0269151138716357,2420.0,LSEG,2024-11-07,2420.0,LSEG,True
2025Q1,2025-05-01,2272.0,24500.0,143.1,171.34,9.27,-2.0,-1.9,6.069094304388423,6.986899563318771,7.918552036199089,-0.8907913003239232,6.0,7.0,2230.0,2270.0,2250.0,2025-02-13,2024Q4,1.0097777777777779,2300.0,LSEG,2025-02-13,2260.0,LSEG,True
2025Q2,2025-08-06,3096.0,23500.0,134.4,174.48,13.17,0.0,1.9,12.66375545851528,10.849056603773576,7.434052757793785,2.9198371969562764,13.0,11.0,2990.0,3050.0,3020.0,2025-05-01,2025Q1,1.0251655629139074,3040.0,LSEG,2025-05-01,3040.0,LSEG,True
2025Q3,2025-11-06,4095.0,22900.0,133.6,171.29,17.88,0.0,2.7,9.726688102893899,13.93034825870647,8.794788273615639,4.674896113419713,10.0,14.0,4020.0,4100.0,4060.0,2025-08-06,2025Q2,1.0086206896551724,4050.0,LSEG,2025-08-06,4080.0,LSEG,True
2025Q4,2026-02-12,2778.0,20400.0,121.9,167.51,13.62,1.0,2.9,12.01612903225806,15.909090909090917,9.81981981981983,5.931828242585202,12.0,16.0,2660.0,2720.0,2690.0,2025-11-06,2025Q3,1.0327137546468401,2670.0,LSEG,2025-11-06,2720.0,LSEG,True
2026Q1,2026-05-07,2678.0,29200.0,156.2,186.82,9.17,3.0,5.0,17.869718309859152,19.183673469387763,9.15443745632425,9.0346679117544,18.0,19.0,2590.0,2630.0,2610.0,2026-02-12,2025Q4,1.0260536398467432,2530.0,LSEG,2026-02-12,2620.0,LSEG,True
2026Q2,2026-08-06,3608.0,27200.0,148.3,183.73,13.26,4.0,1.3,16.53746770025839,15.74468085106382,10.342261904761907,5.30146721687299,17.0,16.0,3540.0,3600.0,3570.0,2026-05-07,2026Q1,1.0106442577030812,3460.0,LSEG,2026-05-07,3580.0,LSEG,True
2026Q3,2026-11-05,,,,,,,,,,,,,,4690.0,4770.0,4730.0,2026-08-06,2026Q2,,4610.0,LSEG,2026-08-06,,,False
