method,object,target,window,prior_basis,n,mae,rmse,bias,rmse_ratio_to_naive,crps,cov_empirical,n_params,survives_both_windows,pit_ks_p
tracker-backlog,nights_yoy_next_q::unearned_rnpl_scenario_k0.5,nights_yoy,W1,PIT,14,1.6834737569500184,2.1574675086811865,0.6085961584197649,,1.6750203771989127,1.0,2,False,0.05715376797113014
tracker-backlog,nights_yoy_next_q::unearned_rnpl_scenario_k1.0,nights_yoy,W1,PIT,14,1.8370447573685418,2.292779508980424,1.1022053429423644,,1.7370769580198537,1.0,2,False,0.029814451868473313
tracker-backlog,nights_yoy_next_q::unearned_raw,nights_yoy,W1,PIT,14,2.0597885845856183,2.601650186945719,0.1234245868926438,,1.8259624673972359,1.0,2,False,0.07949650509867634
tracker-backlog,nights_yoy_next_q::unearned_rnpl_scenario_k1.5,nights_yoy,W1,PIT,14,2.334755844098208,2.9497569284348524,1.5999164296720305,,1.9378347019726854,1.0,2,False,0.029814451868473313
tracker-backlog,nights_yoy_next_q::funds_raw,nights_yoy,W1,PIT,14,4.3411544317711925,5.269282475136308,1.2202625710531778,,3.042118503805899,1.0,2,False,0.28952840004798586
tracker-backlog,nights_yoy_next_q::funds_rnpl_scenario_k0.5,nights_yoy,W1,PIT,14,4.944521173608228,5.861384380445328,2.013296603057367,,3.2855786479912,1.0,2,False,0.28952840004798586
tracker-backlog,nights_yoy_next_q::funds_rnpl_scenario_k1.0,nights_yoy,W1,PIT,14,5.728010879253412,6.922242481867253,2.7967863087025506,,3.902765973558975,0.8571428571428571,2,False,0.28952840004798586
tracker-backlog,nights_yoy_next_q::funds_rnpl_scenario_k1.5,nights_yoy,W1,PIT,14,6.480506704986047,8.204490763268181,3.5492821344351873,,4.567761463909312,0.8571428571428571,2,False,0.28952840004798586
tracker-backlog,nights_yoy_next_q::unearned_rnpl_scenario_k0.5,nights_yoy,W1,full_sample,14,1.5502075456012645,1.806796815079095,0.21492189084819735,,1.2969166782846133,1.0,2,False,0.11232072062830134
tracker-backlog,nights_yoy_next_q::unearned_rnpl_scenario_k1.0,nights_yoy,W1,full_sample,14,1.5604045387063599,1.9024108085173717,0.26402466413512304,,1.3096142062760088,1.0,2,False,0.10812791508853548
tracker-backlog,nights_yoy_next_q::unearned_raw,nights_yoy,W1,full_sample,14,1.9219608374157315,2.305565248752775,0.2392755293014586,,1.474034927928108,1.0,2,False,0.1776010778382383
