print_quarter,fiscal_quarter,quarter_end,print_date,guide_date,letter_date,reaction_date,next_quarter_guided,guide_lo,guide_hi,guide_mid,filing_form,filing_date,filing_accession,is_forecast_row,print_date_basis
2020Q3,2020Q3,2020-09-30,2020-11-15,,,,,,,,,,,False,approx_qend_plus_46d
2020Q4,2020Q4,2020-12-31,2021-02-25,2021-02-25,2021-02-25,2021-02-26,,,,,,,,False,ledger
2021Q1,2021Q1,2021-03-31,2021-05-13,2021-05-13,2021-05-13,2021-05-14,,,,,,,,False,ledger
2021Q2,2021Q2,2021-06-30,2021-08-12,2021-08-12,2021-08-12,2021-08-13,,,,,,,,False,ledger
2021Q3,2021Q3,2021-09-30,2021-11-04,2021-11-04,2021-11-04,2021-11-05,2021Q4,1390.0,1480.0,1435.0,,,,False,ledger
2021Q4,2021Q4,2021-12-31,2022-02-15,2022-02-15,2022-02-15,2022-02-16,2022Q1,1410.0,1480.0,1445.0,,,,False,ledger
2022Q1,2022Q1,2022-03-31,2022-05-03,2022-05-03,2022-05-03,2022-05-04,2022Q2,2030.0,2130.0,2080.0,,,,False,ledger
2022Q2,2022Q2,2022-06-30,2022-08-02,2022-08-02,2022-08-02,2022-08-03,2022Q3,2780.0,2880.0,2830.0,,,,False,ledger
2022Q3,2022Q3,2022-09-30,2022-11-01,2022-11-01,2022-11-01,2022-11-02,2022Q4,1800.0,1880.0,1840.0,,,,False,ledger
2022Q4,2022Q4,2022-12-31,2023-02-14,2023-02-14,2023-02-14,2023-02-15,2023Q1,1750.0,1820.0,1785.0,,,,False,ledger
2023Q1,2023Q1,2023-03-31,2023-05-09,2023-05-09,2023-05-09,2023-05-10,2023Q2,2350.0,2450.0,2400.0,10-Q,2023-05-09,0001559720-23-000010,False,ledger
2023Q2,2023Q2,2023-06-30,2023-08-03,2023-08-03,2023-08-03,2023-08-04,2023Q3,3300.0,3400.0,3350.0,10-Q,2023-08-03,0001559720-23-000015,False,ledger
2023Q3,2023Q3,2023-09-30,2023-11-01,2023-11-01,2023-11-01,2023-11-02,2023Q4,2130.0,2170.0,2150.0,10-Q,2023-11-01,0001559720-23-000020,False,ledger
2023Q4,2023Q4,2023-12-31,2024-02-13,2024-02-13,2024-02-13,2024-02-14,2024Q1,2030.0,2070.0,2050.0,10-K,2024-02-16,0001559720-24-000006,False,ledger
2024Q1,2024Q1,2024-03-31,2024-05-08,2024-05-08,2024-05-08,2024-05-09,2024Q2,2680.0,2740.0,2710.0,10-Q,2024-05-08,0001559720-24-000017,False,ledger
2024Q2,2024Q2,2024-06-30,2024-08-06,2024-08-06,2024-08-06,2024-08-07,2024Q3,3670.0,3730.0,3700.0,10-Q,2024-08-06,0001559720-24-000024,False,ledger
2024Q3,2024Q3,2024-09-30,2024-11-07,2024-11-07,2024-11-07,2024-11-08,2024Q4,2390.0,2440.0,2415.0,10-Q,2024-11-07,0001559720-24-000032,False,ledger
2024Q4,2024Q4,2024-12-31,2025-02-13,2025-02-13,2025-02-13,2025-02-14,2025Q1,2230.0,2270.0,2250.0,10-K,2025-02-13,0001559720-25-000010,False,ledger
2025Q1,2025Q1,2025-03-31,2025-05-01,2025-05-01,2025-05-01,2025-05-02,2025Q2,2990.0,3050.0,3020.0,10-Q,2025-05-01,0001559720-25-000017,False,ledger
2025Q2,2025Q2,2025-06-30,2025-08-06,2025-08-06,2025-08-06,2025-08-07,2025Q3,4020.0,4100.0,4060.0,10-Q,2025-08-06,0001559720-25-000025,False,ledger
2025Q3,2025Q3,2025-09-30,2025-11-06,2025-11-06,2025-11-06,2025-11-07,2025Q4,2660.0,2720.0,2690.0,10-Q,2025-11-06,0001559720-25-000030,False,ledger
2025Q4,2025Q4,2025-12-31,2026-02-12,2026-02-12,2026-02-12,2026-02-13,2026Q1,2590.0,2630.0,2610.0,10-K,2026-02-12,0001559720-26-000004,False,ledger
2026Q1,2026Q1,2026-03-31,2026-05-07,2026-05-07,2026-05-07,2026-05-08,2026Q2,3540.0,3600.0,3570.0,10-Q,2026-05-07,0001559720-26-000014,False,ledger
2026Q2,2026Q2,2026-06-30,2026-08-06,2026-08-06,2026-08-06,2026-08-07,2026Q3,4690.0,4770.0,4730.0,10-Q,2026-08-06,0001559720-26-000027,False,ledger
2026Q3,2026Q3,2026-09-30,2026-11-05,2026-11-05,2026-11-05,2026-11-06,2026Q4,,,,10-Q,,,True,scheduled_forecast
