construction,d_exfx_3q26,d_exfx_4q26,adr_3q26,adr_4q26,note,vs_street_4q26,vs_street_3q26
filed base,0.0,0.0,177.68122194149538,173.03404961654581,,1.7040496165458023,0.6212219414953779
filed 'base + sub-regional' (adds the full forward term),-0.1372192626177384,-0.1468077761157966,177.44617906655745,172.78813191077424,"double counts 2Q26's term, already inside the carried core",1.4581319107742274,0.38617906655744605
"sub-regional, netted against the 2Q26 term inside the core",-0.03721235597273309,-0.04680086947079129,177.61748089694967,172.95565348009526,2Q26 subgeo -0.100,1.6256534800952522,0.5574808969496701
geo basis: core recomputed on the bucket method,-0.1317563762108231,-0.1317563762108231,177.45553644468384,172.81334451075503,same arithmetic as the forward geo,1.4833445107550176,0.39553644468384164
unit basis: core recomputed on I's construction,-0.16635964698157546,-0.16635964698157546,177.39626450218063,172.75538057188697,same construction as the forward unit term,1.4253805718869614,0.33626450218062587
both bases consistent,-0.29811602319239855,-0.29811602319239855,177.1705790053691,172.53467546609622,,1.2046754660962051,0.1105790053690896
both bases + netted sub-regional,-0.3353283791651316,-0.3449168926631898,177.10683796082338,172.45627932964567,"composition, consistently measured",1.126279329645655,0.046837960823381763
mean reversion to the core's own mean (brief's flag),-1.5769654874078647,-1.5769654874078647,174.98003775811443,170.3924747285889,filed uses 2.398,-0.9375252714111184,-2.0799622418855677
"AR(1): K4 rho, core's own 2023-25 mean",-0.3989722683141901,-0.6970045527448896,176.99782234309998,171.86649729024285,filed row's constant implies a mean of 2.96,0.5364972902428349,-0.062177656900018974
AR(1) fitted on the core itself,-0.7694025914119003,-1.1271705447782363,176.3633122426659,171.14592623698778,"rho 0.465, mean 2.411",-0.1840737630122362,-0.6966877573341037
"carry the 1H26 core average, not the single rounded 2Q26 value",-0.2343687129018206,-0.2343687129018206,177.27977177316583,172.64145858556395,rounding-robust level,1.3114585855639405,0.21977177316583152
