w_brazil,blend,pooled_b,se_crv,p_b0_crv,p_b1_crv,ci90_lo,ci90_hi,latam_b,latam_r,in_band
1.0,as published,1.1270002240869919,0.33077367765816873,0.042238488378822714,0.7266125282669571,0.3485695458913328,1.9054309022826508,1.3751651000179568,0.9216157497642333,True
0.9,,1.0381775868058498,0.3102568256990677,0.04418376811974012,0.9098471497545066,0.3080305178079812,1.7683246558037184,1.2709196602241766,0.9263793040985846,True
0.8,,0.9493549495247078,0.2897448365210381,0.0465476556106601,0.8723740177690944,0.26748004583346474,1.6312298532159508,1.1666742204303953,0.9306876604481346,True
0.7,,0.8605323122435655,0.26923882154090306,0.0494767628592494,0.640231740926847,0.22691551440007074,1.4941491100870603,1.0624287806366122,0.9339052071296172,True
0.657,BR+CL blend,0.8223385782126741,0.2604234233298418,0.05096154086241267,0.544063293327931,0.20946761618230825,1.43520954024304,1.017603241525288,0.9346950199303801,True
0.6,,0.7717096749624232,0.24874025829217,0.05319282002849213,0.4264127672279092,0.18633344633446924,1.357085903590377,0.9581833408428321,0.9348892581474684,True
0.5,,0.6828870376812805,0.228251154437752,0.05804611444001617,0.2588979182816613,0.14572911687617096,1.22004495848639,0.8539379010490493,0.9315879275519121,True
0.455,BR+MX blend,0.6429168509047669,0.21903485115392865,0.06074371590624583,0.20154080864486823,0.12744824125185128,1.1583854605576827,0.8070274531418492,0.9278126800381093,True
0.4,,0.5940644004001385,0.2077743084345787,0.06462032724562228,0.14574114614534417,0.10509594023896496,1.0830328605613122,0.7496924612552696,0.9203385431204253,True
0.368,BR+MX+CL blend,0.5656411564701732,0.20122491782671734,0.0672376464171589,0.1197363719943203,0.09208579268577505,1.0391965202545714,0.7163339205212587,0.9141187815379657,True
0.3,,0.5052417631189964,0.1873137403533396,0.07395484341979874,0.07756719080435248,0.06442445573548422,0.9460590705025085,0.6454470214614886,0.8947617671045243,True
0.2,,0.4164191258378538,0.16687543780089095,0.08806407634655544,0.03956351343105302,0.023700572350691007,0.8091376793250166,0.5412015816677067,0.8445008000494649,False
0.1,,0.32759648855671153,0.1464687218955275,0.11130896777676402,0.01941748511193997,-0.01709764589438012,0.6722906230078032,0.4369561418739251,0.7554661803071553,False
0.0,no Brazil,0.23877385127556927,0.1261089274499227,0.15463568884918177,0.009116741471977718,-0.05800628738715474,0.5355539899382933,0.3327107020801434,0.6158179905433572,False
